Category,Amharic Sentence
Formal & Professional Speech,ድርጅቱ በቅድሚያ ቀረ።
Formal & Professional Speech,የኢንዱስትሪው ደረጃ በሕግ የተወሰነ ነው።
Formal & Professional Speech,ስራ አስፈላጊ መሆኑ ተነግሯል።
"Idioms, Proverbs & Cultural Expressions",በአንድ እግር የተሰወረ አይቆምም።
"Idioms, Proverbs & Cultural Expressions",አንተ የበረከት ልጅ ነህ።
"Idioms, Proverbs & Cultural Expressions",የወይኑን ዱቄት ይጨምራል።
"Idioms, Proverbs & Cultural Expressions",የሌላ ሰው አካል ለሌላ ሰው አይታደምም።
"Idioms, Proverbs & Cultural Expressions",አይጠፋም፣ አይቆምም።
"Idioms, Proverbs & Cultural Expressions",ቀን የሚለው ሰው ይረዳል።
"Idioms, Proverbs & Cultural Expressions",ዘመን የደከመውን ይደክማል።
"Idioms, Proverbs & Cultural Expressions",የሞት ተስፋ ከህይወት ይቀድማል።
"Idioms, Proverbs & Cultural Expressions",ያልታወቀ ቀልድ የማይሰማ ጆሮ ይያዝ።
"Idioms, Proverbs & Cultural Expressions",የአየር መንፈስ የምን ያስደስታል።
Question-Answer Pairs,ምን ነገር ትወዳለህ?
Question-Answer Pairs,እኔ እንጀራ እወዳለሁ።
Question-Answer Pairs,የት ውስጥ ትኖራለህ?
Question-Answer Pairs,እኔ በአዲስ አበባ እኖራለሁ።
Question-Answer Pairs,ስንት ዓመት ነህ?
Question-Answer Pairs,እኔ ሀያ አምስት ዓመት ነኝ።
Question-Answer Pairs,ምን ስም አለህ?
Question-Answer Pairs,ስሜ አበበ ነው።
Question-Answer Pairs,ምን ትማላለህ?
Question-Answer Pairs,እኔ ሕክምና እማራለሁ።
Commands & Instructions,ይቀመጡ!
Commands & Instructions,እኔን ይስማሙ!
Commands & Instructions,የትኛውንም አትቀበል!
Commands & Instructions,ተንሳፈፍ!
Commands & Instructions,ይጠቀሙ!
Commands & Instructions,እዚህ ቆመህ!
Commands & Instructions,ወደ ቀኝ ተመለስ!
Commands & Instructions,ሰውን አታሳድድ!
Commands & Instructions,ጥሩ ስራ እንደሚያደርጉ ያሳዩ!
Commands & Instructions,ስራ ለጊዜው ይቆይ።
Named Entity Recognition (NER) Data,አበበ በአዲስ አበባ ይኖራል።
Named Entity Recognition (NER) Data,ቢል ጌትስ የማይክሮሶፍት መስራች ነው።
Named Entity Recognition (NER) Data,አበበ አበበ ዛሬ በሱቅ አለ።
Named Entity Recognition (NER) Data,እስራኤል በምን ዓመት ተመሰረተ?
Named Entity Recognition (NER) Data,ሐበሻ በአፍሪካ አለች።
Named Entity Recognition (NER) Data,አዲስ አበባ የኢትዮጵያ ዋና ከተማ ናት።
Named Entity Recognition (NER) Data,ኤችአይቪ የበሽታ ስም ነው።
Named Entity Recognition (NER) Data,እስካሀን በአሜሪካ ቆይቼ ነው።
Named Entity Recognition (NER) Data,አበበ በየስራው ይታያል።
Named Entity Recognition (NER) Data,ሐኪም በሆስፒታል ይሰራል።
Sentiment Analysis Data,ደስ ይላል።
Sentiment Analysis Data,አንደኛ ነኝ።
Sentiment Analysis Data,ምርጥ ቀን ነው።
Sentiment Analysis Data,አስደናቂ ሁኔታ አጋጥመኝ።
Sentiment Analysis Data,የዛሬው ትምህርት አስተማሪ ነበር።
Sentiment Analysis Data,ዛሬ አዝኛለሁ።
Sentiment Analysis Data,ሥራዬ ይዝኛል።
Sentiment Analysis Data,የትምህርቱ አስፈላጊነት አታስተውልም።
Sentiment Analysis Data,ደስ አለኝ።
Sentiment Analysis Data,አይቻለኝም።
Paraphrased & Augmented Sentences,እንዴት ነህ?
Paraphrased & Augmented Sentences,ምን እንደምን አደር?
Paraphrased & Augmented Sentences,አንድ ወቅት እንሆናለን።
Paraphrased & Augmented Sentences,አሁን ስራውን ማጠናቀቅ አለበት።
Paraphrased & Augmented Sentences,የሥራው ቅድመ ሁኔታ አስፈላጊ ነው።
Paraphrased & Augmented Sentences,የድርጅት አዋጆች ማረጋገጫ አለበት።
Paraphrased & Augmented Sentences,ወደ ቀኝ ተመለስ።
Paraphrased & Augmented Sentences,እጅግ ደስ ብሎኛል።
Paraphrased & Augmented Sentences,የምንሄድ ቦታ ስሙ አዲስ አበባ ነው።
Paraphrased & Augmented Sentences,ስራው በጥሩ ደረጃ ተሳክቷል።
