Category,Sentence_AR
Commands & Instructions (Imperative Sentences),ماتخرّجش بلا جاكيت، راه الجو بارد.
Commands & Instructions (Imperative Sentences),خلّيني نشوف واش كاين شي جديد.
Commands & Instructions (Imperative Sentences),جاوب على المكالمة بسرعة.
Commands & Instructions (Imperative Sentences),عفاك، ساعدني فهاد الخدمة.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",محمد مشى لمراكش البارح.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",الجامعة ديال محمد الخامس كاينة فالرباط.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",عندي موعد مع الدكتور سمير يوم الاثنين.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",كاين مهرجان الموسيقى فالصويرة فشهر غشت.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",شركة اتصالات المغرب هي أكبر شركة اتصالات فالمغرب.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",النهار العالمي للمرأة كيكون يوم 8 مارس.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",الملك محمد السادس هو رئيس الدولة.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",الطريق السريع كيربط بين كازا وطنجة.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",فبراير هو أقصر شهر فالسنة.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",واشنطن هي عاصمة الولايات المتحدة.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),كنحس براسي فرحان بزاف اليوم.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),هاد الفيلم ممل وما عجبنيش.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),الموسيقى ديال هاد الفنان زوينة وتحمّسني.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),أنا معصب حيث الخدمة كانت صعيبة اليوم.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),كنشوف أن هاد القرار غير عادل.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),الناس فهاد المدينة مرحّبين بزاف.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),أنا خايف من الامتحان ديال الغد.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),الطبيعة فهاد المنطقة زوينة بزاف.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),عندي إحساس أن شي حاجة مزيانة غادي توقع.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),حزين حيث فقدت شي حد عزيز عليا.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),أنا كنحب ناكل الطاجين المغربي.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),الطاجين المغربي هو الأكلة المفضلة عندي.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),أنا كنعشق الطاجين المغربي.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ما كاينش بحال الطاجين المغربي فالعالم.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),أنا كنفضل الطاجين المغربي على جميع الأكلات.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),واحد الحاجة اللي كنحبها بزاف هي الطاجين المغربي.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),كل مرة كنطيب الطاجين المغربي كندير شي حاجة جديدة.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),الطاجين المغربي عندو مذاق لا يقاوم.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),هاد الأسبوع جربت واحد الوصفة جديدة ديال الطاجين.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),الطاجين المغربي هو الطبق التقليدي المفضل عند المغاربة.
