category,croatian_sentence
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mrzim kad kasni autobus.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Oduševljena sam koncertom!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ova knjiga je dosadna.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Imam pomiješane osjećaje o tom prijedlogu.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Bio sam razočaran ishodom.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Bilo je to nezaboravno iskustvo.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Učim hrvatski svaki dan.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Svaki dan učim hrvatski jezik.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Hrvatski učim svakodnevno.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Redovito učim hrvatski.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Proučavam hrvatski jezik svakodnevno.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Svakodnevno se bavim hrvatskim.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Učenje hrvatskog mi je dnevna rutina.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Svaki dan nešto novo naučim iz hrvatskog.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Moj cilj je svaki dan učiti hrvatski.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Učenje hrvatskog mi je postalo navika.
