Category,Uzbek Sentence
Paraphrased & Augmented Sentences,Men kecha do‘stlarim bilan choyxonaga bordim.
Paraphrased & Augmented Sentences,Men kechasi film ko‘rishga bordim.
Paraphrased & Augmented Sentences,Men kinoga ketgan edim kecha.
Paraphrased & Augmented Sentences,Men o‘tgan kuni kinoteatrga tashrif buyurdim.
Paraphrased & Augmented Sentences,O‘tgan kecha kinoteatrga bordim.
Question-Answer Pairs,"Savol: Bugun ob-havo qanday?
Javob: Quyoshli va iliq."
Question-Answer Pairs,"Savol: Dam olish kunlaringiz qayerga borasiz?
Javob: Tog‘larga chiqamiz."
Question-Answer Pairs,"Savol: Ishingiz yoqadimi?
Javob: Ha, juda."
Question-Answer Pairs,"Savol: Nechta til bilasiz?
Javob: Uchta – o‘zbek, rus va ingliz."
Question-Answer Pairs,"Savol: Poyezd qachon keladi?
Javob: Soat to‘qqizda."
Question-Answer Pairs,"Savol: Siz qayerdansiz?
Javob: Men Samarqanddanman."
Question-Answer Pairs,"Savol: Siz shifokormisiz?
Javob: Yo‘q, men muhandisman."
Question-Answer Pairs,"Savol: Sizda pasport bormi?
Javob: Ha, albatta."
Question-Answer Pairs,"Savol: Sizning ismingiz nima?
Javob: Mening ismim Zafar."
Question-Answer Pairs,"Savol: Telefoningiz raqami qanday?
Javob: 998 90 123 45 67."
Sentiment Analysis Data,Bu film menga juda yoqdi!
Sentiment Analysis Data,Bu taom juda mazali edi.
Sentiment Analysis Data,Bugun kayfiyatim zo‘r!
Sentiment Analysis Data,"Hammasi juda charchatdi, lekin arziydi."
Sentiment Analysis Data,Ishlarim unchalik yaxshi ketmayapti.
Sentiment Analysis Data,Men bu qarordan ranjidim.
Sentiment Analysis Data,Men bu xizmatdan norozi bo‘ldim.
Sentiment Analysis Data,"Nihoyat, maqsadimga erishdim!"
Sentiment Analysis Data,Uning gaplari yuragimni og‘ritdi.
Sentiment Analysis Data,Ushbu voqea meni ilhomlantirdi.
