Category,Interglossa Sentence
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Me ha remitite te factura electronicamente.
"Idioms, Proverbs & Cultural Expressions",Un pomo per die evita medico.
"Idioms, Proverbs & Cultural Expressions","Me audi pluvi, ma no vide aqua."
"Idioms, Proverbs & Cultural Expressions",El pensa que sol brilla solo pro se.
"Idioms, Proverbs & Cultural Expressions",Le oculo non pote vide se.
"Idioms, Proverbs & Cultural Expressions",Nos non pote pone vino novo in botel antique.
"Idioms, Proverbs & Cultural Expressions","Quando porta clude, un altra aperi."
"Idioms, Proverbs & Cultural Expressions","Un mano lava altra, amba es net."
"Idioms, Proverbs & Cultural Expressions",Tempore es le magistro del patientia.
"Idioms, Proverbs & Cultural Expressions","Fluvio va al mar, non contra."
"Idioms, Proverbs & Cultural Expressions",Un parola bon pote edifica un ponte.
Question-Answer Pairs (FAQ & Contextual Understanding),Ubi es toilet? – In spatio proxime porta.
Question-Answer Pairs (FAQ & Contextual Understanding),Quale hora es? – Es ora de deci.
Question-Answer Pairs (FAQ & Contextual Understanding),"Tu comprende iste parola? – No, me non comprende."
Question-Answer Pairs (FAQ & Contextual Understanding),Quante costo iste libro? – Il costo cinque unitas.
Question-Answer Pairs (FAQ & Contextual Understanding),Como me pote arriva a gare? – Per metro o bus.
Question-Answer Pairs (FAQ & Contextual Understanding),"Tu habe reservation? – Si, in nomine de Silva."
Question-Answer Pairs (FAQ & Contextual Understanding),"Es possibile paga con carta? – Si, nos accepta."
Question-Answer Pairs (FAQ & Contextual Understanding),Que tu vole cena? – Me prefere pasta.
Question-Answer Pairs (FAQ & Contextual Understanding),Ubi nos pote compra aqua? – En magazin in via proxima.
Question-Answer Pairs (FAQ & Contextual Understanding),Tu vole cafe o te? – Me vole te.
Commands & Instructions (Imperative Sentences),Aperi fenestra!
Commands & Instructions (Imperative Sentences),Scribe to en papel.
Commands & Instructions (Imperative Sentences),No tocca iste machina.
Commands & Instructions (Imperative Sentences),Dona me exemplo.
Commands & Instructions (Imperative Sentences),Lege iste texto forte.
Commands & Instructions (Imperative Sentences),Attende me hic!
Commands & Instructions (Imperative Sentences),Veni con me al station.
Commands & Instructions (Imperative Sentences),Proba dice iste phrase.
Commands & Instructions (Imperative Sentences),Prende iste libro e da lo a me.
Commands & Instructions (Imperative Sentences),Indica ube es problema.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Maria visita Paris in Junio.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Google ha crea novo software.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Nos ha conferentia en Londra.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Amazon distribue multe libros.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Barack Obama es presidente passate.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Iste museo es in Roma.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Toyota fabrica autos in Japon.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",El va a Berlin pro feria.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Expo 2025 es en Osaka.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Me ha colloquio con doctor Silva.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Me es felice hodie.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Iste film es incredibile!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nos habe un problema seriosa.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Me senti mal post nove de nova.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Me ama iste musica!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),El dice que iste libro es tedi.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nos es excitate pro viage!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Iste situation es frustrante.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Me es trist pro perdita de amico.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Tu opinion es importante pro nos.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Me vide un can in parco.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Un can es in parco, me vide lo."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Nos ha cena in ristorante hodie.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Hodie nos vade a ristorante pro cena.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Me vole un cafe con leche.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Tu pote servi me cafe con latte?
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),El es content con resultado.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),El senti que resultado es bon.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Me ha lection de linguistica hodie.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Hodie es me lection de linguistica.
