Category,Sentence (Southern Ndebele)
Sentiment Analysis Data,Ngizizwa ngiphathekile kabi namhlanje.
Sentiment Analysis Data,Ngicabanga ukuthi lokhu kuhle kakhulu.
Sentiment Analysis Data,Lokhu akulungile nhlobo.
Sentiment Analysis Data,Ngiyajabula ukukubona futhi.
Sentiment Analysis Data,Ngifuna ukukusiza ngayo yonke indlela.
Sentiment Analysis Data,"Ngiyacela, ungangisiza?"
Sentiment Analysis Data,Ngithukuthele kakhulu ngalokhu.
Paraphrased & Augmented Sentences,Ngizohamba manje. → Ngizoqala ukuhamba.
Paraphrased & Augmented Sentences,Uyajabula namhlanje? → Ingabe ulusizi namhlanje?
Paraphrased & Augmented Sentences,Ngicela usizo. → Ungangisiza?
Paraphrased & Augmented Sentences,Ngabe kulungile? → Kungani lokhu kungasebenzi?
Paraphrased & Augmented Sentences,Ngizofika kusasa. → Ngizobe sengifika ngomuso.
Paraphrased & Augmented Sentences,Ngiya ekhaya. → Ngibuyela ekhaya manje.
Paraphrased & Augmented Sentences,Lokhu kubalulekile. → Lokhu kuyadingeka.
Paraphrased & Augmented Sentences,Ngicabanga ukuthi uzobuya. → Ngiyethemba uzobuya.
Paraphrased & Augmented Sentences,Ngizohlangana nawe. → Sizohlangana maduzane.
Paraphrased & Augmented Sentences,Ngiyajabula. → Nginomuzwa omuhle.
