Category,Aymara Sentence
Commands & Instructions,Aruskipapxam jach’a arunakampi.
Commands & Instructions,Churatam aka laphi.
Commands & Instructions,Qalltapxam jichhüruxa.
Commands & Instructions,Uñt’ayapxam kunsa yatiñani.
Named Entity Recognition (NER) Data,La Paz markanwa jakta.
Named Entity Recognition (NER) Data,Evo Moralesax Bolivia markan jilïr irpirïnwa.
Named Entity Recognition (NER) Data,Juliox yatiqirinwa.
Named Entity Recognition (NER) Data,Amazonax jach’a sach’aniwa.
Named Entity Recognition (NER) Data,Yatichiri Maríax qillqäta.
Named Entity Recognition (NER) Data,Pedro y Juanax aruskipapxi.
Named Entity Recognition (NER) Data,Chuquisaca markax suma qhirwa utjayi.
Named Entity Recognition (NER) Data,"Qullana marana, 2022 maranx mä tantachäw utjäna."
Named Entity Recognition (NER) Data,Intiwatana ukaxa Machu Picchunwa.
Named Entity Recognition (NER) Data,UNESCOx jach’a tantachäw uñt’ayxi.
Sentiment Analysis Data,Wali kusisita.
Sentiment Analysis Data,Llakiw jiskt’ani.
Sentiment Analysis Data,Janiwa kuna amuyuni.
Sentiment Analysis Data,"K'uchukiwa, walja irnaqawi."
Sentiment Analysis Data,Suma amuyumpi wakt’äta.
Sentiment Analysis Data,"Jan waliwa, nayax janiw munkti."
Sentiment Analysis Data,"Wali llakisita, janiw yäqktwa."
Sentiment Analysis Data,"Kusiska, niya willjt’añäni."
Sentiment Analysis Data,Wali jach’a kusisiñawa.
Sentiment Analysis Data,"Jan walinaka utji, pero janiwa sarnaqasita."
Paraphrased & Augmented Sentences,Nayaxa qillqatawa. → Qillqt’ätawa.
Paraphrased & Augmented Sentences,Jumax irnaqapxi. → Irnaqäta.
Paraphrased & Augmented Sentences,Janiwa jutkti. → Jutapxaspawa.
Paraphrased & Augmented Sentences,Suma jak’achasiñawa. → Kusisiñ muni.
Paraphrased & Augmented Sentences,Mä taza kafe munta. → Kafe uñt’añ munta.
Paraphrased & Augmented Sentences,Ukaxa wali askïwa. → Wali sumawa.
Paraphrased & Augmented Sentences,Qhankurusma. → Jikisiñkama.
Paraphrased & Augmented Sentences,Uka aruxa ch’amanawa. → Jach’awa ukax.
Paraphrased & Augmented Sentences,Wali jach’a tantachäwi utjäna. → Jach’a tantachäw utji.
Paraphrased & Augmented Sentences,Yatiqañ munta. → Yatiqañ mayta.
