Category,Sentence_CRS
Sentiment Analysis Data,I fer mwan tris ler mon tann sa.
Sentiment Analysis Data,Sa film ti vreman ennyan.
Sentiment Analysis Data,Ou’n fer en bon travay!
Sentiment Analysis Data,Mon santi mwan telman fatigue.
Sentiment Analysis Data,Zot pa ti tre zanti avek mwan.
Sentiment Analysis Data,Mon anvi kriye ler mon rapel sa.
Sentiment Analysis Data,Sa ti en zoli eksperyans.
Sentiment Analysis Data,I fer mwan riye toultan!
Sentiment Analysis Data,Mon dezapwente avek sa rezilta.
Paraphrased & Augmented Sentences,Mon pe al legliz ozordi.
Paraphrased & Augmented Sentences,Ozordi mon pou vizit legliz.
Paraphrased & Augmented Sentences,Mon anvi al legliz sa bomaten.
Paraphrased & Augmented Sentences,Legliz i dan mon plan pour ozordi.
Paraphrased & Augmented Sentences,"Apre, mon pou al legliz."
Paraphrased & Augmented Sentences,Mon’n deside vizit legliz ozordi.
Paraphrased & Augmented Sentences,Vizit legliz i lo mon progranm.
Paraphrased & Augmented Sentences,Legliz i mon premye destinasyon ozordi.
Paraphrased & Augmented Sentences,Sa bomaten mon pe al dan legliz.
Paraphrased & Augmented Sentences,Mon pou pas kot legliz ozordi.
