Category,Kannada Sentence
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ದೂರವಾಣಿ ಸಂಪರ್ಕದ ಮೂಲಕ ವೈದ್ಯಕೀಯ ಸಲಹೆ ಲಭ್ಯವಿದೆ.
"Idioms, Proverbs & Cultural Expressions",ಹೆಜ್ಜೆ ಹಾಕಿದವನೇ ಹೆಜ್ಜೆ ತೊಳೆಯಬೇಕು.
"Idioms, Proverbs & Cultural Expressions",ಮೂಗುಕಟ್ಟಿದವನೇ ಮೂಗು ತೊಳೆಯಬೇಕು.
"Idioms, Proverbs & Cultural Expressions",ಎಲಿಗೆ ಕೊಟ್ಟ ಹಾಲು ನಾಯಿಗೆ ತೊಳೆದ ಹಾಗೆ.
"Idioms, Proverbs & Cultural Expressions",ಹೆಣ್ಣು ಮಾತು ನದಿ ನೀರು – ನಂಬಬೇಕು ಆದರೆ ನಿಲ್ಲಬಾರದು.
"Idioms, Proverbs & Cultural Expressions",ಕಣ್ಮುಚ್ಚಿದರೆ ಕತ್ತಲೆಯೆನಿಸುವದು.
"Idioms, Proverbs & Cultural Expressions",ಆಮೆ ನಡೆಯಾದರೂ ಗುರಿ ತಲುಪುತ್ತದೆ.
"Idioms, Proverbs & Cultural Expressions","ಅಮ್ಮನ ದೇವರೆ, ಅಪ್ಪನ ತಾಯೆ."
"Idioms, Proverbs & Cultural Expressions","ತಟ್ಟೆಗಿದ್ದಷ್ಟು ತಿನ್ನು, ಹಂಚಿಕೆಗೆ ಆಸೆಬಿಡಬೇಡ."
"Idioms, Proverbs & Cultural Expressions",ಒಳ್ಳೆಯದು ಮಾಡುವವನಿಗೆ ದೇವರು ಸಹಾಯ ಮಾಡುವನು.
"Idioms, Proverbs & Cultural Expressions","ಅದಾನಾ ಅದು – ಊರ ಸುತ್ತು, ಮಠದ ಹೊತ್ತು."
Question-Answer Pairs (FAQ & Contextual Understanding),ನೀವು ಯಾವ ಊರವರು? – ನಾನು ಮೈಸೂರು ನಿವಾಸಿ.
Question-Answer Pairs (FAQ & Contextual Understanding),ಇವತ್ತು ಯಾವ ವಾರ? – ಇವತ್ತು ಗುರುವಾರ.
Question-Answer Pairs (FAQ & Contextual Understanding),ನಿಮ್ಮ ವಯಸ್ಸೆಷ್ಟು? – ನನ್ನ ವಯಸ್ಸು ಇಪ್ಪತ್ತೈದು.
Question-Answer Pairs (FAQ & Contextual Understanding),ಈ ಪುಸ್ತಕದ ಲೇಖಕ ಯಾರು? – ಡಾ. ಭಾರದ್ವಾಜ್.
Question-Answer Pairs (FAQ & Contextual Understanding),ಬಸ್ ಯಾವ ಸಮಯಕ್ಕೆ ಬರುತ್ತದೆ? – ಬೆಳಿಗ್ಗೆ ಎಂಟು ಗಂಟೆಗೆ.
Question-Answer Pairs (FAQ & Contextual Understanding),ಈ ಮಾಸದ ಪರೀಕ್ಷೆ ಯಾವಾಗ? – ಮುಂದಿನ ಸೋಮವಾರ.
Question-Answer Pairs (FAQ & Contextual Understanding),"ನಿಮ್ಮ ಹವ್ಯಾಸಗಳೇನು? – ಪುಸ್ತಕ ಓದು, ಸಂಗೀತ."
Question-Answer Pairs (FAQ & Contextual Understanding),ಈ ಚಿತ್ರವಿಚಾರಣೆಯು ಯಾವ ವಿಷಯದ ಬಗ್ಗೆ? – ಐತಿಹಾಸಿಕ ಘಟನೆ.
Question-Answer Pairs (FAQ & Contextual Understanding),"ನಾಳೆ ರಜೆ ಇದೆಯೆ? – ಹೌದು, ಸರ್ಕಾರಿ ರಜೆ."
Question-Answer Pairs (FAQ & Contextual Understanding),ಪಾಠಶಾಲೆ ಎಷ್ಟು ದೂರ ಇದೆ? – ಹತ್ತು ಕಿಲೋಮೀಟರ್.
Commands & Instructions (Imperative Sentences),ದಯವಿಟ್ಟು ಬಾಗಿಲು ಮುಚ್ಚಿ.
Commands & Instructions (Imperative Sentences),ಇಲ್ಲಿ ಬರಬೇಡಿ.
Commands & Instructions (Imperative Sentences),"ಪುಸ್ತಕ ಓದಿ, ಸಮಯ ಕಳೆಯಬೇಡಿ."
Commands & Instructions (Imperative Sentences),ನಿಮ್ಮ ಹೆಸರು ಬರೆಯಿರಿ.
Commands & Instructions (Imperative Sentences),ಇಲ್ಲಿ ನಿಲ್ಲಿ.
Commands & Instructions (Imperative Sentences),ಅವನಿಗೆ ಕರೆ ಮಾಡಿ.
Commands & Instructions (Imperative Sentences),ವಿಳಾಸ ಸರಿಯಾಗಿ ನಮೂದಿಸಿ.
Commands & Instructions (Imperative Sentences),ಆಹಾರ ತೆಗೆದುಕೊಳ್ಳಿ.
Commands & Instructions (Imperative Sentences),ನಾಳೆ ಸಮಯಕ್ಕೆ ಬನ್ನಿ.
Commands & Instructions (Imperative Sentences),ದಯವಿಟ್ಟು ದಾರಿ ತೋರಿಸಿ.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ವಿಜಯ್ ನಾಳೆ ಬೆಂಗಳೂರು ಹೋಗುತ್ತಿದ್ದಾರೆ.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ಈ ಕಾರ್ಯಕ್ರಮದಲ್ಲಿ ನಾಸಾ ಸದಸ್ಯರು ಭಾಗವಹಿಸುತ್ತಾರೆ.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ಡಾ. ಮಂಜುನಾಥ ಅವರು ಅಜ್ಮೀರದಿಂದ ಬರುವರು.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ಟಾಟಾ ಕಂಪನಿಯು ಹೊಸ ಕಾರು ಬಿಡುಗಡೆ ಮಾಡಿತು.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ಕ್ರಿಕೆಟ್ ಪಂದ್ಯವು ಹೈದರಾಬಾದಿನಲ್ಲಿ ನಡೆಯಿತು.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ಜನವರಿ ೨೬ ರಂದು ಗಣರಾಜ್ಯೋತ್ಸವ ಆಚರಿಸಲಾಗುತ್ತದೆ.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ಆದಿತ್ಯ್ ಬೈಜಾಪುರ ಜಿಲ್ಲೆಗೆ ಸೇರಿದವನು.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ಕರ್ನಾಟಕ ಸರ್ಕಾರ ಹೊಸ ನೀತಿಯನ್ನು ಪ್ರಕಟಿಸಿದೆ.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ಮೈಸೂರು ಅರಮನೆ ಪ್ರವೇಶದ ಸಮಯ ಬೆಳಿಗ್ಗೆ ೧೦.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ಅಮೃತಾ ವಿವಿಯಲ್ಲಿ ವಿದ್ಯಾರ್ಥಿ ಸಮಾವೇಶ ನಡೆಯಿತು.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ಈ ಚಿತ್ರ ಎಂಥ ಅದ್ಭುತವಾದದ್ದು!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ಅವನ ವರ್ತನೆ ನನಗೆ ಇಷ್ಟವಿಲ್ಲ.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ಈ ಪುಸ್ತಕ ನನಗೆ ತುಂಬಾ ಪ್ರೇರಣೆಯಾಗಿದೆ.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ಹಳೆಯ ಸ್ನೇಹಿತರನ್ನು ಮತ್ತೆ ಭೇಟಿಯಾಗುವ ಸಂತೋಷವೇ ಬೇರೆ.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ಆ ಸುದ್ದಿ ಕೇಳಿ ನನಗೆ ಬೇಸರವಾಯಿತು.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ನಮ್ಮ ಗೆಲುವು ನನಗೆ ಹೆಮ್ಮೆ ಉಂಟುಮಾಡಿತು.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ಅದನ್ನು ಕೇಳಿದಾಗ ನನಗೆ ಶೋಕ್ ಆಯ್ತು.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ಅವರು ಮಾಡಿದ ಸಹಾಯಕ್ಕೆ ನಾನು ಕೃತಜ್ಞ.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ಈ ಜಾಗ ಶಾಂತ ಮತ್ತು ಸುಂದರವಾಗಿದೆ.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ಅವನ ನಿರ್ಧಾರ ನನ್ನ ನಿರೀಕ್ಷೆಗೂ ಮೀರಿ ಇತ್ತು.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ನಾನು ಊಟ ಮಾಡಿದ್ದೇನೆ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ಊಟವನ್ನು ನಾನು ತಿಂದಿದ್ದೇನೆ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"ಊಟ ಆಗಿದೆ, ನಾನು ತಿಂದು ಮುಗಿಸಿದ್ದೇನೆ."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ಊಟ ಮಾಡೋದು ಆಗಿದೆ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ನಾನು ಈಗಷ್ಟೇ ಊಟ ಮಾಡಿದ್ದೇನೆ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ನಾನು ನನ್ನ ಊಟ ಮುಗಿಸಿದ್ದೇನೆ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ನಾನು ಇವತ್ತು ಊಟ ಮಾಡಿದ್ದೇನೆ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ಮಾಡಿದ ಊಟ ಬಹಳ ರುಚಿಕರವಾಗಿದೆ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ಈಗ ನನಗೆ ಭೋಜನ ಮುಗಿದಿದೆ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ತಿಂದು ಆಗಿದೆ ನನ್ನ ಊಟ.
