Category,Sentence (Iban)
Commands & Instructions,Tulis nama nuan di borang tuk.
Named Entity Recognition (NER) Data,Aku pernah pergi ke Betong suba.
Named Entity Recognition (NER) Data,Sebuah kapal telah sampai di Bintulu.
Named Entity Recognition (NER) Data,Maria ngaga kerja ba hospital.
Named Entity Recognition (NER) Data,Petronas gik jual minyak.
Named Entity Recognition (NER) Data,Taun tuk kitai ulih banyak perkara.
Named Entity Recognition (NER) Data,Kuching ka diatur jadi smart city.
Named Entity Recognition (NER) Data,"Minggu depan, nuan ka besereta meeting."
Named Entity Recognition (NER) Data,Pasar Satok terkenal di Sarawak.
Named Entity Recognition (NER) Data,Projek tuk dikemari bulan lepas.
Named Entity Recognition (NER) Data,Hari Gawai dirayakan tiap-tiap taun.
Sentiment Analysis Data,Aku amat suka makanan tuk!
Sentiment Analysis Data,"Aku enda setuju, terlalu mahal."
Sentiment Analysis Data,Bisi berita nyamai suba.
Sentiment Analysis Data,Aku berasa kecewa enggau hasil tuk.
Sentiment Analysis Data,Aku semak anang meh nuan madah.
Sentiment Analysis Data,Perkara tuk sungguh meri ati.
Sentiment Analysis Data,Berita tuk amat meri rindu.
Sentiment Analysis Data,Aku enda sabar nunggu.
Sentiment Analysis Data,Sungguh meluat aku ngagai iya.
Sentiment Analysis Data,Pelik amat ngagai aku.
Paraphrased & Augmented Sentences,Aku makai kemari. - Kemari aku udah makai.
Paraphrased & Augmented Sentences,Nuan datang suba? - Udah ka nuan datang?
Paraphrased & Augmented Sentences,Inda ulih aku ka lalu. - Aku sik ulih lalu.
Paraphrased & Augmented Sentences,Barang tuk nya nuan ulih? - Nuan ulih barang tuk?
Paraphrased & Augmented Sentences,"Mereka bejalai ari suba. - Ari suba, mereka bejalai."
Paraphrased & Augmented Sentences,"Kami ka ngemali enggau sida. - Enggau sida, kami ngemali."
Paraphrased & Augmented Sentences,Nuan udah madah iya? - Iya udah madah nuan?
Paraphrased & Augmented Sentences,Enda ulih nuan ngatur tuk. - Tuk enda ulih nuan ngatur.
Paraphrased & Augmented Sentences,"Aku ka nunggu ngagai iya. - Ngagai iya, aku ka nunggu."
Paraphrased & Augmented Sentences,Kami enda nemu enda ulih. - Enda ulih kami enda nemu.
