Category,Sentence (Jewish Babylonian Aramaic)
Question-Answer Pairs (FAQ & Contextual Understanding),היכי קרי שמך? - שמי שמעון
Question-Answer Pairs (FAQ & Contextual Understanding),איה מקום דבית הכנסת? - מעבר לרחוב
Question-Answer Pairs (FAQ & Contextual Understanding),"הוא אתי? - אין, הוא אזל"
Question-Answer Pairs (FAQ & Contextual Understanding),כמה פריטי בעית? - תרי
Question-Answer Pairs (FAQ & Contextual Understanding),מנא לן מילתא? - מן הפסוק
Question-Answer Pairs (FAQ & Contextual Understanding),מהי דעתך על ההלכה? - דעת רבנן
Question-Answer Pairs (FAQ & Contextual Understanding),כמה יעלה לי הספר? - ארבעה זוזי
Question-Answer Pairs (FAQ & Contextual Understanding),"אתה בעי מיא? - אין, בעי אנא"
Question-Answer Pairs (FAQ & Contextual Understanding),למאן דעתך צודקת? - רבי יוחנן
Question-Answer Pairs (FAQ & Contextual Understanding),מאי הוו ליה למימר?
Commands & Instructions (Imperative Sentences),זיל הבי לי דינר
Commands & Instructions (Imperative Sentences),פתח דלתא
Commands & Instructions (Imperative Sentences),כתיב בספר
Commands & Instructions (Imperative Sentences),תן ליה מיא
Commands & Instructions (Imperative Sentences),נקה ידך מקמחה
Commands & Instructions (Imperative Sentences),קרא ברכות
Commands & Instructions (Imperative Sentences),הב לי את ספר התורה
Commands & Instructions (Imperative Sentences),חכים מילך
Commands & Instructions (Imperative Sentences),לך לאורייתא
Commands & Instructions (Imperative Sentences),חוש באצבעותיך
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",רבי עקיבא אמר לה
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ירושלים עיר הקודש
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",בשנת ארבעת אלפים תתק
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",פלוני אלמוני אזל לבבל
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",בי מדרשא דרבא
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",בית דינא דשפרעם
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",הוא אמר לרבי יהודה
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",נקדימון בן גוריון תרם מים
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",היכן דמשק?
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",אלכסנדר מוקדון בא
Sentiment Analysis Data (Emotion & Opinion-based Sentences),אנא חדוותא
Sentiment Analysis Data (Emotion & Opinion-based Sentences),מר לי מאוד
Sentiment Analysis Data (Emotion & Opinion-based Sentences),שמח אנא לראותך
Sentiment Analysis Data (Emotion & Opinion-based Sentences),קשה לי כלשון ההלכה
Sentiment Analysis Data (Emotion & Opinion-based Sentences),לא בעינא
Sentiment Analysis Data (Emotion & Opinion-based Sentences),רחמנות על העני
Sentiment Analysis Data (Emotion & Opinion-based Sentences),אהבתי את האיגרת
Sentiment Analysis Data (Emotion & Opinion-based Sentences),הוא זעם מאוד
Sentiment Analysis Data (Emotion & Opinion-based Sentences),שמחה גדולה הייתה בעיר
Sentiment Analysis Data (Emotion & Opinion-based Sentences),נחמתי על דבריי
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),אתא הוא לביתא
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),הגיע אל ביתו
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),הלך לביתו
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),בא לבית
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),נכנס לביתו
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),הגיע לביתו
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),הוא דר בביתא
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),הגיע למקום מושבו
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),שב לביתו
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),הגיע אל הדירה
