Category,Sentence (Albanian)
"Idioms, Proverbs & Cultural Expressions",Gjella me kripë dhe dashuri.
"Idioms, Proverbs & Cultural Expressions","Ku ka tym, ka edhe zjarr."
"Idioms, Proverbs & Cultural Expressions",Në hall nuk njihet miku.
"Idioms, Proverbs & Cultural Expressions",I ra pika ujit.
"Idioms, Proverbs & Cultural Expressions",Hëngri fjalën e vet.
"Idioms, Proverbs & Cultural Expressions",E mori era si fletën.
Question-Answer Pairs (FAQ & Contextual Understanding),– Çfarë ore është? – Është ora katër e një çerek.
Question-Answer Pairs (FAQ & Contextual Understanding),– Sa kushton kjo bluzë? – Kushton njëmijë lekë.
Question-Answer Pairs (FAQ & Contextual Understanding),– Ku ndodhet biblioteka? – Është përballë shkollës.
Question-Answer Pairs (FAQ & Contextual Understanding),"– A ke ndonjë vëlla? – Po, kam një vëlla më të vogël."
Question-Answer Pairs (FAQ & Contextual Understanding),– Si quhet kryeqyteti i Shqipërisë? – Tirana.
Question-Answer Pairs (FAQ & Contextual Understanding),– Pse nuk shkove në shkollë sot? – Sepse isha me grip.
Question-Answer Pairs (FAQ & Contextual Understanding),– Si është moti në Shkodër? – Po bie shi dhe është ftohtë.
Question-Answer Pairs (FAQ & Contextual Understanding),– Cili është ushqimi yt i preferuar? – Më pëlqen byreku me djathë.
Question-Answer Pairs (FAQ & Contextual Understanding),– Kur është dita jote e lindjes? – Më 3 gusht.
Question-Answer Pairs (FAQ & Contextual Understanding),– Kush e fitoi ndeshjen? – E fitoi ekipi vendas.
Commands & Instructions (Imperative Sentences),Mbylle derën pas vetes!
Commands & Instructions (Imperative Sentences),Mos harro të marrësh çelësat!
Commands & Instructions (Imperative Sentences),Laj duart para se të hash.
Commands & Instructions (Imperative Sentences),"Fol më ngadalë, të lutem."
Commands & Instructions (Imperative Sentences),Lexo me kujdes udhëzimet.
Commands & Instructions (Imperative Sentences),Ndiq rrugën kryesore për pesë minuta.
Commands & Instructions (Imperative Sentences),Shkruaj emrin dhe mbiemrin këtu.
Commands & Instructions (Imperative Sentences),"Mos bëj zhurmë, të tjerët po punojnë."
Commands & Instructions (Imperative Sentences),Fik televizorin para gjumit.
Commands & Instructions (Imperative Sentences),Zgjohu herët nesër në mëngjes!
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Arbëri do të udhëtojë në Romë më 25 mars.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Komuna e Dajtit organizoi një panair kulturor.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Elira punon në Ministrinë e Arsimit.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",UNICEF ka nisur një projekt të ri në Kosovë.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Tirana është qyteti më i madh në Shqipëri.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Festivali “Dokufest” mbahet çdo vit në Prizren.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Në vitin 1912, Shqipëria shpalli pavarësinë."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Besart Dervishi është një shkrimtar i njohur.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Dita Ndërkombëtare e Gruas është më 8 mars.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Banka Botërore financoi ndërtimin e rrugës.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Jam shumë i lumtur për suksesin tim!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nuk më pëlqeu fare shfaqja e djeshme.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),U ndjeva i zhgënjyer pas lajmit.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ajo është një mësuese e mrekullueshme.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Isha shumë i emocionuar për udhëtimin.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ky libër është i mërzitshëm dhe i gjatë.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),E adhuroj natyrën dhe qetësinë që ofron.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Jam i zemëruar me vendimin e tyre.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ishte një ditë e bukur dhe plot diell.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Kam një ndjesi të keqe për këtë situatë.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Unë dua të shkoj në kinema. → Do të më pëlqente të shkoja në kinema.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ai është shumë i lodhur. → Ai ndjehet pa energji.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Po lexoj një libër interesant. → Kam nisur një libër që më pëlqen shumë.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Moti është i ftohtë sot. → Sot është ditë me temperatura të ulëta.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Nuk kam kohë tani. → Jam i zënë për momentin.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ajo jeton në Tiranë. → Banesa e saj është në Tiranë.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Më dërgo një mesazh më vonë. → Shkruama më vonë kur të kesh kohë.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ky vend është shumë i bukur. → Është një vend i mrekullueshëm për t’u vizituar.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Kam uri. → Dua të ha diçka.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Më mungon shumë. → Kam shumë mall për të.
