Category,Māori Sentence
Named Entity Recognition (NER),Ko Te Papa tētahi whare taonga rongonui.
Named Entity Recognition (NER),Kei hea a Hine?
Named Entity Recognition (NER),Ko Tāne Mahuta te rākau nui.
Named Entity Recognition (NER),I mate a Te Rauparaha i te tau 1849.
Named Entity Recognition (NER),Ka tae mai a Pita ā te ahiahi.
Sentiment Analysis Data,Kei te hari ahau!
Sentiment Analysis Data,Ka pouri ahau mō tēnei.
Sentiment Analysis Data,He tino pai tēnei kiriata!
Sentiment Analysis Data,Kāore au e rata ki tēnei whakaaro.
Sentiment Analysis Data,He pai ake te kauhoe i te oma.
Sentiment Analysis Data,Tino reka tēnei keke!
Sentiment Analysis Data,Kāore au e hiahia ki te haere.
Sentiment Analysis Data,Ka riri ahau i ngā mahi kino.
Sentiment Analysis Data,Kei te āwangawanga ahau.
Sentiment Analysis Data,He rawe tēnei rā!
Paraphrased & Augmented Sentences,Kei te haere au ki te toa.
Paraphrased & Augmented Sentences,Ka haere au ki te toa i nāianei.
Paraphrased & Augmented Sentences,Kei te haere ahau ki te hoko kai.
Paraphrased & Augmented Sentences,Kei te haere ahau ki te toa ki te tiki kai.
Paraphrased & Augmented Sentences,Ka haere ahau ki te toa ākuanei.
Paraphrased & Augmented Sentences,Ka toro ahau ki te toa ki te hoko kai.
Paraphrased & Augmented Sentences,Kei te peka ahau ki te toa.
Paraphrased & Augmented Sentences,Ka tae atu ahau ki te toa ā muri ake.
Paraphrased & Augmented Sentences,Ka tukuna e au taku haerenga ki te toa.
Paraphrased & Augmented Sentences,Kei te whakarite ahau ki te haere ki te toa.
