category,sentence_fula
"Idioms, Proverbs & Cultural Expressions",A waawi lootirde butuuɗe jooni.
"Idioms, Proverbs & Cultural Expressions",Miɗo jooɗi seŋo konngi.
"Idioms, Proverbs & Cultural Expressions",Ko honto ndiyam weeyo.
"Idioms, Proverbs & Cultural Expressions","A waawi lootirde ndiyan, amma mballi."
"Idioms, Proverbs & Cultural Expressions",Ko mo ngoni woni ɗuum faama.
"Idioms, Proverbs & Cultural Expressions",Ko aduna konngol fuɗɗi.
Question-Answer Pairs,Hol no innde maa? - Innde am Ko Bala.
Question-Answer Pairs,Ko honɗun a yahii? - Mi yahi e Gaya.
Question-Answer Pairs,Ko honto on jooɗi? - Min jooɗi e Niamey.
Question-Answer Pairs,"Ko woni hande? - Haa, woni Alarba."
Question-Answer Pairs,Ko ɓe no haɓɓi? - ɓe haɓɓi ɗiɗi.
Question-Answer Pairs,"A waawi gollugol? - Eey, mi waawi."
Question-Answer Pairs,Ko fii mo ngoni? - Mo ngoni doktor.
Question-Answer Pairs,Hol no yawti ngam duubi? - Ko konyum e lekki.
Question-Answer Pairs,Ko honɗun mo seɗi? - Mo seɗi jam.
Question-Answer Pairs,"A haɓɓi e ndiyam? - Eey, mi haɓɓi."
Commands & Instructions,Yahu e nder loowi.
Commands & Instructions,Looti laana ngol.
Commands & Instructions,Waawi huli ngal.
Commands & Instructions,Yetti ɗum fii min.
Commands & Instructions,Njiɗi e jam.
Commands & Instructions,Gollu ko moƴƴi.
Commands & Instructions,Rufi seɗa.
Commands & Instructions,Siffa no mbaddi.
Commands & Instructions,Jooɗi e jam.
Commands & Instructions,Wi’i ɗum fii makko.
Named Entity Recognition (NER) Data,Bala yahi e Niamey jooni.
Named Entity Recognition (NER) Data,Ko Seydou wi’i men.
Named Entity Recognition (NER) Data,Mi jogii deftere e College Amadou Hampâté Bâ.
Named Entity Recognition (NER) Data,Ko hande 24 Mars 2025.
Named Entity Recognition (NER) Data,Min yahi e Gaya nde.
Named Entity Recognition (NER) Data,Ko moƴƴi Paul Biya e Cameroon.
Named Entity Recognition (NER) Data,Mi salmini e UNICEF.
Named Entity Recognition (NER) Data,A jogii email e talkalotta.com?
Named Entity Recognition (NER) Data,Ko Niger e West Africa.
Named Entity Recognition (NER) Data,Mi wi’i Binta ɗum no ceertu.
Sentiment Analysis Data,Miɗo feere jooni!
Sentiment Analysis Data,Mi weetti e jam.
Sentiment Analysis Data,Ko ɗuum mi fuɗɗi yiɗde.
Sentiment Analysis Data,Mi hoɗii!
Sentiment Analysis Data,Mi nanii e ɗum.
Sentiment Analysis Data,Ko tuma moƴƴi.
Sentiment Analysis Data,Mi jamaa seɗa.
Sentiment Analysis Data,"Miɗo ngoodi, mi gollii ɗum wala fannda."
Sentiment Analysis Data,Mi jaɓi e makko.
Sentiment Analysis Data,Ko duuɓi mi welti.
Paraphrased & Augmented Sentences,Mi yi'i ɗum haa no feere ɗum ɗo.
Paraphrased & Augmented Sentences,Mi waawi yi'ude ɗum.
Paraphrased & Augmented Sentences,Mi wiyi ɗum ndiyan.
Paraphrased & Augmented Sentences,Mi waɗi yi'ugol ɗum.
Paraphrased & Augmented Sentences,Ko ɗum miɗo yi'ude.
Paraphrased & Augmented Sentences,Mi jooɗii yi'ugol ɗum.
Paraphrased & Augmented Sentences,Mi ngoodi yi’ude ɗum.
Paraphrased & Augmented Sentences,Mi jamɗii yi'ugol ɗum.
Paraphrased & Augmented Sentences,Mi araami e yi'ude ɗum.
Paraphrased & Augmented Sentences,Mi ɓurtii yi’ugol ɗum.
