Category,Sentence (North Frisian)
"Idioms, Proverbs & Cultural Expressions",It gers is net altyd griener oan de oare kant.
"Idioms, Proverbs & Cultural Expressions",Hy wol de bear net foar it sjitten ferkeapje.
"Idioms, Proverbs & Cultural Expressions",Under wetter en oer fjild.
"Idioms, Proverbs & Cultural Expressions",Hy hat in lange tosk krigen.
Question-Answer Pairs,Wannear giet de trein nei Ljouwert?
Question-Answer Pairs,De trein ferlit it stasjon om 10:30 oere.
Question-Answer Pairs,Wêr is de bêste bakkerij yn de stêd?
Question-Answer Pairs,De bêste bakkerij is op de hoeke fan de strjitte.
Question-Answer Pairs,Wat binne de iepeningstiden fan it museum?
Question-Answer Pairs,It museum is iepen fan 9:00 oant 17:00.
Question-Answer Pairs,Hast ek glutenfrij brea?
Question-Answer Pairs,"Ja, wy hawwe in ferskaat oan glutenfrij brea."
Question-Answer Pairs,Hoe kin ik nei it stasjon gean?
Question-Answer Pairs,Jo kinne de bus of de tram nimme.
Commands & Instructions,Doch de doar ticht!
Commands & Instructions,Hâld de lift foar my!
Commands & Instructions,Set de laptop oan.
Commands & Instructions,Lês dit artikel foar moarn.
Commands & Instructions,"Praat stadiger, asjebleaft."
Commands & Instructions,Lit my sjen hoe't it wurket.
Commands & Instructions,Sjoch út! It is glêd!
Commands & Instructions,Pak de kaai en slút de doar.
Commands & Instructions,"Doch dyn jas oan, it is kâld!"
Commands & Instructions,Wachtsje op my by de hoeke.
Named Entity Recognition,Marie wennet yn Amsterdam.
Named Entity Recognition,De Eiffeltoer stiet yn Parys.
Named Entity Recognition,It bedriuw Google is yn 1998 oprjochte.
Named Entity Recognition,De Seine rint troch Frankryk.
Named Entity Recognition,It is moandei hjoed.
Named Entity Recognition,Yn 2020 wiene der grutte feroarings.
Named Entity Recognition,De Nobelpriis waard oan har útrikt.
Named Entity Recognition,It festival wurdt hâlden yn Berlyn.
Named Entity Recognition,Kening Willem-Alexander hat in speech jûn.
Named Entity Recognition,Microsoft lansearre in nije update.
Sentiment Analysis Data,Ik bin sa bliid hjoed!
Sentiment Analysis Data,Dit is it minste wat ik ea sjoen haw.
Sentiment Analysis Data,Ik bin net sa wis oft ik dit leuk fyn.
Sentiment Analysis Data,Wat in prachtige dei hjoed!
Sentiment Analysis Data,Ik bin sa teloarsteld oer it resultaat.
Sentiment Analysis Data,Ik fyn dit restaurant geweldich!
Sentiment Analysis Data,Dit boek wie ferfelend en lang.
Sentiment Analysis Data,Hast in moaie dei hân?
Sentiment Analysis Data,Ik bin tige tefreden mei de tsjinst.
Sentiment Analysis Data,Se wiene net freonlik tsjin ús.
Paraphrased & Augmented Sentences,Ik bin nei Ljouwert gongen.
Paraphrased & Augmented Sentences,Hastû dyn wurk dien?
Paraphrased & Augmented Sentences,Moarn giet hy nei de stêd.
Paraphrased & Augmented Sentences,"As it moai waar is, sille wy nei bûten."
Paraphrased & Augmented Sentences,"Doe't ik oankaam, wiene se al klear."
Paraphrased & Augmented Sentences,Dit boek is skreaun troch de auteur.
Paraphrased & Augmented Sentences,Wiest net thús lêsten?
Paraphrased & Augmented Sentences,Ik soe graach in grutte burger hawwe wolle.
Paraphrased & Augmented Sentences,"As ik mear jild hie, koe ik in auto keapje."
Paraphrased & Augmented Sentences,Hy hat noch nea sa'n moai lân sjoen.
