Category,Guarani_Sentence
"Idioms, Proverbs & Cultural Expressions",Mitã oho jekutu ha’eño.
"Idioms, Proverbs & Cultural Expressions","Ñandejára rekoviaha, iporã opa mba’épe."
"Idioms, Proverbs & Cultural Expressions",Peteĩ ñe'ẽ guasu omboheta py'aguapy.
"Idioms, Proverbs & Cultural Expressions",Ojapo itaju ha’e’yva reheve.
"Idioms, Proverbs & Cultural Expressions",Umi mitã oñembo'e gueteri hína.
Question-Answer Pairs,Mba'éichapa héra ne sy? —Che sy héra María.
Question-Answer Pairs,Moõpa reiko? —Aiko Luque-pe.
Question-Answer Pairs,Araka'e repyta pyhare? —Ko'ẽrõ pyhare.
Question-Answer Pairs,Mba'éichapa nde reñandu? —Che reñandu porã.
Question-Answer Pairs,Mba’éichapa reñe’ẽ guaraníme? —Añe’ẽ porã.
Question-Answer Pairs,"Ikatúpa reho che ndive? —Hee, ikatu."
Question-Answer Pairs,Mba'épa ojapo pe mitã? —Oñembo'e.
Question-Answer Pairs,Moõpa oĩ pe aranduka? —Oĩ pe mesa ári.
Question-Answer Pairs,"Mba’éichapa pe ára? —Haku, pero iporã."
Question-Answer Pairs,"Reikotevẽpa pytyvõ? —Hee, che aikotevẽ."
Commands & Instructions,Eike upépe!
Commands & Instructions,Eipyso ne mba’e!
Commands & Instructions,Eñe’ẽ haguãicha mitãme.
Commands & Instructions,Eguata pya’e!
Commands & Instructions,Emboty pe okẽ!
Commands & Instructions,Ere chéve la añete.
Commands & Instructions,Emoma’ẽ pe kuatia rehe.
Commands & Instructions,Eguerekóke ne mba’éra!
Commands & Instructions,Eipe’a ne akã rehegua!
Commands & Instructions,Epyta upépe ha eñeha’ã!
Named Entity Recognition (NER) Data,Carlos oiko Paraguaýpe.
Named Entity Recognition (NER) Data,Ko ára ha'e 12 jasypo.
Named Entity Recognition (NER) Data,Pe oĩva nde ykére héra Mariana.
Named Entity Recognition (NER) Data,Banco Nacional oĩ tapépe.
Named Entity Recognition (NER) Data,Ñembosarái guasu oikóta San Lorenzo-pe.
Named Entity Recognition (NER) Data,Luisa oho Brasil guive.
Named Entity Recognition (NER) Data,Amazonia ha’e peteĩ ka’aguy guasu.
Named Entity Recognition (NER) Data,Ko aranduka ojepysóva 2023-pe.
Named Entity Recognition (NER) Data,Fernando Lugo ha'e peteĩ mburuvicha.
Named Entity Recognition (NER) Data,Universidad Católica ohekombo’e heta mitãrusu.
Sentiment Analysis Data,Che avy’a heta ko’ápe.
Sentiment Analysis Data,Ndaipóri mba'eve che mbyasyvéva.
Sentiment Analysis Data,"Aikotevẽ pytu’u, che kane’õ."
Sentiment Analysis Data,Aipota ore familia oikove trankilo.
Sentiment Analysis Data,Ahendu ha ndajagueroviái.
Sentiment Analysis Data,Iporãiterei ko'ã ñe’ẽ!
Sentiment Analysis Data,Che remiandu che mbyasyeterei.
Sentiment Analysis Data,Pe ñe’ẽ ojapo che py’a rory.
Sentiment Analysis Data,Ndavy’ái ajuhu’ỹre chupe.
Sentiment Analysis Data,Ha’e ohayhu añetehápe chupe.
Paraphrased & Augmented Sentences,Che ahase haʼe ndive.
Paraphrased & Augmented Sentences,Aipota aha hendive.
Paraphrased & Augmented Sentences,Rohasa pe puente.
Paraphrased & Augmented Sentences,Ore roho pe yvy rupi.
Paraphrased & Augmented Sentences,Pe mitã ojapo tembi’u.
Paraphrased & Augmented Sentences,Pe mitã ombojy tembi’u.
Paraphrased & Augmented Sentences,Oñembo’e pyharekue.
Paraphrased & Augmented Sentences,Olee arandukarusu pyhare.
Paraphrased & Augmented Sentences,Ndavy’ái aimo’ã haguére upéicha.
Paraphrased & Augmented Sentences,Che py’a nasãi che rovia haguére chupe.
