Category,Faroese
"Idioms, Proverbs & Cultural Expressions","Tað er ikki alt gull, ið glitrar."
"Idioms, Proverbs & Cultural Expressions",Hon hevur fingið krossin at bera.
"Idioms, Proverbs & Cultural Expressions",Ein gamal falkur missir ikki sjónina.
"Idioms, Proverbs & Cultural Expressions",Tað er sum at kroysta vatn úr steini.
"Idioms, Proverbs & Cultural Expressions",Ein fuglur í hond er betri enn tveir á grein.
"Idioms, Proverbs & Cultural Expressions","Tá mjólkin er úthelt, er ov seint at angra."
"Idioms, Proverbs & Cultural Expressions",Tey liva sum hundur og ketta.
"Idioms, Proverbs & Cultural Expressions",At ganga eftir gøtuni við lítlum skóm.
"Idioms, Proverbs & Cultural Expressions","Hann dansar, sum spælt verður."
Question-Answer Pairs,Hvat eitur tú? – Eg eiti Anna.
Question-Answer Pairs,Nær kemur tú? – Umleið klokkan trý.
Question-Answer Pairs,Hvar búgva tit? – Í Havn.
Question-Answer Pairs,Hví ert tú ikki við? – Tí eg eri upptikin.
Question-Answer Pairs,Hvussu lang tíð tekur tað? – Kanska ein tíma.
Question-Answer Pairs,Hvør vann kappin? – Tað gjørdi Jens.
Question-Answer Pairs,Hvussu kennist tað? – Tað kennist gott.
Question-Answer Pairs,"Er tað kaldari í dag? – Ja, nógv kaldari."
Question-Answer Pairs,"Kann eg hjálpa tær? – Ja, takk."
Question-Answer Pairs,Hvussu nógv kostar hetta? – Tað kostar 50 krónur.
Commands & Instructions,Lat hurðina aftur.
Commands & Instructions,Tak hetta við tær.
Commands & Instructions,Set teg niður.
Commands & Instructions,Les tekstin væl.
Commands & Instructions,Svara spurninginum greitt.
Commands & Instructions,Far út og spæla!
Commands & Instructions,Tosa ikki so hart.
Commands & Instructions,Gloym ikki at ringja!
Commands & Instructions,Skriva navnið týðiliga.
Commands & Instructions,Vel eina av hesum myndunum.
Named Entity Recognition (NER) Data,Anna býr í Tórshavn.
Named Entity Recognition (NER) Data,Jens arbeiddi hjá Bakkafrost.
Named Entity Recognition (NER) Data,Vit fóru til Klaksvíkar í mai.
Named Entity Recognition (NER) Data,Læknin eitur Rúni Jacobsen.
Named Entity Recognition (NER) Data,Tey vitjaðu í Listasavni Føroya.
Named Entity Recognition (NER) Data,Dagurin var mikudagur tann 5. juni.
Named Entity Recognition (NER) Data,Bókin kom út í 2020.
Named Entity Recognition (NER) Data,Møtið verður í Norðurlandahúsinum.
Named Entity Recognition (NER) Data,Føroyar eru partur av Kongaríkinum Danmark.
Named Entity Recognition (NER) Data,Gekkurin varð vunnin av einum úr Vági.
Sentiment Analysis Data,Eg elski hetta veðrið!
Sentiment Analysis Data,Tað var ein ræðulig uppliving.
Sentiment Analysis Data,Eg eri sera spentur uppá útferðina.
Sentiment Analysis Data,Hetta ger meg so vónbrotin.
Sentiment Analysis Data,Eg eri púra róligur í dag.
Sentiment Analysis Data,Hatta var ótrúliga stuttligt!
Sentiment Analysis Data,Eg eri troyttur av hesum.
Sentiment Analysis Data,Tað var eitt sera vinaligt fólk.
Sentiment Analysis Data,Eg havi ikki so góða kenslu um hetta.
Sentiment Analysis Data,Hatta var ein fantastiskur dagur!
Paraphrased & Augmented Sentences,Eg drekki te hvønn morgun.
Paraphrased & Augmented Sentences,Hvønn morgun drekki eg te.
Paraphrased & Augmented Sentences,"Te er tað, sum eg drekki hvønn morgun."
Paraphrased & Augmented Sentences,Eg plagi at drekka te um morgunin.
Paraphrased & Augmented Sentences,Hvørt einasta morgun fær eg mær ein te.
Paraphrased & Augmented Sentences,Eg byrji dagin við einum te.
Paraphrased & Augmented Sentences,Eg taki mær ein te áðrenn arbeiði.
Paraphrased & Augmented Sentences,Morgunrutina mín byrjar við einum te.
Paraphrased & Augmented Sentences,Eg velji te heldur enn kaffi á morgni.
Paraphrased & Augmented Sentences,Ein koppur av te er mín byrjan uppá dagin.
