Category,Sentence_Ichishkiin
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Shapa shisháwisha kúusi?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Kwɨn kúusi sha schedule áwa?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Kwɨn kúusi sha business.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Manash sha contract signing áwa?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nash kwɨn kúusi law discussion áwa.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nash kwɨn kúusi financial report.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Sha kwɨn kúusi medical conference áwa?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Kwɨn kúusi nash important decision áwa.
"Idioms, Proverbs & Cultural Expressions",Nɨx̱wi nɨx̱wi!
"Idioms, Proverbs & Cultural Expressions",Sha chʉnɨmisha.
"Idioms, Proverbs & Cultural Expressions",Manash shash wayusha?
"Idioms, Proverbs & Cultural Expressions",Tkwátatisha kúusi sha nash ts'insh?
"Idioms, Proverbs & Cultural Expressions",Haw kwɨn kúusi núun kúktana.
"Idioms, Proverbs & Cultural Expressions",Sha yakutisha nɨx̱wi nɨx̱wi.
"Idioms, Proverbs & Cultural Expressions",Sha nash kúusi nɨx̱wi nɨx̱wi?
"Idioms, Proverbs & Cultural Expressions",Tkwátatisha kwɨn kúusi sha nuushá.
"Idioms, Proverbs & Cultural Expressions",Kwɨn kúusi nash learning áwa.
"Idioms, Proverbs & Cultural Expressions",Nash kúusi ts'insh kúusi.
Question-Answer Pairs (FAQ & Contextual Understanding),Kush nim wá?
Question-Answer Pairs (FAQ & Contextual Understanding),Nash nim John.
Question-Answer Pairs (FAQ & Contextual Understanding),Shapa kúusi sha yawisha?
Question-Answer Pairs (FAQ & Contextual Understanding),Sha yawisha school kúusi.
Question-Answer Pairs (FAQ & Contextual Understanding),Kush nash yawisha kúusi?
Question-Answer Pairs (FAQ & Contextual Understanding),Nash yawisha kúusi tkwátatisha.
Question-Answer Pairs (FAQ & Contextual Understanding),Kush nash kúusi pátkwsha?
Question-Answer Pairs (FAQ & Contextual Understanding),Kwɨn kúusi sha yawisha?
Question-Answer Pairs (FAQ & Contextual Understanding),Kwɨn kúusi sha kúktana?
Question-Answer Pairs (FAQ & Contextual Understanding),"Nash yawisha kúusi, kúuk núun áwisha."
Commands & Instructions (Imperative Sentences),Yawisha kúusi!
Commands & Instructions (Imperative Sentences),Tkwátatisha nash kúusi.
Commands & Instructions (Imperative Sentences),Sha kúusi yawisha!
Commands & Instructions (Imperative Sentences),Kwɨn kúusi nash kúktana.
Commands & Instructions (Imperative Sentences),Nash kúusi ts'insh!
Commands & Instructions (Imperative Sentences),Kwɨn kúusi nash wayusha.
Commands & Instructions (Imperative Sentences),Shapa yawisha kúusi.
Commands & Instructions (Imperative Sentences),Tkwátatisha sha kúusi kwɨn kúusi.
Commands & Instructions (Imperative Sentences),Kwɨn kúusi sha school áwa!
Commands & Instructions (Imperative Sentences),Kúusi sha yawisha ts'insh.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",John yawisha kúusi.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Kush wá New York?
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Tkwátatisha kwɨn kúusi sha Walmart.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Nash yawisha kwɨn kúusi Warm Springs.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Sha kúusi government meeting.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Kwɨn kúusi sha community event.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Haw sha yawisha Portland?
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Kwɨn kúusi sha talking to Mayor.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Kwɨn kúusi sha festival Warm Springs.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Manash sha meeting company áwa?
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nash happy kúusi.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Tkwátatisha kwɨn kúusi nash good.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Sha yawisha kúusi nash excited.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Kwɨn kúusi nash worried.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Haw nash yawisha kúusi sad?
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nash kwɨn kúusi looking forward.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Tkwátatisha kwɨn kúusi delicious.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nash yawisha kúusi nervous.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Kwɨn kúusi sha thankful.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Sha kwɨn kúusi happy áwa?
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Nash yawisha kúusi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Kwɨn kúusi nash yawisha.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Yawisha nash kúusi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Kúusi kwɨn nash yawisha.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Nash kúusi yawisha kwɨn kúusi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Nash yawisha kúusi kwa kúusi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Kwɨn kúusi sha yawisha kúusi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Yawisha kúusi nash kwɨn kúusi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Kwɨn kúusi nash yawisha kwa kúusi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Nash yawisha kúusi kúuk nash pátkwsha.
