Category,Sentence_Lao
Formal & Professional Speech,ເຈົ້າສາມາດໃຫ້ຂໍ້ມູນຄືນໄດ້ບໍ?
Formal & Professional Speech,ສັນຍານີ້ແມ່ນມີຜົນບັງຄັບໃຊ້
Formal & Professional Speech,ຂ້ອຍສົ່ງໃບລາຍງານແລ້ວ
Formal & Professional Speech,ຂ້ອຍຕ້ອງການຂໍ້ມູນເພີ່ມເຕີມ
Formal & Professional Speech,ການປະຊຸມຈະເລີ່ມໃນ 9 ໂມງ
Formal & Professional Speech,ຂ້ອຍຄວນອອກແຜນງານ
Formal & Professional Speech,ຂ້ອຍຕ້ອງຂຽນບົດລາຍງານ
"Idioms, Proverbs & Cultural Expressions",ຢາກກິນປາຕ້ອງກ້າດົດນ້ຳ
"Idioms, Proverbs & Cultural Expressions",ຄວາມອົດທົນນຳໄປສູ່ຄວາມສຳເລັດ
"Idioms, Proverbs & Cultural Expressions","ຄົນສູງເຂົ້າໃຫຍ່, ຄົນສັ້ນເຂົ້ານ້ອຍ"
"Idioms, Proverbs & Cultural Expressions","ເບິ່ງຊ້າຄືສິ່ງດີ, ຢ້ຽມໄປຄືຄົນຄິດບໍ່ດີ"
"Idioms, Proverbs & Cultural Expressions","ຂີ້ຄ້ານຊ່ວຍກັນ, ຂີ້ມັ້ນຊ່ວຍເອງ"
"Idioms, Proverbs & Cultural Expressions","ເຮັດດີໄດ້ດີ, ເຮັດຊົ່ວໄດ້ຊົ່ວ"
"Idioms, Proverbs & Cultural Expressions",ຂຽນນ້ຳໃສ່ຊາຍ
"Idioms, Proverbs & Cultural Expressions","ຊ້າປານຄອຍ, ຄໍ່ງາມກໍໄດ້ປາ"
"Idioms, Proverbs & Cultural Expressions",ກາລະວິດດີກວ່າທີ່ຢູ່ໄກ
"Idioms, Proverbs & Cultural Expressions",ສິ່ງໃດທີ່ມີປະໂຫຍດບໍ່ໄດ້ມາງ່າຍໆ
Question-Answer Pairs,ຂ້ອຍຈະຊ່ວຍເຈົ້າໄດ້ແນວໃດ?
Question-Answer Pairs,ມື້ນີ້ອາກາດເປັນແນວໃດ?
Question-Answer Pairs,ຂ້ອຍສາມາດພົບເຈົ້າໃນວັນໃດ?
Question-Answer Pairs,ໃຜເປັນນາຍົກຂອງລາວ?
Question-Answer Pairs,ເຈົ້າມີຄວາມສຸກບໍ?
Question-Answer Pairs,ເຈົ້າຢາກຮຽນພາສາລາວບໍ?
Question-Answer Pairs,ມື້ນີ້ແມ່ນວັນທີໃດ?
Question-Answer Pairs,ເຈົ້າຄິດວ່າຂ້ອຍຄວນເຮັດແນວໃດ?
Question-Answer Pairs,ມີຫຍັງໃນລາຍການອາຫານ?
Question-Answer Pairs,ເຈົ້າມາເມືອງນີ້ເປັນຄັ້ງທຳອິດບໍ?
Commands & Instructions,ເປີດປ່ອນຄວາມສະດວກ
Commands & Instructions,ປິດໄຟ
Commands & Instructions,ໃຫ້ຂ້ອຍເບິ່ງເອກະສານ
Commands & Instructions,ໂທຫາໝູ່ຂອງຂ້ອຍ
Commands & Instructions,ກະລຸນາບໍລິການດ້ວຍຄວາມໄວ
Commands & Instructions,"ຂ້ອຍຈະໄປໂຮງກາເຟ, ໄປນຳກັນບໍ?"
Commands & Instructions,ບອກຂ້ອຍເຖີງລາຄາ
Commands & Instructions,ຂ້ອຍຢາກຟັງເພງນີ້
Commands & Instructions,ອອກແບບໃຫ້ໄປສະຖານທີ່ນີ້
Commands & Instructions,ຂຽນລາຍງານນີ້ໃຫ້ຂ້ອຍ
Named Entity Recognition (NER),ເມືອງວຽງຈັນເປັນທີ່ຕັ້ງຂອງປະເທດລາວ
Named Entity Recognition (NER),ຂ້ອຍເຮັດວຽກຢູ່ Google
Named Entity Recognition (NER),ທ່ານນາຍົກຂອງລາວແມ່ນ?
Named Entity Recognition (NER),ເຄື່ອງໂທລະສັບ iPhone ລ່າສຸດເປັນແນວໃດ?
Named Entity Recognition (NER),ຂ້ອຍໄດ້ໄປຢູ່ປະເທດຫວຽດນາມ
Named Entity Recognition (NER),ໂຮງໝໍປາສິໂດນປະສົມດີຫລືບໍ?
Named Entity Recognition (NER),ເມື່ອວັນທີ 2 ມີການປະຊຸມ
Named Entity Recognition (NER),ປີ 2023 ເປັນປີທີ່ຍິ່ງໃຫຍ່
Named Entity Recognition (NER),ຂ້ອຍຢາກທ່ຽວປະເທດໄທ
Named Entity Recognition (NER),ອົງການ UNICEF ມີການຊ່ວຍເຫຼືອໃນລາວ
Sentiment Analysis Data,ຂ້ອຍມີຄວາມສຸກຫລາຍ
Sentiment Analysis Data,ຂ້ອຍບໍ່ພໍໃຈກັບການບໍລິການ
Sentiment Analysis Data,ເຊົາເປັນມື້ທີ່ສຳລາຍ
Sentiment Analysis Data,ຂ້ອຍຮູ້ສຶກຄິດຮອດ
Sentiment Analysis Data,ເຈົ້າເປັນຄົນທີ່ໂດຍສະເລີຍ
Sentiment Analysis Data,ຂ້ອຍບໍ່ສະບາຍໃຈ
Sentiment Analysis Data,ມື້ນີ້ເປັນວັນທີ່ດີ
Sentiment Analysis Data,ຂ້ອຍລົ້ມເຫລວອີກແລ້ວ
Sentiment Analysis Data,ຂ້ອຍກຳລັງຂຽນຄວາມຄິດເຫັນຂອງຂ້ອຍ
Sentiment Analysis Data,ຂ້ອຍຢາກຂອບໃຈເຈົ້າ
Paraphrased & Augmented Sentences,ຂ້ອຍມັກກິນເຂົ້າທຸກມື້
Paraphrased & Augmented Sentences,ຂ້ອຍກິນເຂົ້າທຸກວັນ
Paraphrased & Augmented Sentences,ຂ້ອຍໄດ້ກິນເຂົ້າແລ້ວ
Paraphrased & Augmented Sentences,ຂ້ອຍກິນເຂົ້າບໍ່ດອກ
Paraphrased & Augmented Sentences,ຂ້ອຍຈະກິນເຂົ້າໃນອີກຊົ້ນ
Paraphrased & Augmented Sentences,ຂ້ອຍຊອບກິນເຂົ້າກັບແກງ
Paraphrased & Augmented Sentences,"ຂ້ອຍສະບາຍດີ, ທ່ານຮູ້ສຶກແນວໃດ?"
Paraphrased & Augmented Sentences,ມື້ນີ້ຂ້ອຍຮູ້ສຶກສະບາຍ
Paraphrased & Augmented Sentences,ຂ້ອຍມີຄວາມສຸກໃນມື້ນີ້
Paraphrased & Augmented Sentences,ຂ້ອຍຮູ້ສຶກສຸກສະຫວັນມື້ນີ້
