Category,Sentence (Yoruba)
"Idioms, Proverbs & Cultural Expressions","Ti ọwọ́ ba kọ ẹnu, ẹnu á kọ ọwọ́."
"Idioms, Proverbs & Cultural Expressions",Ajá tó bèrò yóò jẹ elépà.
"Idioms, Proverbs & Cultural Expressions","Kí á bọ̀ l’óògùn, a fi imu gbọ́."
"Idioms, Proverbs & Cultural Expressions","Ibi tí ọwọ́ bá tó, ni ẹnu á máa dé."
"Idioms, Proverbs & Cultural Expressions",Kò sí ibi tí àbàtà kò ní gbó.
"Idioms, Proverbs & Cultural Expressions",A kì í fi ọwọ́ kan gbọ́rò.
"Idioms, Proverbs & Cultural Expressions",Ẹni tó bá mọ̀yà ní yóò jèrè.
"Idioms, Proverbs & Cultural Expressions","Ojú tó wò ọ̀run, kì í gbọ́ pẹ̀lẹ́."
Question-Answer Pairs (FAQ & Contextual Understanding),"Bawo ni ọjọ rẹ? – O dára, o ṣeun."
Question-Answer Pairs (FAQ & Contextual Understanding),"Njẹ o mọ ibi tí a ti ta akara? – Bẹẹni, lójú ọ̀nà yẹn."
Question-Answer Pairs (FAQ & Contextual Understanding),Ki lo fẹ je? – Mo fẹ̀ fufu ati ẹgusi.
Question-Answer Pairs (FAQ & Contextual Understanding),"Njẹ o n gbo ọrọ mi? – Bẹẹni, mo ngbọ."
Question-Answer Pairs (FAQ & Contextual Understanding),"Ṣe mo le bá ọ sọrọ? – Bẹẹni, ṣé kó tóbi?"
Question-Answer Pairs (FAQ & Contextual Understanding),Ibo ni o wa? – Mo wa ni ile mi.
Question-Answer Pairs (FAQ & Contextual Understanding),"Njẹ a le pade lola? – Bẹẹni, ká gbiyanju."
Question-Answer Pairs (FAQ & Contextual Understanding),Kilode ti o fi wa nibi? – Mo n duro de ore mi.
Question-Answer Pairs (FAQ & Contextual Understanding),"Njẹ o ri i? – Bẹẹni, mo ti ri."
Question-Answer Pairs (FAQ & Contextual Understanding),"Njẹ wọn ti dé? – Rárá, wọn kò tíi dé."
Commands & Instructions (Imperative Sentences),"Jọwọ, ṣìi ilẹkun."
Commands & Instructions (Imperative Sentences),Duro ni ibi náà.
Commands & Instructions (Imperative Sentences),Maṣe gbé e jù.
Commands & Instructions (Imperative Sentences),Jọwọ gbìyànjú lati ṣe iṣẹ rẹ.
Commands & Instructions (Imperative Sentences),Fi ọwọ rẹ ṣàlàyé.
Commands & Instructions (Imperative Sentences),Dáhùn lẹsẹkẹsẹ.
Commands & Instructions (Imperative Sentences),Kọ orukọ rẹ nibi.
Commands & Instructions (Imperative Sentences),Jẹ kí n mọ ohun tí o fẹ.
Commands & Instructions (Imperative Sentences),"Dàgbà, ma ṣe bẹbẹ."
Commands & Instructions (Imperative Sentences),Ṣiṣe lọ ṣàpẹ̀rò.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Akin Alabi je oludasile ile-iṣẹ yẹn.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Oṣù Kẹrin ni iṣẹlẹ naa waye.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ilu Eko jẹ olu-ilu Naijiria.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",A ṣàbẹ̀wò sí Ile Ọba Ifẹ.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Dokita Ṣolá jẹ́ dókítà tó gbóyè.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",A wa nibi fun ayẹyẹ Odun Keresimesi.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Adebanke lo gba award naa.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ọjọ́ kẹrin ni idibo naa waye.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",O lọ sí Ilé-ẹkọ giga ni Ife.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Banki Ajọ lọ ṣíí iroyin mi.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mo fẹ́ràn iresi yẹn!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mo bìnú gidigidi.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Iṣé yìí dára pupọ.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Ẹ fi owo mi pada, jọwọ."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi ò fẹ́ ṣàbẹ̀wò mọ́.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ọmọ yẹn wuyi gan-an.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Mo dá ẹ lójú, yóò ṣiṣẹ."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Eyi yóò kún fun idunnu.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi ò l'ayo lónìí.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mo kùn fọ́lá.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mo fẹ lati ri ọ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Inu mi dun lati pade ọ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mo n reti rẹ loni.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mi o le duro de wa.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),A gbiyanju lati ṣaṣeyọri.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),A n wa ọna lati ṣaṣeyọri.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ise yii n dun mi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mo gbadun iṣẹ yii.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ọjọ yìí wuyi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ó dára lónìí.
