Category,Sentence (Turkmen)
"Idioms, Proverbs & Cultural Expressions",Aýdylmadyk söz – altyn.
"Idioms, Proverbs & Cultural Expressions","Kömek etseň, kömek taparsyň."
Question-Answer Pairs (FAQ & Contextual Understanding),– Bu ýerde näme bolýar? – Bu ýerde konsert bar.
Question-Answer Pairs (FAQ & Contextual Understanding),– Ol näme üçin gelmedi? – Ol keselläpdir.
Question-Answer Pairs (FAQ & Contextual Understanding),– Sagadyň näçer? – On ikiden bäş geçýär.
Question-Answer Pairs (FAQ & Contextual Understanding),– Kim saňa kömek etdi? – Meniň uýam.
Question-Answer Pairs (FAQ & Contextual Understanding),– Nireden gelýärsiňiz? – Aşgabatdan.
Question-Answer Pairs (FAQ & Contextual Understanding),"– Okuwyň nähili geçýär? – Gowy, sag bol."
Question-Answer Pairs (FAQ & Contextual Understanding),"– Şu ýerde oturyp bilerinmi? – Elbetde, geçiň."
Question-Answer Pairs (FAQ & Contextual Understanding),"– Nahar taýynmy? – Hawa, taýyn."
Question-Answer Pairs (FAQ & Contextual Understanding),– Bu kitap kim tarapyndan ýazylan? – Döwletmyrat Azady.
Question-Answer Pairs (FAQ & Contextual Understanding),– Saýlawlar haçan? – Geljek aýda bolar.
Commands & Instructions (Imperative Sentences),Gapyny ýap!
Commands & Instructions (Imperative Sentences),Kitaby al we oka!
Commands & Instructions (Imperative Sentences),Işüňi wagtynda ýerine ýetir.
Commands & Instructions (Imperative Sentences),Bu faýly maňa iber.
Commands & Instructions (Imperative Sentences),Sag bol diýip aýt!
Commands & Instructions (Imperative Sentences),Häzirlikçe garaş!
Commands & Instructions (Imperative Sentences),"Saklan, ýol hereketi bar!"
Commands & Instructions (Imperative Sentences),Özüňe seret we arkaýyn bol.
Commands & Instructions (Imperative Sentences),Şu ýerde garaşmagyňy haýyş edýärin.
Commands & Instructions (Imperative Sentences),Içeri gir!
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Gurbanguly Berdimuhamedow Halk Maslahatynyň agzasydyr.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Aşgabat Türkmenistanyň paýtagtydyr.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",21-nji martda Bahar baýramy bellenilýär.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",UNESCO medeni miraslar sanawyna girýär.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Türkmenhowaýollary täze uçar satyn aldy.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Şükür bagşy iň meşhur sazandalaryň biridir.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Mary welaýatynda ýyladyş sezon başlandy.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Türkmenistanyň Döwlet Medeniýet Merkezi muzeýidir.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",BMG-nyň ýolbaşçysy çykyş etdi.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",2025-nji ýylda halkara forum geçirilýär.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Men bu filmi gaty haladym.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Bugün gaty ýadadym.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ol meniň üçin iň gowy dostum.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Bu habar meni gynandyrdy.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ýaňky gürrüň meniň kalbymy ýürekden gyssady.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ol kömek edenligi üçin hoşaldym.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Bu kitap meni ruhlandyrdy.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Meniň pikirimçe, bu adalatly karar."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Men beýle garşydygymy aýdýaryn.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Gowy geçiren güni unutjak däl.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Men düýn restorana gitdim.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Düýn men restorana bardym.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Men restoranda naharlandym düýn.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Restorana düýn gitdim men.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Düýn restoranda boldum.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Men restoranda bolupdym düýn.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Düýn restoranda jem bolduk.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Restoran meni düýn çagyrdy.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ol restorana barypdy düýn.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Restoran bilen duşuşygym bardy düýn.
