Category,Sentence (Swiss French)
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",L’horlogerie est une spécialité genevoise.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Le festival de Montreux attire des milliers de visiteurs.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Zurich est la plus grande ville de Suisse.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Je suis tellement content aujourd’hui !
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ce film était vraiment décevant.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"J’adore cet endroit, c’est magnifique."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Je suis en colère contre ce service.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),C’est une excellente nouvelle !
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ce plat a un goût affreux.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Il semble très triste aujourd’hui.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),J’ai peur de parler en public.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Elle est ravie de son nouvel emploi.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ce livre est tellement inspirant !
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Il ira au magasin demain.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Elle avait terminé son travail avant midi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Si j’avais su, j’aurais réagi autrement."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Le projet sera achevé la semaine prochaine.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Nous avons bien rigolé hier.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Les invitations ont été envoyées rapidement.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),J’espère que tu pourras venir ce soir.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Il est préférable de ne pas parler fort ici.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),On aurait dû réserver plus tôt.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Tu devrais prendre un parapluie.
