Category,Tok Pisin Sentence
Question-Answer Pairs (FAQ & Contextual Understanding),Em i stret long tingting bilong yu?
Question-Answer Pairs (FAQ & Contextual Understanding),Yu lukim em long Sande o nogat?
Question-Answer Pairs (FAQ & Contextual Understanding),Yu save stret long rot i go long Goroka?
Question-Answer Pairs (FAQ & Contextual Understanding),Yu no klia long toktok bilong em ah?
Commands & Instructions (Imperative Sentences),Kam insait nau!
Commands & Instructions (Imperative Sentences),Kisim dispela na givim long em.
Commands & Instructions (Imperative Sentences),Raitim nem bilong yu long pepa.
Commands & Instructions (Imperative Sentences),Klosim dua taim yu go aut.
Commands & Instructions (Imperative Sentences),No ken tok nating.
Commands & Instructions (Imperative Sentences),Holim dispela strong.
Commands & Instructions (Imperative Sentences),Putim bek buk long shelf.
Commands & Instructions (Imperative Sentences),Yu mas was gut long dispela hap.
Commands & Instructions (Imperative Sentences),Stretim bed bipo yu go.
Commands & Instructions (Imperative Sentences),Bringim glas i kam nau.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",John i stap long Lae nau.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Mi lukim Misis Kora long dokta haus.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Yumi bai bung long Mande 5 April.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ol pikinini i go long Coronation School.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Mi wok long Komiti Bilong Gaden Save.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Yu bin go long Ela Beach?
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Dispela ol i stap long haus sik Port Moresby.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ol meri bilong Gereka i save mekim bilum.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Bosman bilong kampani em Mister Kila.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Taim 1975 em taim PNG i kisim indipendens.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi amamas tru long dispela samting.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Em i no gutpela, mi bel hevi."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi no ting dispela em gutpela rot.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi ting em bai wok gut.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi sori tru long yu.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Em i tokim mi long strongpela toktok.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Dispela i mekim bel bilong mi stap isi.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi belhat tru long dispela toktok.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi luksave olsem em i no laik help.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi amamas long bungim yu gen.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mi bin go long stua. Mi go long shop.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Em i no laik. Em i no want.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Yumi save long dispela samting. Yumi save dispela.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mi kam long haus nau. Nau mi kam long haus.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Plis lukim dispela. Plis yu luk long dispela samting.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Yu mas stap isi. Yu mas no mekim nois.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Toktok wantaim em. Tok wantaim em.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mi ritim buk. Buk mi ritim.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Kisim kaikai long tebol. Tekim kaikai long tebol.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Taim em i go, mi wokabaut. Taim em go pinis, mi wokabaut."
