Category,IsiZulu Sentence
"Idioms, Proverbs & Cultural Expressions",Ukubeka amazinyo egcekeni.
"Idioms, Proverbs & Cultural Expressions",Inja ingalimaza umnikazi wayo.
"Idioms, Proverbs & Cultural Expressions",Izandla ziyagezana.
"Idioms, Proverbs & Cultural Expressions",Amanzi angaphansi komhlaba.
"Idioms, Proverbs & Cultural Expressions",Akulahlwa mbeleko ngakufelwa.
"Idioms, Proverbs & Cultural Expressions",Umuntu ngumuntu ngabantu.
"Idioms, Proverbs & Cultural Expressions",Indlela ibuzwa kwabaphambili.
"Idioms, Proverbs & Cultural Expressions",Uhlanga luyawuzala umlotha.
"Idioms, Proverbs & Cultural Expressions",Akukho qili lazikhotha emhlane.
"Idioms, Proverbs & Cultural Expressions",Ukuhamba kukufundisa okuningi.
Question-Answer Pairs (FAQ & Contextual Understanding),Ubani igama lakho? – Igama lami nguSipho.
Question-Answer Pairs (FAQ & Contextual Understanding),Uhlala kuphi? – Ngihlala eJohannesburg.
Question-Answer Pairs (FAQ & Contextual Understanding),Yini ozoyenza namuhla? – Ngizosebenza ekhaya.
Question-Answer Pairs (FAQ & Contextual Understanding),Yisiphi isizathu sokufika kwakho? – Ngize ukuzofunda.
Question-Answer Pairs (FAQ & Contextual Understanding),Ungasiza kanjani? – Ngingakusiza ngalolu lwazi.
Question-Answer Pairs (FAQ & Contextual Understanding),"Ngabe lokhu kuyenzeka kaningi? – Yebo, kuyenzeka njalo."
Question-Answer Pairs (FAQ & Contextual Understanding),Lena yisikhathi esingakanani? – Isikhathi esingu-10 imizuzu.
Question-Answer Pairs (FAQ & Contextual Understanding),"Ingabe iyavuleka le ndawo ngoMgqibelo? – Cha, ivaliwe."
Question-Answer Pairs (FAQ & Contextual Understanding),"Ngabe ungakwazi ukusiza? – Yebo, ngingakusiza."
Question-Answer Pairs (FAQ & Contextual Understanding),"Ingabe uthanda ukudla lokhu? – Yebo, kuyamnandi."
Commands & Instructions (Imperative Sentences),"Vula iwindi, sicela."
Commands & Instructions (Imperative Sentences),Faka ipeni etafuleni.
Commands & Instructions (Imperative Sentences),Ungakhohlwa ukupaka imoto kahle.
Commands & Instructions (Imperative Sentences),Buyela emuva kancane.
Commands & Instructions (Imperative Sentences),"Shesha, sizohamba manje."
Commands & Instructions (Imperative Sentences),Qaphela lapho uhamba khona.
Commands & Instructions (Imperative Sentences),Cela usizo uma udinga.
Commands & Instructions (Imperative Sentences),Hamba uye endaweni yokupaka.
Commands & Instructions (Imperative Sentences),Lalela kahle imiyalelo.
Commands & Instructions (Imperative Sentences),Qinisekisa ukuthi konke kuhle ngaphambi kokuhamba.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",UNelson Mandela wazalwa ngo-1918.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ngihlala eSoweto.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Isikhathi siqala ngo-8 ekuseni.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ibhange leNedbank lisemgwaqweni omkhulu.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Umhlangano wethu useSandton.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",NgoLwesibili sizohlangana nabaphathi.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",UMsombuluko wokuqala wenyanga ebalulekile.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",I-Airways ingeyakwaSouth Africa.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",UMphathiswa wezeMfundo usazokhuluma.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ingqungquthela izoba seKapa.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngijabule kakhulu namuhla!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngizizwa ngikhathazekile ngalolu daba.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngiyamangala ngalokho akwenzile.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Leli phathi libi kakhulu, angikuthandanga."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Ngiyacela uxolo, angifuni ukukulimaza."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngiyamthanda kakhulu umngani wami.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Lokhu kuyadabukisa kakhulu.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngiyaphatheka kabi uma ngicabanga ngalokho.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Ngiyaxolisa, bengicabanga ukuthi kwenzekile okunye."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngicabanga ukuthi lokhu kuhle kakhulu!
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ngifuna ukuya eThekwini.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ngiyafisa ukuya eThekwini.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ngabe singahamba eThekwini ndawonye?
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ngicabanga ukuthi kufanele sihambe eThekwini.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ngicela ulwazi lokuthi singaya kanjani eThekwini.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ingabe singahamba eThekwini ngeSonto?
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ngabe uke wahamba eThekwini ngaphambili?
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ngicela usho ukuthi yini ehamba kahle eThekwini.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ngiyafisa ukuvakashela idolobha laseThekwini.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ngingathanda ukuya lapho ngesikhathi esizayo.
