Category,Sentence (Occitan)
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Aqueste libre es una pèrda de temps!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Senti una granda nostalgia en revisitant mon vilatge natal.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Soi plan suspres per aquesta novèla.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Aquesta cançon me dona una energia positiva.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Soi nerviós abans mon examèn.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),M’agrada fòrça la cultura occitana!
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),La pluèja d’uèi es fòrça intensa. → Plòu fòrça uèi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Se pòdi, vendriái al festenal. → Se n’ai l’escasença, assistirai al festenal."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Lo trabalh es complicat mas interessant. → Es un trabalh exigent mas passionant.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Demà es un jorn important. → Lo jorn de deman es determinant.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Es necessari d’aprene las lengas. → Aprene las lengas es essencial.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Me cal crompar de legums. → Devi anar faire las crompas per de legums.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),As ja visitat aqueste musèu? → Es estat aquí abans?
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Lo tren arribarà a 10 oras. → Lo tren es previst per 10 oras.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Aqueste libre es fòrça interessant. → Es una òbra fascinanta.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Aquesta decision es malaisida. → Prendre aquesta decision es pas aisit.
