Category,Sentence_Aragonese
Commands & Instructions,No manges tanto azúcar.
Commands & Instructions,Dame la clau de casa.
Commands & Instructions,Escribe una carta ta o to amigu.
Commands & Instructions,Apaga o llum dimpués d’usar-lo.
Commands & Instructions,Saluda ta la tuya familia de la mia parte.
Commands & Instructions,Escuita con atenzión.
Commands & Instructions,Fes lo que te digo.
Commands & Instructions,No vayas per aquel camín.
Named Entity Recognition (NER),María y Pedro viven en Teruel.
Named Entity Recognition (NER),O 23 de abril ye o Día d’Aragón.
Named Entity Recognition (NER),Google ye una empresa multinacional.
Named Entity Recognition (NER),Lo Ebro ye o río más gran d’Aragón.
Named Entity Recognition (NER),Zaragoza ye la capital d’o país.
Named Entity Recognition (NER),Amazon ha anunciato un nuevo servici.
Named Entity Recognition (NER),O Real Zaragoza ha ganau o partido.
Named Entity Recognition (NER),O festival de Jaca se celebra en verano.
Named Entity Recognition (NER),San Jorge ye lo patrón d’Aragón.
Named Entity Recognition (NER),Elon Musk ye un empresario conoxiu.
Sentiment Analysis Data,Me encanta o sabor d’ista comida.
Sentiment Analysis Data,No me ha prestau gens o libro.
Sentiment Analysis Data,A mía vacación ha estau maravillosa.
Sentiment Analysis Data,Ye un día tristo ta mí.
Sentiment Analysis Data,Lo concert ha estau una experiencia inolvidable.
Sentiment Analysis Data,A noticia m’ha feito chorar.
Sentiment Analysis Data,Lo servicio en o restaurante ye nefasta.
Sentiment Analysis Data,O mio perro ye lo millor amigo que tengo.
Sentiment Analysis Data,Sento alegría en estar aquí.
Sentiment Analysis Data,Ye injusto lo que ha pasau.
Paraphrased & Augmented Sentences,Lo día ye soleado.
Paraphrased & Augmented Sentences,Fai sol huei.
Paraphrased & Augmented Sentences,No plueve huei.
Paraphrased & Augmented Sentences,"A lo largo d’a historia, iste país ha cambiau molt."
Paraphrased & Augmented Sentences,Iste país ha visto molts cambios en a suya historia.
Paraphrased & Augmented Sentences,Cada día aprendemos algo nuevo.
Paraphrased & Augmented Sentences,Totz os días hai algo nuevo ta aprender.
Paraphrased & Augmented Sentences,As montanyas son altas y impresionants.
Paraphrased & Augmented Sentences,Lo paisache en as montanyas ye espectacular.
Paraphrased & Augmented Sentences,Lo riu pasa per a ciudat con calma.
