Category,Sentence (Swiss Standard German)
Commands & Instructions (Imperative Sentences),Bleiben Sie ruhig und warten Sie auf Anweisungen.
Commands & Instructions (Imperative Sentences),"Schau nach links und dann nach rechts, bevor du über die Straße gehst."
Named Entity Recognition (NER) Data,Albert Einstein wurde 1879 in Deutschland geboren.
Named Entity Recognition (NER) Data,Der Genfer See ist einer der größten Seen Europas.
Named Entity Recognition (NER) Data,Google wurde 1998 gegründet.
Named Entity Recognition (NER) Data,Die FIFA hat ihren Sitz in Zürich.
Named Entity Recognition (NER) Data,Das Oktoberfest findet in München statt.
Named Entity Recognition (NER) Data,Die Schweiz wurde 1291 gegründet.
Named Entity Recognition (NER) Data,Roger Federer hat zahlreiche Grand-Slam-Titel gewonnen.
Named Entity Recognition (NER) Data,Das Matterhorn ist ein berühmter Berg in der Schweiz.
Named Entity Recognition (NER) Data,Die UNO hat ein Büro in Genf.
Named Entity Recognition (NER) Data,Tesla produziert Elektrofahrzeuge.
Sentiment Analysis Data,Ich bin so glücklich über die gute Nachricht!
Sentiment Analysis Data,Das war der schlimmste Tag meines Lebens.
Sentiment Analysis Data,Ich liebe dieses Lied!
Sentiment Analysis Data,Dieser Film war einfach schrecklich.
Sentiment Analysis Data,Ich bin total begeistert von meinem neuen Job.
Sentiment Analysis Data,Das Essen war ungenießbar.
Sentiment Analysis Data,Ich bin enttäuscht von deinem Verhalten.
Sentiment Analysis Data,Heute ist ein wundervoller Tag!
Sentiment Analysis Data,Diese Entscheidung macht mich wütend.
Sentiment Analysis Data,"Ich habe gemischte Gefühle über das, was passiert ist."
Paraphrased & Augmented Sentences,Ich habe Hunger. → Ich bin hungrig.
Paraphrased & Augmented Sentences,Er ist sehr müde. → Er ist extrem erschöpft.
Paraphrased & Augmented Sentences,Das Wetter ist schön. → Die Sonne scheint und es ist angenehm warm.
Paraphrased & Augmented Sentences,Ich brauche Hilfe. → Könntest du mir bitte helfen?
Paraphrased & Augmented Sentences,Es ist spät. → Die Uhr zeigt schon Mitternacht.
Paraphrased & Augmented Sentences,Dieses Buch ist interessant. → Ich finde dieses Buch spannend.
Paraphrased & Augmented Sentences,Ich mag Schokolade. → Schokolade schmeckt mir sehr gut.
Paraphrased & Augmented Sentences,Er fährt schnell. → Er fährt mit hoher Geschwindigkeit.
Paraphrased & Augmented Sentences,Das war eine gute Idee. → Das war eine kluge Entscheidung.
Paraphrased & Augmented Sentences,Wir sehen uns morgen. → Bis morgen!
