Category,Sentence (Twi)
Sentiment Analysis Data,Ɛyɛ me abufuo.
Sentiment Analysis Data,M'ani nnye koraa.
Sentiment Analysis Data,Me ho yɛ fɛ.
Sentiment Analysis Data,Mede ho yɛ.
Sentiment Analysis Data,Ɛyɛ me nwanwa.
Sentiment Analysis Data,Me neɛyɛ na me ho yɛ den.
Sentiment Analysis Data,Medi nkɔso na minhu nkɔso.
Paraphrased & Augmented Sentences,Me pɛ asɛm no.
Paraphrased & Augmented Sentences,M’ani gye ho.
Paraphrased & Augmented Sentences,Merehwehwɛ ho.
Paraphrased & Augmented Sentences,Mepɛ sɛ mihu.
Paraphrased & Augmented Sentences,M’ani agye.
Paraphrased & Augmented Sentences,Madi ho nkɔso.
Paraphrased & Augmented Sentences,Ɛyɛ me abufuo.
Paraphrased & Augmented Sentences,M’ani nnye koraa.
Paraphrased & Augmented Sentences,Medi ho.
Paraphrased & Augmented Sentences,Me ho yɛ fɛ.
