Category,Sentence (Haitian Creole)
"Idioms, Proverbs & Cultural Expressions",Tout moun jwenn tanbou pa l lè fèt rive.
"Idioms, Proverbs & Cultural Expressions",Granmoun pa chita pou w di l solèy cho.
"Idioms, Proverbs & Cultural Expressions",Se pa tout bèl pawòl ki verite.
"Idioms, Proverbs & Cultural Expressions",Lajan sere pa gen mèt.
Question-Answer Pairs,Kisa ou manje maten an? — Mwen te manje pen ak bè.
Question-Answer Pairs,Ki kote ou te fèt? — Mwen te fèt Okap.
Question-Answer Pairs,Kiyès ki rele w? — Se manman m.
Question-Answer Pairs,Kisa w ap fè la a? — M ap fè devwa m.
Question-Answer Pairs,Poukisa ou pa vini? — Paske mwen te malad.
Question-Answer Pairs,Kòman ou santi ou? — M santi m pi byen kounye a.
Question-Answer Pairs,Ki le ou prale? — A 4è apre midi.
Question-Answer Pairs,"Eske ou konprann sa? — Wi, m konprann."
Question-Answer Pairs,Ki lang ou pale? — Mwen pale Kreyòl ak Franse.
Question-Answer Pairs,"Eske ou renmen lekti? — Wi, m renmen li anpil."
Commands & Instructions,"Chita la, tanpri."
Commands & Instructions,Ekri non ou sou fèy la.
Commands & Instructions,Pa pale fò nan bibliyotèk la.
Commands & Instructions,Sèvi ak plim ble pou reponn kesyon yo.
Commands & Instructions,Swiv direksyon yo ak anpil atansyon.
Commands & Instructions,Rete trankil pandan egzamen an.
Commands & Instructions,Sote paj sa a epi kontinye.
Commands & Instructions,Lave men ou anvan ou manje.
Commands & Instructions,Pale ak pwofesè a sou sa.
Commands & Instructions,Pa bliye pote liv ou demen.
Named Entity Recognition (NER) Data,Michaelle te ale nan Jakmèl mwa pase.
Named Entity Recognition (NER) Data,Pwofesè Jean ap anseye nan Inivèsite Leta Ayiti.
Named Entity Recognition (NER) Data,Nou gen yon reyinyon ak UNICEF demen.
Named Entity Recognition (NER) Data,Edouard Philippe se Premye Minis Lafrans.
Named Entity Recognition (NER) Data,Peyi Chili ap òganize yon konferans sou klima.
Named Entity Recognition (NER) Data,Ayiti te endepandan depi 1804.
Named Entity Recognition (NER) Data,Pwogram lan ap sipòte pa UNESCO.
Named Entity Recognition (NER) Data,Nou pral vizite Fort Jacques semèn pwochèn.
Named Entity Recognition (NER) Data,Anpil atis soti nan Pòtoprens ap patisipe.
Named Entity Recognition (NER) Data,Nasyonzini voye èd nan Sid Ayiti.
Sentiment Analysis Data,Mwen renmen jan ou pale avèk respè.
Sentiment Analysis Data,M fache paske ou pa t pale avè m.
Sentiment Analysis Data,Sa fè m kontan anpil!
Sentiment Analysis Data,M pa t panse ou t ap fè sa.
Sentiment Analysis Data,Li bay mwen anpil espwa.
Sentiment Analysis Data,Sa fè m tris tout bon vre.
Sentiment Analysis Data,Ou se yon moun ekstraòdinè.
Sentiment Analysis Data,M pa dakò ditou ak sa ou di a.
Sentiment Analysis Data,M ap sonje sa ou fè pou mwen.
Sentiment Analysis Data,Se te pi move eksperyans mwen jiskaprezan.
Paraphrased & Augmented Sentences,Mwen ap etidye pou egzamen an.
Paraphrased & Augmented Sentences,M ap prepare pou tès la.
Paraphrased & Augmented Sentences,Mwen bezwen li plis pou egzamen an.
Paraphrased & Augmented Sentences,M ap revize leson mwen yo pou tès la.
Paraphrased & Augmented Sentences,M ap repase tout bagay anvan egzamen an.
Paraphrased & Augmented Sentences,M ap fè ti pratik pou mwen pare.
Paraphrased & Augmented Sentences,Egzamen an mande anpil konsantrasyon.
Paraphrased & Augmented Sentences,Mwen ap chita pou etidye kounye a.
Paraphrased & Augmented Sentences,Li enpòtan pou prepare davans.
Paraphrased & Augmented Sentences,M ap fè plan pou reyisi nan tès la.
