Category,Sentence (Juhuri)
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Bu kontrakt chi huquqiy bash.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Sugurtani mo bugun bo bazorg.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ochi men davalatyo gap khelm?
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Shi advokat, men ziyon khelm?"
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Xastane mo vech khel bash.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Shi doktor davoi be men?
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Xojat yo, men advokatyo gap khelm."
"Idioms, Proverbs & Cultural Expressions",Gush to xind mo di? (You reap what you sow.)
"Idioms, Proverbs & Cultural Expressions",Yama az khar ho roft. (He fell into his own trap.)
"Idioms, Proverbs & Cultural Expressions","Shakar be non, cho bod mi non. (Sweet words alone don't feed you.)"
"Idioms, Proverbs & Cultural Expressions","Ghalin az ghalin xind. (Like father, like son.)"
"Idioms, Proverbs & Cultural Expressions",Men chi-lu bechi nonu yama. (Don’t put all your eggs in one basket.)
"Idioms, Proverbs & Cultural Expressions",Zo az lag lag bash. (Patience is a virtue.)
"Idioms, Proverbs & Cultural Expressions","Gozal mo, cho gap khelm. (Beauty fades, wisdom lasts.)"
"Idioms, Proverbs & Cultural Expressions","Chi-lo chi, men chi. (It is what it is.)"
"Idioms, Proverbs & Cultural Expressions","Khel chi mo, gisht bash. (Think before you act.)"
"Idioms, Proverbs & Cultural Expressions","Mard khel loz, cho gap khelm? (A man of his word?)"
Question-Answer Pairs (FAQ & Contextual Understanding),Chi-lu men khelm?
Question-Answer Pairs (FAQ & Contextual Understanding),Siz bo mo loz?
Question-Answer Pairs (FAQ & Contextual Understanding),Ochi men davlatyo gap khelm?
Question-Answer Pairs (FAQ & Contextual Understanding),Shi non be mo?
Question-Answer Pairs (FAQ & Contextual Understanding),Chi be loz men bazorg?
Question-Answer Pairs (FAQ & Contextual Understanding),Men to chi galb khelm?
Question-Answer Pairs (FAQ & Contextual Understanding),Mo cho khel khosh bash?
Question-Answer Pairs (FAQ & Contextual Understanding),Gisht mo chi?
Question-Answer Pairs (FAQ & Contextual Understanding),Men non to davai bash?
Question-Answer Pairs (FAQ & Contextual Understanding),Shi bu non chi azlo?
Commands & Instructions (Imperative Sentences),Mo chi-rash khelm!
Commands & Instructions (Imperative Sentences),Ochi men davoi khelm!
Commands & Instructions (Imperative Sentences),Shi mo non?
Commands & Instructions (Imperative Sentences),Bu mo rash bash.
Commands & Instructions (Imperative Sentences),Ochi mo davlatyo gap khelm!
Commands & Instructions (Imperative Sentences),Shakar be loz!
Commands & Instructions (Imperative Sentences),Khel khosh az khel bash!
Commands & Instructions (Imperative Sentences),Gisht chi loz bash!
Commands & Instructions (Imperative Sentences),Shu xind mo chi bash!
Commands & Instructions (Imperative Sentences),Zo be loz bash!
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Mo New York chi rash bash.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Doktori az Moscow bash.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Kontrakt chi Londonda rash bash.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Shakar az Istanbul bash.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Shi advokat be loz.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ochi men bo zor az Tehran bash.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Chi khel khosh men chi.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Mo chi rash khelm.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Men bo xind bash.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",To mo loz men.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Men khel khosh.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),To chi to avush?
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Zo bo rash bash.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Shi bu non chi khet azlo?
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mo non to davai bash?
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Shi non be men?
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Gisht chi zebo bash!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mo cho khel yakhin bash?
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Chi-lu men amol khelm?
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mo chi-rash khab khelm!
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Zo khel rash bash.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Bu loz chi bash?
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Zo men bechi non bash.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Shakar be roshan!
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Shi bu non chi dasty azlo?
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Men to chi fikr khelm?
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Gisht chi delro bash!
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Khel khosh az to bash!
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mo cho khel rahe bash?
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Men non to delbash bash?
