Category,Sentence_Maltese
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Dan id-dokument għandu jiġi sottomess sa nhar il-Ġimgħa.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Il-kuntratt għandu jiġi ffirmat mit-tnejn il-partijiet.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Qegħdin f'laqgħa ma' klijent internazzjonali.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",L-importanza tal-etika fin-negozju hija ċentrali.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Qed nippreparaw rapport dettaljat fuq is-suq lokali.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Kif tistgħu taraw, ir-riżultati huma pożittivi."
"Idioms, Proverbs & Cultural Expressions","Min jorqod ma’ klieb, iqum bil-briegħed."
"Idioms, Proverbs & Cultural Expressions",Il-ħuta minn rasha tinten.
"Idioms, Proverbs & Cultural Expressions",Aqta’ l-ħmira mill-għajn.
"Idioms, Proverbs & Cultural Expressions","Min ma jafx jaqdef, jaqla’ l-ilma bix-xewk."
"Idioms, Proverbs & Cultural Expressions",Iż-żmien hu l-aqwa tabib.
"Idioms, Proverbs & Cultural Expressions",Aħjar għasfur f’idek milli mija fl-ajru.
"Idioms, Proverbs & Cultural Expressions","Meta l-ħut jitla’ minn fuq l-ilma, il-baħar jitħawwad."
"Idioms, Proverbs & Cultural Expressions","L-għajn trid tara, il-qalb trid temmen."
"Idioms, Proverbs & Cultural Expressions","Meta d-dinja tħawwad, il-fqir dejjem jintilef."
"Idioms, Proverbs & Cultural Expressions","Jekk trid ħbieb, kun ħabib."
Question-Answer Pairs (FAQ & Contextual Understanding),Fejn tgħix? – Ngħix il-Belt Valletta.
Question-Answer Pairs (FAQ & Contextual Understanding),X’inhi l-iktar ikla favorita tiegħek? – Inħobb il-pastizzi.
Question-Answer Pairs (FAQ & Contextual Understanding),Għaliex trid titgħallem il-Malti? – Għax inħobb il-lingwi.
Question-Answer Pairs (FAQ & Contextual Understanding),X’inhuma l-pjanijiet tiegħek għal tmiem il-ġimgħa? – Se mmur il-baħar.
Question-Answer Pairs (FAQ & Contextual Understanding),Meta bdiet it-tieni gwerra dinjija? – Fl-1939.
Question-Answer Pairs (FAQ & Contextual Understanding),Min kien l-ewwel President ta’ Malta? – Sir Anthony Mamo.
Question-Answer Pairs (FAQ & Contextual Understanding),"Tista’ tgħidli fejn hu l-eqreb ħanut? – Iva, hemm wieħed wara l-kantuniera."
Question-Answer Pairs (FAQ & Contextual Understanding),Kif nista’ nitla’ sa l-ajruport? – Tista’ tieħu taxi jew xarabank.
Question-Answer Pairs (FAQ & Contextual Understanding),Liema lingwi jitkellmu l-Maltin? – Malti u Ingliż.
Question-Answer Pairs (FAQ & Contextual Understanding),Fejn hu l-aqwa post għal vaganza f’Malta? – Għawdex hu sabiħ ħafna.
Commands & Instructions (Imperative Sentences),Agħlaq il-bieb jekk jogħġbok.
Commands & Instructions (Imperative Sentences),Tħallix l-ilma jaħli!
Commands & Instructions (Imperative Sentences),Ejjew bilqiegħda!
Commands & Instructions (Imperative Sentences),Mur għandi wara x-xogħol.
Commands & Instructions (Imperative Sentences),Ikteb il-kompitu tiegħek.
Commands & Instructions (Imperative Sentences),Issikket ftit jekk jogħġbok.
Commands & Instructions (Imperative Sentences),Erġa' pprova mill-ġdid.
Commands & Instructions (Imperative Sentences),Isma' b'attenzjoni.
Commands & Instructions (Imperative Sentences),Tmissx dan!
Commands & Instructions (Imperative Sentences),Ħalli l-affarijiet kif kienu.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Il-Prim Ministru ta’ Malta huwa Robert Abela.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",L-Ajruport Internazzjonali ta’ Malta jinsab f’Luqa.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Il-Karnival ta’ Malta jsir f’Februwarju.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Il-kumpanija Air Malta topera titjiriet madwar l-Ewropa.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",San Pawl il-Baħar huwa post popolari għat-turisti.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Il-Belt Valletta hija l-kapitali ta’ Malta.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Fl-1964, Malta kisbet l-indipendenza mill-Gran Brittanja."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Il-Bank Ċentrali ta’ Malta hu responsabbli għall-politika monetarja.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",L-Università ta’ Malta hija l-eqdem istituzzjoni edukattiva f’Malta.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Fil-2022, Malta ospitat diversi kunċerti internazzjonali."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Inħobb il-kċina Maltija, speċjalment il-fenek!"
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Il-vjaġġ tiegħi kien eċċezzjonali u memorabbli.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Jien diżappuntat ħafna bix-xogħol tal-lum.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ma nistax nemmen kemm kien fqir is-servizz.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Ma kienx daqshekk ħażin, imma stennejt aħjar."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Is-serata kienet perfetta, kollox mar kif mixtieq."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Dan hu l-agħar ristorant li mort fih!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),M’għandi l-ebda opinjoni fuq dan is-suġġett.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),L-esperjenza kienet tajba imma mhux straordinarja.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Nirrakkomanda ħafna dan il-ktieb, hu tassew aqwa!"
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Illum il-ġurnata, kulħadd juża t-teknoloġija fil-ħajja ta’ kuljum."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"F’dawn iż-żminijiet, it-teknoloġija hija parti essenzjali mill-ħajja tagħna."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Il-ħin kollu qed jiżdiedu n-nies li jużaw il-midja soċjali.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Kull sena, aktar nies jibdew jużaw il-midja soċjali."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),L-iskejjel għandhom rwol importanti fl-edukazzjoni tat-tfal.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),L-edukazzjoni tat-tfal tiddependi ħafna fuq il-kwalità tal-iskejjel.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Il-baħar f’Malta huwa blu ċar u sabiħ ħafna.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),L-ilmijiet ta’ Malta huma ta’ lewn blu ċar u joffru veduti mill-isbaħ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ir-roti huma mezz tajjeb ħafna ta’ trasport.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),L-użu tar-roti hu mod effiċjenti biex wieħed jivvjaġġa.
