Category,Sentence (Wolof)
Question-Answer Pairs,Baay sa tudd kan mooy?
Question-Answer Pairs,Liggéey bi dafa yomb?
Question-Answer Pairs,Ndax suñu xaalis am na fayda?
Question-Answer Pairs,Mba ngir sa xalaat?
Question-Answer Pairs,Mbaa sa doom bu mag?
Question-Answer Pairs,Kuy topp li lay neex?
Question-Answer Pairs,Ndax dafay gen faju?
Question-Answer Pairs,Ndax danga waxtaan ak moom?
Question-Answer Pairs,Lu tax nga soxla?
Commands & Instructions,Jox ma loolu.
Commands & Instructions,Dem ci ànd ak moom.
Commands & Instructions,Xool ko ci ban biir.
Commands & Instructions,Yaa ngi war a wax baax.
Commands & Instructions,Bul wax bu bare.
Commands & Instructions,Jokkoo ak moom ci waxtaan wi.
Commands & Instructions,Ñuyoo sa jabar ci nañu de.
Commands & Instructions,Ubbi bunt bi.
Commands & Instructions,Bayyil loolu.
Commands & Instructions,Wax ko ci wéet.
Named Entity Recognition (NER) Data,Dakar mooy caay gi Senegal.
Named Entity Recognition (NER) Data,Ndax xam nga Ousmane Sonko?
Named Entity Recognition (NER) Data,Mba sa mag la meun faju?
Named Entity Recognition (NER) Data,Kan mooy maire bu Dakar?
Named Entity Recognition (NER) Data,Sama liggéey ci Sonatel la.
Named Entity Recognition (NER) Data,Ndax yow yaa woon ci France?
Named Entity Recognition (NER) Data,Baay sa tudd Modou Jallow.
Named Entity Recognition (NER) Data,La conference du Sénégal dina am Dakar.
Named Entity Recognition (NER) Data,Moom dafa liggéey ci l’état.
Named Entity Recognition (NER) Data,Ndax yow yaa jàpp bu loolu?
Sentiment Analysis Data,Dama bég bu baax.
Sentiment Analysis Data,Sa wax dafa metti.
Sentiment Analysis Data,Dama nangu ak li nga wax.
Sentiment Analysis Data,"Bu ma def loolu, dama gën bëgg."
Sentiment Analysis Data,Dafay tax ma seet.
Sentiment Analysis Data,Ma ngi dem ci yoon bu rafet.
Sentiment Analysis Data,Dama sonn lool.
Sentiment Analysis Data,Bul wax jafe jafe.
Sentiment Analysis Data,"Bu la neex, na nga wax."
Sentiment Analysis Data,Dama mer lool.
Paraphrased & Augmented Sentences,"Bu la neex, wax ko."
Paraphrased & Augmented Sentences,Ndax nga war na dem?
Paraphrased & Augmented Sentences,Dafay rafet bu baax.
Paraphrased & Augmented Sentences,Mba yow yaa ko jàng?
Paraphrased & Augmented Sentences,Waa Dakar dañuy jàng.
Paraphrased & Augmented Sentences,Ndax am nga jafe-jafe?
Paraphrased & Augmented Sentences,Ndax suñu xaalis am fayda?
Paraphrased & Augmented Sentences,Mba sa doom du waxtaan.
Paraphrased & Augmented Sentences,"Lépp bu rafet, war na neex."
Paraphrased & Augmented Sentences,Dafay ame suñu xalaat.
