Category,Sentence (Catalan)
Commands & Instructions,Entra en silenci a la biblioteca.
Commands & Instructions,Escriu un resum de l’article.
Commands & Instructions,No oblidis portar el teu DNI.
Commands & Instructions,Omple aquest formulari amb les teves dades.
Commands & Instructions,Truca’m quan arribis a casa.
Named Entity Recognition,Barcelona és una ciutat molt bonica.
Named Entity Recognition,El president de la companyia és Joan Torres.
Named Entity Recognition,Maria va viatjar a París el mes passat.
Named Entity Recognition,El riu Ebre és el més llarg de Catalunya.
Named Entity Recognition,El Museu Dalí està situat a Figueres.
Named Entity Recognition,Amazon és una empresa de comerç electrònic.
Named Entity Recognition,L'any 2023 va ser molt calorós.
Named Entity Recognition,El FC Barcelona va guanyar la lliga.
Named Entity Recognition,El metge es diu Dr. Martí Ferrer.
Named Entity Recognition,Apple va llançar un nou iPhone aquest any.
Sentiment Analysis Data,Aquest restaurant és increïble!
Sentiment Analysis Data,No m'agrada gens aquest programa.
Sentiment Analysis Data,Estic molt emocionat pel viatge.
Sentiment Analysis Data,Aquesta pel·lícula és avorrida.
Sentiment Analysis Data,Va ser una experiència fantàstica!
Sentiment Analysis Data,Aquest servei és terrible.
Sentiment Analysis Data,M'encanta la música clàssica.
Sentiment Analysis Data,No suportava la calor de l’estiu.
Sentiment Analysis Data,És un llibre molt interessant.
Sentiment Analysis Data,No m'esperava una resposta tan ràpida.
Paraphrased & Augmented Sentences,Ahir vaig veure una pel·lícula molt bona.
Paraphrased & Augmented Sentences,Vaig mirar un film impressionant ahir.
Paraphrased & Augmented Sentences,El cotxe és de color blau.
Paraphrased & Augmented Sentences,Aquest vehicle té un to blau.
Paraphrased & Augmented Sentences,És important menjar sa.
Paraphrased & Augmented Sentences,Menjar bé és essencial.
Paraphrased & Augmented Sentences,M'agrada molt llegir novel·les.
Paraphrased & Augmented Sentences,Disfruto llegint llibres de ficció.
Paraphrased & Augmented Sentences,Aquesta classe és molt educativa.
Paraphrased & Augmented Sentences,És un curs molt formatiu.
