Category,Sentence (Manx)
"Idioms, Proverbs & Cultural Expressions",T'eh goll er y stroin myr giat er e chassyn.
"Idioms, Proverbs & Cultural Expressions",Goll myr yn gheay – dy tappee dy feer!
"Idioms, Proverbs & Cultural Expressions","Cha jean oo geddyn dooinney gyn baase, ny marrey gyn tonn."
"Idioms, Proverbs & Cultural Expressions","Ny smoo ee dy chee, ny sloo ee dy yannoo!"
"Idioms, Proverbs & Cultural Expressions",Cha nel monney er y theay – agh she bee yn dooiney.
"Idioms, Proverbs & Cultural Expressions",S'lhiat ny smoo na'n raad – agh cha lhiat y chree.
Question-Answer Pairs,Cre'n traa t’eh? – T’eh queig er tree.
Question-Answer Pairs,"Vel eh er n’gholl? – She, t’eh goll ec tree."
Question-Answer Pairs,Cre ta shin dy yannoo? – Ta shin goll dys y pharrik.
Question-Answer Pairs,"Vel oo foast gobbragh ayns y thie-oast? – Cha nel, ren mee faagail."
Question-Answer Pairs,"Vel ny paitchyn dy mie? – She, ta ad jannoo braew."
Question-Answer Pairs,Cre'n fa nagh vel oo er n'gholl? – Ta mee skee son y laa.
Question-Answer Pairs,"Vel shiu geearree biagh? – Cha nel, gura mie ayd."
Question-Answer Pairs,Vel eh bio ny marroo? – Bio dy jarroo!
Question-Answer Pairs,Cre ta shoh? – She lioar noa.
Question-Answer Pairs,"Vel shin er-ash my vees y traa aym? – She, my sailt."
Commands & Instructions,Tar dy cheilley!
Commands & Instructions,Eaisht rish y chlass.
Commands & Instructions,Cur sheese yn lioar.
Commands & Instructions,Gow ayrn jeh’n oayll.
Commands & Instructions,Lhaih shoh ec y cheeill.
Commands & Instructions,Jean cur lesh y çhing.
Commands & Instructions,Gow traa dy roshtyn dy leah.
Commands & Instructions,Cur orrym my chaseryn.
Commands & Instructions,Cummal ayns y raad shoh.
Commands & Instructions,Freggyr yn chied chost!
Named Entity Recognition (NER) Data,Ta Juan goll dys Castletown gys y chaglym ec Tree Hie.
Named Entity Recognition (NER) Data,Ren Moirrey çheet veih'n Reeriaght Unnaneysit.
Named Entity Recognition (NER) Data,Va'n çheshaght Ellynyn Manninagh er ve jannoo shassoo.
Named Entity Recognition (NER) Data,Va mee ayns Ramsey ec hoght er y chlag.
Named Entity Recognition (NER) Data,T'ad gra dy vel’n thie shen ec Purt ny h-Inshey.
Named Entity Recognition (NER) Data,"Cha nel Tom ec y thie, t’eh goll gys y reihys."
Named Entity Recognition (NER) Data,Va’n chloieder Harry ny pheiagh scanshoil.
Named Entity Recognition (NER) Data,Ta'n reagheydys ry-akin ayns Balley Keeill Eoin.
Named Entity Recognition (NER) Data,Va mee rish Janet ec y Bunscoill Ghaelgagh.
Named Entity Recognition (NER) Data,Chossyn ad yn traoor ayns Lunnin ayns 2023.
Sentiment Analysis Data,Ta mee feer wooiagh jeh'n chooish shen.
Sentiment Analysis Data,Ta shoh jannoo mee feer trimshagh.
Sentiment Analysis Data,Cha nel scansh er y red shen dou.
Sentiment Analysis Data,Ta mee dy bollagh goaill boggey jeh'n red shen.
Sentiment Analysis Data,Ta'n traagh shoh ro fliugh as cha mie eh dou.
Sentiment Analysis Data,S'mie lhiam y lioar shen dy jarroo.
Sentiment Analysis Data,Ta mee skee jeh'n obbyr cheddin dagh laa.
Sentiment Analysis Data,She red feer feer taitnyssagh eh!
Sentiment Analysis Data,Ta mee er ve jannoo myrgeddin as mee dy chooilley cheayrt crampagh.
Sentiment Analysis Data,Cha nel eh ny share na mee er lhimmey jeh!
Paraphrased & Augmented Sentences,Ta mee goll dys y valley jiu.
Paraphrased & Augmented Sentences,Ta mee goll gys y valley ny laa jiu.
Paraphrased & Augmented Sentences,Bee'm ayns y valley ec traa er-giyn.
Paraphrased & Augmented Sentences,T’eh my phlan dy ghoaill raaid y valley.
Paraphrased & Augmented Sentences,Ta mee faagail son y valley jiu.
Paraphrased & Augmented Sentences,Ta mee er n'ghoaill toshiaght dys y valley.
Paraphrased & Augmented Sentences,"My vel oo shirrey mee, bee'm ayns y valley."
Paraphrased & Augmented Sentences,Ta'n valley my yannoo boggoil.
Paraphrased & Augmented Sentences,Ta mee surranse roie dys y valley.
Paraphrased & Augmented Sentences,Bee yn valley shen reayrt mie jiu.
