Category,Sentence (Palestinian Arabic)
"Formal & Professional Speech (Business, Legal, Medical, Technical)",يُرجى التأكد من حضور الاجتماع في الوقت المحدد.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",المريض بحاجة لفحوصات إضافية للتأكد من التشخيص.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",تُعتبر هذه الاتفاقية ملزمة قانونيًا للطرفين.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",يرجى تقديم تقرير مفصل عن المشروع الأسبوع القادم.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",هذا المنتج حاصل على شهادة الجودة العالمية.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",يجب مراجعة العقود قبل التوقيع عليها.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",التزم بالقواعد والإجراءات المتبعة في المؤسسة.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",شكراً على تعاونكم معنا.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",نحن نؤكد استلام طلبك وسيتم معالجته قريباً.
"Idioms, Proverbs & Cultural Expressions",اللي بدو العُلى، بيسهر الليالي.
"Idioms, Proverbs & Cultural Expressions",يد واحدة ما بتصفق.
"Idioms, Proverbs & Cultural Expressions",الجار قبل الدار.
"Idioms, Proverbs & Cultural Expressions",حط عقلك براسك، بتعرف خلاصك.
"Idioms, Proverbs & Cultural Expressions",العين بصيرة والإيد قصيرة.
"Idioms, Proverbs & Cultural Expressions",زي اللي برمي حجارة بالمي.
"Idioms, Proverbs & Cultural Expressions",ما كل مرة بتسلم الجرة.
"Idioms, Proverbs & Cultural Expressions",اللي بحفر حفرة لغيره، بيوقع فيها.
"Idioms, Proverbs & Cultural Expressions",الصديق وقت الضيق.
"Idioms, Proverbs & Cultural Expressions",الدنيا دوارة.
Question-Answer Pairs (FAQ & Contextual Understanding),شو الفرق بين القهوة العربية والتركية؟
Question-Answer Pairs (FAQ & Contextual Understanding),كيف بقدر أروح على السوق بسرعة؟
Question-Answer Pairs (FAQ & Contextual Understanding),ليش الشمس بتغرب بالغرب؟
Question-Answer Pairs (FAQ & Contextual Understanding),قديش سعر هاي الشغلة؟
Question-Answer Pairs (FAQ & Contextual Understanding),إنت متأكد من هالشي؟
Question-Answer Pairs (FAQ & Contextual Understanding),كيف بحجز موعد عند الدكتور؟
Question-Answer Pairs (FAQ & Contextual Understanding),شو هو أكبر جبل بفلسطين؟
Question-Answer Pairs (FAQ & Contextual Understanding),مين كاتب الرواية هاد؟
Question-Answer Pairs (FAQ & Contextual Understanding),ليش الناس بتحب السفر؟
Question-Answer Pairs (FAQ & Contextual Understanding),كيف بطبخ المنسف؟
Commands & Instructions (Imperative Sentences),افتح الباب بسرعة!
Commands & Instructions (Imperative Sentences),اعطيني الكتاب اللي على الطاولة.
Commands & Instructions (Imperative Sentences),لازم تكتب التقرير قبل بكرا.
Commands & Instructions (Imperative Sentences),سكر الشباك، في هوا بارد.
Commands & Instructions (Imperative Sentences),احكي مع المدير حالًا.
Commands & Instructions (Imperative Sentences),لا تروح لحالك!
Commands & Instructions (Imperative Sentences),رجع الكرسي مكانه.
Commands & Instructions (Imperative Sentences),ركز منيح بالكلام.
Commands & Instructions (Imperative Sentences),هات التلفون عشان اتصل.
Commands & Instructions (Imperative Sentences),خلص شغلك بسرعة.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",رام الله مدينة فلسطينية.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",محمود درويش شاعر فلسطيني معروف.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",تأسست جامعة بيرزيت سنة 1924.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",نهر الأردن يفصل بين فلسطين والأردن.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",يوم النكبة الفلسطيني يصادف 15 مايو.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",متحف ياسر عرفات يقع في رام الله.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",القدس عاصمة فلسطين التاريخية.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",شركة جوال تقدم خدمات الاتصالات.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",البحر الميت أخفض نقطة على سطح الأرض.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",مدينة غزة تقع جنوب فلسطين.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),أنا كتير مبسوط اليوم!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),هالخبر زعلني كتير.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),الحياة جميلة بس لازم نعرف كيف نعيشها.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),أنا حاسس بالإحباط من هالموضوع.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),هاي الشغلة بتحمسني كتير!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),مش قادر أتحمل هالضغط.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),بحب أجواء الشتاء كتير.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),اليوم كان يوم متعب بصراحة.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),فرحت لما شفتك بعد هالمدة!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ليش كل الناس متوترة اليوم؟
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),أنا رح أزور ستي اليوم.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),اليوم رح أروح عند ستي.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ستي رح أزورها اليوم.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),رح أزورها ستي اليوم.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),أنا بدي أروح لعند ستي اليوم.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),بدي أروح لعند ستي اليوم.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),اليوم بدي أزور ستي.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),رح أزور ستي اليوم بعد الضهر.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ستي اليوم رح أروح لعندها.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),رح أكون عند ستي اليوم.
