Category,Sentence (Western Armenian)
Formal & Professional Speech,Մասնակիցները իրենց առաջարկները ներկայացուցին ժողովի ընթացքին։
Formal & Professional Speech,Բարձր տեխնոլոգիաները կը շարունակեն զարգանալ արագ տեմպերով։
Formal & Professional Speech,Մեր թիմը աշխատում է լուծումներ գտնելու համար։
Formal & Professional Speech,Անվտանգութեան կանոնները պէտք է խիստ պահպանուին։
Formal & Professional Speech,Խնդրում ենք ուղարկել ձեր դիմումը։
"Idioms, Proverbs & Cultural Expressions","Կաթը թափած է, լացը՝ ի՞նչ օգուտ։"
"Idioms, Proverbs & Cultural Expressions",Աչքը աչքի հանելու համար չէ։
"Idioms, Proverbs & Cultural Expressions",Կտոր մը հաց ու հոգի մը սեր։
"Idioms, Proverbs & Cultural Expressions",Երեխան լեցուեցաւ պոռչտուքով։
"Idioms, Proverbs & Cultural Expressions",Հարիֆին պատասխանը տասը տարի ետք կուգայ։
"Idioms, Proverbs & Cultural Expressions",Անձրեւին առջեւ բացի անձրեւանոցդ։
"Idioms, Proverbs & Cultural Expressions",Արեւը մէկ ձեռքով չես ծածկեր։
"Idioms, Proverbs & Cultural Expressions","Կաղնին մեծ ծառ դարձաւ, բայց սերմ մը էր։"
"Idioms, Proverbs & Cultural Expressions","Խելքը գլուխիդ, քայլերդ՝ հաստատ։"
"Idioms, Proverbs & Cultural Expressions","Մեղուն մեղր կը բերէ, ոչ թե խայթ։"
Question-Answer Pairs,— Ի՞նչ է քու սիրած զբաղմունքդ։ — Ընթերցելը։
Question-Answer Pairs,— Ո՞վ է հայոց պատմութեան նշանաւոր արքաներէն մէկը։ — Տիգրան Մեծ։
Question-Answer Pairs,"— Որտե՞ղ կը գտնուի Արարատ լեռը։ — Թուրքիոյ մէջ, սակայն հայկական մշակոյթին անբաժանելի մասն է։"
Question-Answer Pairs,— Ո՞վ գրեց «Անուշ» պոեմը։ — Հովհաննես Թումանեան։
Question-Answer Pairs,— Ինչո՞ւ լեզուի ուսուցումը կարեւոր է։ — Լեզուն կամուրջ է մշակոյթներու միջեւ։
Question-Answer Pairs,— Երբ հիմնադրուեցաւ Հայաստանի Հանրապետութիւնը։ — 1918 թուականին։
Question-Answer Pairs,— Ո՞րն է մայրաքաղաքը Հայաստանի։ — Երեւան։
Question-Answer Pairs,— Ինչպէ՞ս կ’ըսեն «բարի առաւօտ» հայերէն։ — Բարի լոյս։
Question-Answer Pairs,"— Որո՞նք են հայկական խոհանոցի երեք գլխաւոր ուտեստները։ — Խաշ, դոլմա, հարիսա։"
Question-Answer Pairs,"— Ինչպէ՞ս կրնամ սորվիլ արեւմտահայերէն։ — Ամէն օր կարդալով, լսելով եւ գործածելով։"
Commands & Instructions,Մուտք գործէ ուգրելու հարթակ։
Commands & Instructions,"Խնդրեմ, ձեր փաստաթուղթերը ներկայացուցէք։"
Commands & Instructions,Խորութեամբ մտածէ նախքան որոշում տալը։
Commands & Instructions,"Խնդրում եմ, լոյսերը անջատէք ելքէն առաջ։"
Commands & Instructions,Խօսակցութեան ընթացքին նրբանկատ եղէք։
Commands & Instructions,Կարդացէք այս գիրքը եւ կարծիք գրեցէք։
Commands & Instructions,Հետեւեցէք ճշգրիտ հրահանգներուն։
Commands & Instructions,"Խնդրեմ, այս նամակը ուղարկէ։"
Commands & Instructions,Ուշադիր լսէ՝ առաջ շարժուելու համար։
Commands & Instructions,Պատասխանեցէք հարցին պարզ եւ յստակ։
Named Entity Recognition (NER),Հայաստանի մայրաքաղաքը Երեւանն է։
Named Entity Recognition (NER),Մեսրոպ Մաշտոցը հայկական այբուբենի հեղինակը։
Named Entity Recognition (NER),Արարատ լեռը Հայաստանի մշակոյթի խորհրդանիշն է։
Named Entity Recognition (NER),Ես ծնած եմ Պոլսոյ մէջ։
Named Entity Recognition (NER),Ան Անգլիոյ մէջ ուսանած է Օքսֆորդ համալսարանին։
Named Entity Recognition (NER),Այս տարի Ապրիլ 24-ին կը նշենք Ցեղասպանութեան տարելիցը։
Named Entity Recognition (NER),Մեր ընկերութիւնը կը գործակցի Google-ի հետ։
Named Entity Recognition (NER),Խորհրդաժողովը տեղի ունեցաւ Փարիզի մէջ։
Named Entity Recognition (NER),"Հայոց պատմութիւնը հարուստ է հին թագաւորութիւններով, ինչպէս Ուրարտու։"
Named Entity Recognition (NER),Թէոդորոս Ռշտունին յայտնի հայ զօրավար մըն էր։
Sentiment Analysis Data,Այս ֆիլմը իսկապէս խորապէս յուզիչ էր։
Sentiment Analysis Data,Ես շատ գոհ եմ այս նոր հեռախօսէն։
Sentiment Analysis Data,Այնքան հիասթափուած եմ այս սպասարկումէն։
Sentiment Analysis Data,"Կեանքը կը դառնայ աւելի լաւ, երբ մարդիկ բարի են։"
Sentiment Analysis Data,Սիրոյ եւ հաւատարմութեան զգացումները ամենակարեւորն են։
Sentiment Analysis Data,Սարսափելի տպաւորութիւն ձգեց այս լուրը վրաս։
Sentiment Analysis Data,"Ինչքան երջանիկ եմ, որ այսօր հաւաքուեցանք։"
Sentiment Analysis Data,Միշտ հպարտ եմ իմ հայ մշակոյթով։
Sentiment Analysis Data,"Անիմաստ էր այդ բանավէճը, ժամանակի կորուստ էր։"
Sentiment Analysis Data,"Այս սրճարանը տաքուկ է, համեղ եւ շատ հարմարաւէտ։"
Paraphrased & Augmented Sentences,Ես գիրք կը կարդամ։
Paraphrased & Augmented Sentences,Ես այս վեպը կարդալու հաճոյք կը ստանամ։
Paraphrased & Augmented Sentences,Գիրքեր կարդալը շատ հետաքրքրական է։
Paraphrased & Augmented Sentences,Այս գիրքը իմ սիրելիներէն մէկն է։
Paraphrased & Augmented Sentences,Ամէն երեկոյ գիրք կը կարդամ՝ մինչեւ քնանալս։
Paraphrased & Augmented Sentences,Գրադարան այցելելը հաճելի զբաղմունք է։
Paraphrased & Augmented Sentences,Այս վեպը իմ հետաքրքրութիւնը շարժեց։
Paraphrased & Augmented Sentences,"Ես կ’ընտրեմ գիրքեր, որոնք իմ մտածողութիւնը կը զարգացնեն։"
Paraphrased & Augmented Sentences,Կարդալը կը մատակարարէ նոր գիտելիքներ։
Paraphrased & Augmented Sentences,"Երբ կ’ըլլամ ազատ, միշտ գիրք կը կարդամ։"
