Category,Igbo Sentence
Question-Answer Pairs (FAQ & Contextual Understanding),Kedu ka esi emepụta eletrik?
Question-Answer Pairs (FAQ & Contextual Understanding),Ọ dị mma iso ha gaa?
Question-Answer Pairs (FAQ & Contextual Understanding),Mechie ụzọ ahụ!
Commands & Instructions (Imperative Sentences),"Biko, nye m akwụkwọ ahụ."
Commands & Instructions (Imperative Sentences),Gbalịsie ike ka ị nweta ihe kacha mma.
Commands & Instructions (Imperative Sentences),Tinye mkpụrụ osisi ndị a n'ime akpa.
Commands & Instructions (Imperative Sentences),Jiri nwayọ na-agagharị.
Commands & Instructions (Imperative Sentences),Gụọ akwụkwọ a tupu echi.
Commands & Instructions (Imperative Sentences),Nye ha nri ka ha rie.
Commands & Instructions (Imperative Sentences),"Biko, bido ọrụ gị ugbu a."
Commands & Instructions (Imperative Sentences),Chọpụta na í kwụsịrị ya n’ime nchekwa.
Commands & Instructions (Imperative Sentences),Zitere m ozi ma gwa m ihe ị chere.
Commands & Instructions (Imperative Sentences),Chinwe na-aga Lagos n’izu ụka.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ọ gara Mahadum Nsukka iji mụta.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",M kwụsịrị na ụlọ ahịa Eke Ukwu.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Eze na Nkechi lụrụ na Disemba 2023.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Gburugburu Enugu nwere ebe ndị mara mma.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Afọ 1960 bụ mgbe Nigeria nwetara nnwere onwe.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",UNICEF na-arụ ọrụ enyemaka na mpaghara ndị a.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ọ na-arụ ọrụ na Bank of Africa.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ọtụtụ ndị bi n’Abuja n’oge ugbu a.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ndị otu WHO na-eme nchọpụta banyere ọrịa ọhụrụ a.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ọ na-eme m obi ụtọ ịhụ gị.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nke a bụ otu n'ime ihe kacha mma m hụrụ.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Echere m na ọ bụghị echiche amamihe.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ọ dị mwute na anyị efunahụla ya.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),A na m enwe mmetụta nke obi ụtọ ugbu a.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nsogbu a na-eme ka m nwee nchegbu.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ọ gaghị adị mma ime ya n'ụzọ a.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ọ dị mwute na ọrụ a esighị ike.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),M na-atụ anya na ihe niile ga-adị mma.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),M na-enwe obi ụtọ na anyị mere nke a.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),M na-aga ahịa kwa ụbọchị.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),M na-ere nri na ahịa.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ọ na-eme m obi ụtọ ịnọ ebe a.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),A chọghị ka anyị kụọ egwu ugbu a.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Nsogbu a dị mkpa ka anyị dozie ya ozugbo.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ọ naghị enwe mmasị na egwuregwu.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Eziokwu! Nke a dị ezigbo mkpa.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ọtụtụ ndị mmadụ na-eche banyere nke a.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),M na-atụ anya na anyị ga-enweta ezigbo nsonaazụ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ọ dị mma ka anyị kwuo okwu banyere ya.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Ọ bụrụ na m nwere ohere, m ga-eme ya."
