Category,Sentence (Macedonian)
Named Entity Recognition (NER) Data,Македонија се наоѓа на Балканскиот полуостров.
Named Entity Recognition (NER) Data,Мојот роденден е на 5 мај.
Named Entity Recognition (NER) Data,Во недела одиме на Водно.
Named Entity Recognition (NER) Data,Таа работи во Google.
Named Entity Recognition (NER) Data,Нобеловата награда за физика беше доделена вчера.
Named Entity Recognition (NER) Data,Летото во Охрид е прекрасно.
Named Entity Recognition (NER) Data,Пушти ја песната од Тоше Проески.
Named Entity Recognition (NER) Data,Македонскиот парламент се наоѓа во центарот на градот.
Sentiment Analysis Data,Ова беше најубавиот ден во мојот живот.
Sentiment Analysis Data,Многу сум разочаран од услугата.
Sentiment Analysis Data,Филмот беше фантастичен!
Sentiment Analysis Data,Чувствувам огромен стрес поради работата.
Sentiment Analysis Data,Ова кафе е ужасно горчливо.
Sentiment Analysis Data,Не можам да бидам посреќен во моментов.
Sentiment Analysis Data,Неговите зборови ме повредија.
Sentiment Analysis Data,Концертот беше магичен!
Sentiment Analysis Data,Се чувствувам толку осамено денес.
Sentiment Analysis Data,Пицата беше совршена!
Paraphrased & Augmented Sentences,Јас учам македонски јазик.
Paraphrased & Augmented Sentences,Македонски јазик учам секој ден.
Paraphrased & Augmented Sentences,Секој ден вежбам македонски.
Paraphrased & Augmented Sentences,Јас секојдневно го усовршувам македонскиот јазик.
Paraphrased & Augmented Sentences,Сакам да зборувам подобро македонски.
Paraphrased & Augmented Sentences,Го подобрувам македонскиот секој ден.
Paraphrased & Augmented Sentences,Практикувам македонски преку разговори.
Paraphrased & Augmented Sentences,Вежбам македонска граматика секој ден.
Paraphrased & Augmented Sentences,Македонскиот јазик е убав и богат.
Paraphrased & Augmented Sentences,Секогаш е добро да се знае друг јазик.
