Category,Sentence_Northern_Ndebele
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",IBulawayo City Council izakwethula umbiko kusasa.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",USibongile uzalwe mhla ka-15 kuMfumfu.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",UChipo usebenza eNetOne.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",IMzilikazi Secondary School ithole umvuzo omkhulu.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",IBhalane elibizwa ngeVictoria Falls liseduze lapha.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",UGogo Ncube uyaqeqesha eUnited Bulawayo Hospitals.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngiyathokoza kakhulu ngokungivakashela.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngizizwa ngidumele namuhla.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Isikolo sethu sihle kakhulu!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngiyacasuka uma abantu bengahloniphi isikhathi.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngikhathazekile ngesivivinyo esizayo.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngiyazigqaja ngaleli qembu lami.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngiyamangala ngamazwi akho amahle.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngihlukuluzekile ngenxa yokusebenza okunengi.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngizizwa ngikhululekile lapha ekhaya.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngiyayithanda indlela okhuluma ngayo.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ngiyahamba manje ukuya esitolo.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Manje ngiya esitolo.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ngisuka manje ngiyahamba ngiye esitolo.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ngiyahambela esitolo manje nje.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Sengihambile ngiye esitolo.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ngizahamba ngemuva kwemizuzu embalwa.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ngifuna ukuya esitolo manje.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ngizobe ngisesitolo emizuzwini eyi-10.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ngidinga ukuya esitolo khathesi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ngiphuthuma esitolo manje.
