Category,Swiss German Sentence
Question-Answer Pairs (FAQ & Contextual Understanding),Wie chunsch du go schaffe? – Mit em Velo.
Question-Answer Pairs (FAQ & Contextual Understanding),"Isch d'Post offen? – Ja, bis siebni."
Question-Answer Pairs (FAQ & Contextual Understanding),Wo chann ich das Ticket loufe? – Am Automat.
Question-Answer Pairs (FAQ & Contextual Understanding),Wie het s Wetter morn? – Schön und warm.
Question-Answer Pairs (FAQ & Contextual Understanding),"Isch d Zytig scho da? – Jo, ufem Tisch."
Commands & Instructions (Imperative Sentences),Chumm mal da!
Commands & Instructions (Imperative Sentences),Mach s Liecht uus.
Commands & Instructions (Imperative Sentences),Schrib mir s Mail.
Commands & Instructions (Imperative Sentences),Hör uuf s Gschpräch!
Commands & Instructions (Imperative Sentences),Nimm es Bhaltis!
Commands & Instructions (Imperative Sentences),Lueg da!
Commands & Instructions (Imperative Sentences),Bring mir es Glas Wasser.
Commands & Instructions (Imperative Sentences),Gib mir d Fernbedienig.
Commands & Instructions (Imperative Sentences),Stell s Velo id Garasch.
Commands & Instructions (Imperative Sentences),Bitte wart do!
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",D UEFA isch de grösst Füssballverband.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Zürich isch en wunderschöni Stadt.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",D Bundesverfassung isch im Jahr 1848 verabschiedet worde.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Roger Federer isch e Schwiizer Tennislegende.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ehr händ d Tesla-Aktie kauft.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Mir gönd uf Luzern.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Amazon liefert scho morn.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",De 1. August isch de Nationalfiirtag.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",D Limmat flüsst dür Züri.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",S Google-Büro isch i Zürich.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Das isch e super gueti Idee!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ich ha mega Freud!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Das isch voll blöd.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ich bi u mega wütend!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Das hät mi richtig glügglich gmacht.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ich ha kei Lust.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Das isch mega traurig.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ich bi total begeisteret!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Das isch en Albtraum!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ich ha es mega lässigs Wuchenänd gha.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ich ha gester Zmittag ghä.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Gester ha ich Zmittag ghä.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ich ha zum Zmittag es Sandwich ghä.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Zum Zmittag gester ha ich es Sandwich ghä.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ich ha es guets Zmittag gha.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),S Zmittag gester isch guet gsi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Gester ha ich es feins Zmittag gha.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ich ha gester mega guet gässe.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),S Zmittag ha ich gärn gha.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ich ha scho vil besser Zmittag gha.
