Category,Punjabi Sentence
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਦਸਤਾਵੇਜ਼ ਪੇਸ਼ ਕਰੋ।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ਇਹ ਦਵਾਈ ਦਿਨ ਵਿੱਚ ਦੋ ਵਾਰ ਲੈਣੀ ਹੈ।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ਕਿਰਪਾ ਕਰਕੇ ਮੀਟਿੰਗ ਲਈ ਆਪਣੀ ਤਿਆਰੀ ਕਰੋ।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ਕੰਪਨੀ ਦੇ ਨਿਯਮਾਂ ਦੀ ਪਾਲਣਾ ਕਰਨੀ ਲਾਜ਼ਮੀ ਹੈ।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ਮੈਂ ਤੁਹਾਡੀ ਸ਼ਿਕਾਇਤ ਦਰਜ ਕਰ ਰਿਹਾ ਹਾਂ।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ਇਸ ਵਿਸ਼ਲੇਸ਼ਣ ਤੋਂ ਪਤਾ ਲੱਗਦਾ ਹੈ ਕਿ...
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ਆਪਣੀ ਚੋਣਾਂ ਨੂੰ ਵਿਧਾਨ ਸਭਾ ਚ ਨੋਟ ਕਰੋ।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ਹਮ ਵਿਧਾਨਿਕ ਕਾਰਵਾਈ ਸ਼ੁਰੂ ਕਰ ਰਹੇ ਹਾਂ।
"Idioms, Proverbs & Cultural Expressions","ਜਿਹੜਾ ਬੀਜ ਬੋਵੇਂ, ਓਹੀ ਫਲ ਖਾਵੇ।"
"Idioms, Proverbs & Cultural Expressions",ਵਕਤ ਕਿਸੇ ਦਾ ਇੰਤਜ਼ਾਰ ਨਹੀਂ ਕਰਦਾ।
"Idioms, Proverbs & Cultural Expressions",ਪਾਣੀ ਹੱਥੋ ਵਗ ਗਿਆ।
"Idioms, Proverbs & Cultural Expressions",ਚੋਰ ਦੀ ਦਾਡ਼ੀ ‘ਚ ਤਿਨਕਾ।
"Idioms, Proverbs & Cultural Expressions",ਦੂਧ ਦਾ ਜਲਿਆ ਛਾਛ ਵੀ ਫੂਕ ਕੇ ਪੀਂਦਾ।
"Idioms, Proverbs & Cultural Expressions",ਹੱਥੀ ਮਾਂਗਣ ਨਾਲ ਨਹੀਂ ਮਿਲਦਾ।
"Idioms, Proverbs & Cultural Expressions",ਗੱਭਰੂ ਊਹੋ ਜੋ ਲੜ ਕੇ ਮਰੇ।
"Idioms, Proverbs & Cultural Expressions",ਸੋਨੇ ‘ਤੇ ਸੁਹਾਗਾ।
"Idioms, Proverbs & Cultural Expressions","ਪਹਿਲਾਂ ਤੋਲ, ਫਿਰ ਬੋਲ।"
"Idioms, Proverbs & Cultural Expressions",ਉਹ ਇੱਕ ਨਕਲੀ ਬਿੱਲੀ ਬਣਿਆ ਬੈਠਾ ਸੀ।
Question-Answer Pairs (FAQ & Contextual Understanding),ਤੁਸੀਂ ਕਿੰਨੇ ਸਾਲ ਦੇ ਹੋ?
Question-Answer Pairs (FAQ & Contextual Understanding),ਤੁਸੀਂ ਕਿੱਥੇ ਰਹਿੰਦੇ ਹੋ?
Question-Answer Pairs (FAQ & Contextual Understanding),ਮੈਨੂੰ ਇਹ ਕੰਮ ਕਿਵੇਂ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ?
Question-Answer Pairs (FAQ & Contextual Understanding),ਕੀ ਤੁਸੀਂ ਮੈਨੂੰ ਮਦਦ ਕਰ ਸਕਦੇ ਹੋ?
Question-Answer Pairs (FAQ & Contextual Understanding),ਇਹ ਸਾਡੀ ਆਖਰੀ ਮੀਟਿੰਗ ਕਦੋਂ ਹੋਈ ਸੀ?
Question-Answer Pairs (FAQ & Contextual Understanding),ਇਹ ਕਿੰਨਾ ਮੁੱਲ ਹੈ?
Question-Answer Pairs (FAQ & Contextual Understanding),ਕੀ ਤੁਸੀਂ ਕਦੇ ਵਿਦੇਸ਼ ਯਾਤਰਾ ਕੀਤੀ?
Question-Answer Pairs (FAQ & Contextual Understanding),ਮੇਰਾ ਆਰਡਰ ਕਿਉਂ ਲੇਟ ਹੋਇਆ?
Question-Answer Pairs (FAQ & Contextual Understanding),ਅਸੀਂ ਕਿਵੇਂ ਸ਼ੁਰੂ ਕਰ ਸਕਦੇ ਹਾਂ?
Question-Answer Pairs (FAQ & Contextual Understanding),ਮੈਂ ਇਹ ਪੈਸੇ ਕਿਵੇਂ ਭੇਜ ਸਕਦਾ ਹਾਂ?
Commands & Instructions (Imperative Sentences),ਦਰਵਾਜ਼ਾ ਬੰਦ ਕਰੋ!
Commands & Instructions (Imperative Sentences),ਕਿਰਪਾ ਕਰਕੇ ਮੇਰੀ ਮਦਦ ਕਰੋ!
Commands & Instructions (Imperative Sentences),ਇੱਥੇ ਆਉ!
Commands & Instructions (Imperative Sentences),ਇਹ ਕਿਤਾਬ ਪੜ੍ਹੋ!
Commands & Instructions (Imperative Sentences),ਆਪਣਾ ਕੰਮ ਸਮੇਂ ਉੱਤੇ ਪੂਰਾ ਕਰੋ!
Commands & Instructions (Imperative Sentences),ਚੁੱਪ ਕਰੋ!
Commands & Instructions (Imperative Sentences),ਮੈਨੂੰ ਤੁਹਾਡੀ ਰਾਏ ਦਿਓ!
Commands & Instructions (Imperative Sentences),"ਆਉ, ਅਸੀਂ ਜਾਣਾ ਹੈ!"
Commands & Instructions (Imperative Sentences),ਮੈਨੂੰ ਇਹ ਸਮਝਾਓ!
Commands & Instructions (Imperative Sentences),"ਮੈਂ ਚਾਹ ਪੀਣੀ ਹੈ, ਲੈ ਆਓ!"
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ਮੈਂ ਲਾਹੌਰ ਵਿੱਚ ਰਹਿੰਦਾ ਹਾਂ।
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ਉਹ ਦਿੱਲੀ ਯਾਤਰਾ ‘ਤੇ ਗਿਆ ਸੀ।
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ਅੱਜ 9 ਮਾਰਚ 2025 ਹੈ।
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Google ਇੱਕ ਮਹੱਤਵਪੂਰਨ ਕੰਪਨੀ ਹੈ।
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ਅਸੀਂ ਤਾਜ ਮਹਲ ਦੇ ਦਰਸ਼ਨ ਕੀਤੇ।
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ਸਰਦਾਰ ਭਗਤ ਸਿੰਘ ਇੱਕ ਮਹਾਨ ਯੋਧਾ ਸੀ।
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ਉਹ Apple ‘ਚ ਕੰਮ ਕਰਦਾ ਹੈ।
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ਇਹ ਆਈ.ਪੀ.ਐਲ. ਮੈਚ ਮੁੰਬਈ ਵਿੱਚ ਹੋਵੇਗਾ।
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਨੇ ਨਵਾਂ ਐਲਾਨ ਕੀਤਾ।
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ਉਹ NASA ਦੇ ਵਿਗਿਆਨੀ ਹਨ।
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ਮੈਨੂੰ ਇਹ ਗਾਣਾ ਬਹੁਤ ਪਸੰਦ ਆਇਆ!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ਮੈਂ ਅੱਜ ਬਹੁਤ ਖੁਸ਼ ਹਾਂ!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ਇਹ ਖਬਰ ਬਹੁਤ ਦੁੱਖਦਾਇਕ ਹੈ।
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ਮੈਨੂੰ ਇਸ ਫਿਲਮ ਨੇ ਭਾਵੁਕ ਕਰ ਦਿੱਤਾ।
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ਇਹ ਜਗ੍ਹਾ ਬਹੁਤ ਸ਼ਾਂਤ ਅਤੇ ਸੁੰਦਰ ਹੈ।
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ਮੈਂ ਨਰਾਜ਼ ਹਾਂ ਕਿਉਂਕਿ ਮੇਰੀ ਚੀਜ਼ ਗੁੰਮ ਹੋ ਗਈ।
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ਉਹ ਬਹੁਤ ਗੁੱਸੇ ਵਿੱਚ ਲੱਗਦਾ ਹੈ।
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ਮੈਨੂੰ ਇਹ ਭੋਜਨ ਬਿਲਕੁਲ ਪਸੰਦ ਨਹੀਂ ਆਇਆ।
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ਇਹ ਇੱਕ ਬਹੁਤ ਵਧੀਆ ਤਜਰਬਾ ਸੀ!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ਮੈਨੂੰ ਲੱਗਦਾ ਹੈ ਕਿ ਇਹ ਇੱਕ ਬਹੁਤ ਵਧੀਆ ਫੈਸਲਾ ਹੈ।
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ਮੈਂ ਕਲ੍ਹ ਸिनेਮਾ ਗਿਆ।
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ਕਲ੍ਹ ਮੈਂ ਫਿਲਮ ਵੇਖਣ ਗਿਆ।
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ਉਹ ਹਮੇਸ਼ਾ ਹੰਸਦਾ ਰਹਿੰਦਾ ਹੈ।
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ਉਹ ਹਰ ਵੇਲੇ ਮੂੰਹ ਤੇ ਹਾਸਾ ਰੱਖਦਾ ਹੈ।
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ਕਿਰਪਾ ਕਰਕੇ ਬੈਠੋ।
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"ਆਓ, ਬੈਠ ਜਾਓ।"
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ਤੁਸੀਂ ਇਸ ਕੰਮ ਨੂੰ ਕਿਵੇਂ ਕਰਦੇ ਹੋ?
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ਇਹ ਕੰਮ ਤੁਸੀਂ ਕਿਵੇਂ ਕਰਦੇ ਹੋ?
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ਮੈਨੂੰ ਇੱਕ ਕੌਫੀ ਚਾਹੀਦੀ ਹੈ।
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ਮੈਨੂੰ ਇੱਕ ਕੱਢੀ ਹੋਈ ਕੌਫੀ ਲੈ ਆਉ।
