Category,Sentence_Turkish
Question-Answer Pairs,İstanbul’a ne zaman gideceksin? – Haftaya.
Question-Answer Pairs,Bu ürün hangi malzemeden yapılmış? – Pamuktan.
Question-Answer Pairs,Saat kaç? – 15:30.
Question-Answer Pairs,Buraya nasıl gelebilirim? – Otobüsle veya taksiyle.
Question-Answer Pairs,Bu restoranın yemekleri nasıl? – Çok lezzetli.
Question-Answer Pairs,Hangi dili konuşuyorsun? – Türkçe ve İngilizce.
Commands & Instructions,Kapıyı kapat lütfen.
Commands & Instructions,Şifrenizi giriniz.
Commands & Instructions,Lütfen bekleyiniz.
Commands & Instructions,Beni arayın.
Commands & Instructions,Daha yavaş konuşabilir misiniz?
Commands & Instructions,Bu belgeyi doldurunuz.
Commands & Instructions,Telefonu sessize al.
Commands & Instructions,Buraya oturun.
Commands & Instructions,Yardım edin.
Commands & Instructions,Lütfen ışıkları kapatın.
Named Entity Recognition (NER),Ali dün Ankara’ya gitti.
Named Entity Recognition (NER),Google yeni bir yapay zeka duyurdu.
Named Entity Recognition (NER),Türkiye’nin başkenti Ankara’dır.
Named Entity Recognition (NER),Amazon'dan bir kitap sipariş ettim.
Named Entity Recognition (NER),Elon Musk SpaceX’i kurdu.
Named Entity Recognition (NER),Üniversite sınavı 15 Haziran'da yapılacak.
Named Entity Recognition (NER),Microsoft yeni bir güncelleme yayınladı.
Named Entity Recognition (NER),İstanbul dünyanın en büyük şehirlerinden biridir.
Named Entity Recognition (NER),Tesla elektrikli otomobiller üretiyor.
Named Entity Recognition (NER),Facebook ismini Meta olarak değiştirdi.
Sentiment Analysis Data,Bugün harika bir gün!
Sentiment Analysis Data,Çok mutsuzum.
Sentiment Analysis Data,Bu film gerçekten etkileyiciydi.
Sentiment Analysis Data,Ürünüm zamanında teslim edilmedi.
Sentiment Analysis Data,Müşteri hizmetleri çok nazikti.
Sentiment Analysis Data,Bu yer çok kalabalık ve rahatsız edici.
Sentiment Analysis Data,İnanılmaz güzel bir tatildi!
Sentiment Analysis Data,Sipariş ettiğim yemek soğuktu.
Sentiment Analysis Data,Bu kitap sıkıcıydı.
Sentiment Analysis Data,Harika bir müşteri deneyimi yaşadım.
Paraphrased & Augmented Sentences,Bugün hava çok güzel!
Paraphrased & Augmented Sentences,Hava bugün gerçekten harika!
Paraphrased & Augmented Sentences,Şu an dışarısı çok güzel görünüyor.
Paraphrased & Augmented Sentences,Gökyüzü açık ve güneşli.
Paraphrased & Augmented Sentences,Havanın bu kadar güzel olmasına bayıldım!
Paraphrased & Augmented Sentences,Bugün tam bir yürüyüş havası!
Paraphrased & Augmented Sentences,Böyle havaları çok seviyorum.
Paraphrased & Augmented Sentences,Dışarı çıkmak için mükemmel bir gün.
Paraphrased & Augmented Sentences,Güneşli havalar beni mutlu ediyor.
Paraphrased & Augmented Sentences,Bugün piknik yapmak için ideal bir hava var.
