Category,Venda Sentence
Commands & Instructions (Imperative Sentences),Lugisani zwiḽiwa zwavhuḓi.
Commands & Instructions (Imperative Sentences),Tshimbilani noṱhe kha nḓila iyi.
Commands & Instructions (Imperative Sentences),Ṱangani luimbo lwashu lwa zwa u funza.
Commands & Instructions (Imperative Sentences),Bvisani zwiḽiwa kha firiji.
Commands & Instructions (Imperative Sentences),Vhalani bugu ya vhuṱanzi.
Commands & Instructions (Imperative Sentences),Litshani u shusha zwenezwo.
Commands & Instructions (Imperative Sentences),Tshenzhelani vhana nga u fulufhela.
Commands & Instructions (Imperative Sentences),Rengani zwiambaro nga nḓila yo teaho.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Vho-Mulalo vho tou bvela phanḓa na zwiitea zwa mvelaphanḓa.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Thohoyandou ndi toropo khulwane kha Vhembe.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Khamphani ya Talkalotta i thusa vhagudi.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Mushumo wo thoma nga ṅwedzi wa Luhuhi 2023.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",U do vha hone khethekanyo nga Lamatavhi.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Mukoma wanga o da u bva Zambia.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Zwa UNICEF zwo ita mushumo muhulwane.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Gauteng yo tangana na maitele matswa.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Tshivenda tshi funzwa kha Yunivesithi ya Venda.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Maḓuvha a Mahumbulele a khou swika.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ndi a takala musi ndi na muṱa wanga.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ndi sinyuwa nga maanḓa nga u sa livhuwa.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Zwi a nyadza uri vha sa thetshelesi.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ndo livhuwa vhukuma nga thuso yavho.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ndi na mavhonele avhuḓi nga ha mushumo uyu.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Zwenezwo zwi ntsa mbilu.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ndi khou tambudzwa nga nyofho ya lufu.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ndi na lutendo uri zwi do bva zwavhuḓi.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ndi a ḓihudza nga murathu wanga.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),U fa hawe ho ntuha mbilu.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Vhana vha khou tshimbila tshikoloni.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Vhana vha khou ya tshikoloni nga milenzhe.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mmawe u khou luga zwiḽiwa zwashu.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Zwiḽiwa zwashu zwo luga nga mmawe.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ndi khou guda TshiVenḓa tsha ndeme.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),TshiVenḓa tsha ndeme ndi tshi khou tshi guda zwino.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Vho-Phophi vho vha vho no swika kha nḓu.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Kha nḓu, Vho-Phophi vho no swika."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Zwiḽiwa zwi a vhewa kha tafula.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Kha tafula ho vhewa zwiḽiwa.
