Category,Irish Sentence
Commands & Instructions (Imperative Sentences),Cuir do lámha suas!
Commands & Instructions (Imperative Sentences),Tabhair an leabhar dom.
Commands & Instructions (Imperative Sentences),Seol an ríomhphost anois.
Commands & Instructions (Imperative Sentences),"Labhair níos moille, le do thoil."
Commands & Instructions (Imperative Sentences),Ná déan dearmad ar an gcruinniú.
Commands & Instructions (Imperative Sentences),Féach ar an scáileán.
Commands & Instructions (Imperative Sentences),Téigh amach agus breathnaigh timpeall.
Commands & Instructions (Imperative Sentences),Bíodh cúram ort.
Commands & Instructions (Imperative Sentences),Fan anseo go dtí go dtiocfaidh mé ar ais.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Bhí Micheál Ó hUiginn ina Uachtarán ar Éirinn.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Tá Baile Átha Cliath mar phríomhchathair na hÉireann.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Bhí an Cluiche Ceannais i mí Mheán Fómhair.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Is cuideachta idirnáisiúnta í Google.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Rugadh Pádraig Mac Piarais i 1879.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Bhí an Gorta Mór sa 19ú haois.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Is í an Ghaeilge an teanga náisiúnta na hÉireann.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",D'oscail an músaem nua an mhí seo caite.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Tá an Breatimeacht curtha i bhfeidhm anois.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Tharla an t-athrú aeráide le blianta beaga anuas.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Tá an lá go hálainn inniu!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Is fuath liom nuair a bhíonn an trácht go dona.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Tá mé an-tógtha leis an gceol nua seo!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nílim róthógtha leis an scannán sin.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Bhraith mé uafásach inné.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Tá an bia anseo dochreidte!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Táim an-bhuíoch díot.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Tá sé deas duine cairdiúil a fheiceáil.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Tá ionadh orm faoin nuacht sin.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Táim neirbhíseach faoi mo scrúdú.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Bhí an scannán seo an-spéisiúil.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Thaitin an leabhar liom ach ní raibh sé foirfe.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Bhí an cluiche an-chonspóideach.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Tá an aimsir níos fearr inniu.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),D’fhéadfaí é sin a rá ar bhealach eile.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ní raibh an freagra sin an-soiléir.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),An féidir leat é sin a athinsint?
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Bhí an cúrsa an-éifeachtach.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Tá an leagan seo níos fearr.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Níl mé cinnte faoi sin, inis dom tuilleadh."
