Category,Sentence (Scottish Gaelic)
"Idioms, Proverbs & Cultural Expressions","Nuair a thèid aon doras a dhùnadh, thèid doras eile fhosgladh."
"Idioms, Proverbs & Cultural Expressions",Is fheàrr Gàidhlig bhriste na Beurla chliste.
"Idioms, Proverbs & Cultural Expressions",Cuiridh an t-acras dragh air duine sam bith.
"Idioms, Proverbs & Cultural Expressions",Chan eil a h-uile h-òr a tha a’ deàlradh na fhìor òr.
"Idioms, Proverbs & Cultural Expressions",Tha an t-àm ann a bhith a’ cur an gnìomh na rinn sinn plana air.
"Idioms, Proverbs & Cultural Expressions",Is fheàrr caraid ann an cunnart na ceud caraid ann an sìth.
"Idioms, Proverbs & Cultural Expressions",Chan eil sgeul air duine na b’ fheàrr na am fear a tha gad chuideachadh.
Question-Answer Pairs (FAQ & Contextual Understanding),Dè an uair a tha e?
Question-Answer Pairs (FAQ & Contextual Understanding),Càite a bheil an leabharlann?
Question-Answer Pairs (FAQ & Contextual Understanding),Cò tha os cionn na bùtha seo?
Question-Answer Pairs (FAQ & Contextual Understanding),A bheil thu a’ gabhail ri cairtean-creideis?
Question-Answer Pairs (FAQ & Contextual Understanding),Cuin a bhios an trèana a’ falbh?
Question-Answer Pairs (FAQ & Contextual Understanding),Ciamar a dh’fhosglas mi cunntas banca ùr?
Question-Answer Pairs (FAQ & Contextual Understanding),Dè cho fada ’s a bheir e?
Question-Answer Pairs (FAQ & Contextual Understanding),An urrainn dhut mo chuideachadh leis a’ cheist seo?
Question-Answer Pairs (FAQ & Contextual Understanding),Ciamar a gheibh mi chun a’ phuirt-adhair?
Question-Answer Pairs (FAQ & Contextual Understanding),Dè a’ phrìs a th’ air an leabhar seo?
Commands & Instructions (Imperative Sentences),"Dùin an doras, mas e do thoil e."
Commands & Instructions (Imperative Sentences),Tòisich air an obair a-nis.
Commands & Instructions (Imperative Sentences),Thoir dhomh am peann agad.
Commands & Instructions (Imperative Sentences),Feuch gun tig thu ann an tìm.
Commands & Instructions (Imperative Sentences),Cuir an solas air.
Commands & Instructions (Imperative Sentences),Stad agus èist rium!
Commands & Instructions (Imperative Sentences),Thoir aire do na riaghailtean.
Commands & Instructions (Imperative Sentences),Cuir a-mach an sgudal.
Commands & Instructions (Imperative Sentences),Sgrìobh do ainm an seo.
Commands & Instructions (Imperative Sentences),Lean an stiùireadh gu faiceallach.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Chuir Iain fios gu Calum Dòmhnallach aig Oifis na Gàidhlig.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Tha Glaschu na bhaile mòr ann an Alba.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Bidh fèis Cheilteach Dhùn Èideann ann an Iuchar.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Chuir mi post-d gu Oilthigh Ghlaschu.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Bha mi a’ fuireach ann an Inbhir Nis airson dà bhliadhna.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Dh’ainmich am Prìomhaire plana ùr airson foghlaim Gàidhlig.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Thachair an tachartas air 14mh an t-Samhain.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Tha BBC Alba a’ craoladh phrògraman Gàidhlig gach latha.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Tha Urras nan Gàidheal a’ toirt taic do sgoiltean Gàidhlig.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Chuir an Riaghaltas Albannach air bhog iomairt cànain ùr.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Tha mi air leth toilichte an-diugh!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Chan eil mi glè thoilichte leis an t-seirbheis.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Tha an taigh-bìdh seo sgoinneil!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Bha mi air mo dhòigh leis an fhilm sin.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Tha mi cho troimh-chèile an-dràsta.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Tha am bàta ùr air leth luath!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Bha an latha a’ faireachdainn brònach agus fuar.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Tha am bòrd-obrach seo gu math goireasach.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Tha mi air mo shàrachadh leis an suidheachadh seo.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Tha mi air mo dhòigh glan leis a’ bhuidheann-obrach agam!
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Tha an cù dubh beag.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Tha an cù beag agus dubh.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Chunnaic mi an cù beag, dubh a' ruith."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Tha an taigh air a thogail air an cnoc.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Tha an taigh air mullach a’ chnuic.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Thog iad taigh ùr air a’ chnoc.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Tha mi a' còrdadh ris an leabhar seo.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Tha an leabhar seo glè inntinneach.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Is toil leam an leabhar seo gu mòr.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Tha mi a’ smaoineachadh gu bheil am film seo fìor mhath.
