Category,Sentence_Kinshasa_French
Question-Answer Pairs,Pourquoi es-tu en retard ? – Il y avait trop de circulation.
Question-Answer Pairs,Quelle est la saison en ce moment ? – C’est la saison des pluies.
Question-Answer Pairs,Quelles langues parle-t-on à Kinshasa ? – Le lingala et le français.
Commands & Instructions,Ferme la porte avant de sortir.
Commands & Instructions,Prends ton cahier et écris.
Commands & Instructions,N’oublie pas d’éteindre la lumière.
Commands & Instructions,"Parle plus doucement, s’il te plaît."
Commands & Instructions,"Ne touche pas ça, c’est fragile !"
Commands & Instructions,Appelle-moi dès que tu arrives.
Commands & Instructions,Écoute bien avant de répondre.
Commands & Instructions,Évite de parler en même temps que moi.
Commands & Instructions,Range tes affaires correctement.
Commands & Instructions,Respecte toujours les règles de sécurité.
Named Entity Recognition (NER),Joseph Kabila a été président de la RDC.
Named Entity Recognition (NER),Kinshasa est la plus grande ville du pays.
Named Entity Recognition (NER),Le fleuve Congo est le deuxième plus long d’Afrique.
Named Entity Recognition (NER),L’Université de Kinshasa est réputée.
Named Entity Recognition (NER),Le 30 juin est la fête de l’indépendance congolaise.
Named Entity Recognition (NER),Goma se trouve à l’est du pays.
Named Entity Recognition (NER),L’UNICEF aide les enfants en Afrique.
Named Entity Recognition (NER),L’aéroport de Ndjili est le plus fréquenté du Congo.
Named Entity Recognition (NER),Le stade des Martyrs accueille des concerts et des matchs.
Named Entity Recognition (NER),Lubumbashi est un centre économique majeur.
Sentiment Analysis Data,Je suis tellement heureux aujourd’hui !
Sentiment Analysis Data,"Ce film était vraiment nul, je regrette d’y être allé."
Sentiment Analysis Data,"J’adore ce restaurant, leur nourriture est délicieuse !"
Sentiment Analysis Data,J’ai passé une très mauvaise journée.
Sentiment Analysis Data,Ce projet est extrêmement intéressant.
Sentiment Analysis Data,Je suis fatigué de toujours faire le même travail.
Sentiment Analysis Data,Quelle joie de voir ma famille après si longtemps !
Sentiment Analysis Data,Ce téléphone est trop cher pour ce qu’il offre.
Sentiment Analysis Data,Je suis reconnaissant pour ton aide.
Sentiment Analysis Data,Je ne supporte plus ce bruit incessant.
Paraphrased & Augmented Sentences,Il est allé au marché ce matin.
Paraphrased & Augmented Sentences,"Ce matin, il est parti au marché."
Paraphrased & Augmented Sentences,Il s’est rendu au marché aujourd’hui.
Paraphrased & Augmented Sentences,"Le matin, il a fait ses courses au marché."
Paraphrased & Augmented Sentences,"Aujourd’hui, il a acheté des légumes au marché."
Paraphrased & Augmented Sentences,Il a décidé d’aller acheter du poisson tôt.
Paraphrased & Augmented Sentences,"Ce matin, il était au marché pour faire des courses."
Paraphrased & Augmented Sentences,Son marché s’est fait tôt ce matin.
Paraphrased & Augmented Sentences,"Tôt dans la journée, il a visité le marché."
Paraphrased & Augmented Sentences,Il a fait un tour au marché en début de matinée.
