Category,Sentence
Code-Switching & Multilingualism,"Ὁ φιλόσοφος λέγει: 'Cognito, ergo sum.'"
Code-Switching & Multilingualism,Διατί ὑμεῖς οὕτως λέγετε ‘bonjour’ ἐν τῇ πόλει;
Code-Switching & Multilingualism,Ποῖα ἐστὶν ἡ ἀληθὴς σημασία τοῦ ‘freedom’;
Code-Switching & Multilingualism,"Οἱ μαθηταὶ εἰσὶν πολυγλῶσσοι, ἄλλοι γὰρ λατινίζουσι, ἄλλοι Ἑλληνίζουσι."
Code-Switching & Multilingualism,Δοκεῖ μοι ὅτι ‘φιλοσοφία’ σημαίνει 'love of wisdom.'
Code-Switching & Multilingualism,"Ἐν Λονδίνῳ, ἡ γλῶσσα ἐστὶν ἀγγλικὴ καὶ ἡ Ἑλληνικὴ σπανία."
Code-Switching & Multilingualism,Ἡ μητρὶς μου λέγει ‘καλημέρα’ καὶ ‘good morning’ ἅμα.
Code-Switching & Multilingualism,Πῶς λέγομεν ‘justice’ ἐν Ἑλληνικῇ;
Code-Switching & Multilingualism,‘Δημοκρατία’ ἐστιν ὀνομασία Ἑλληνική.
Code-Switching & Multilingualism,"Ὁ μαθητὴς ἔφη ‘Je ne sais pas,’ καὶ ὁ διδάσκαλος ἐθαύμασεν."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Πρὸς θεοὺς εὔχεσθε πρὸ τοῦ κινδύνου.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ὁ πόλεμος παύεται διὰ τῆς εἰρήνης.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Οἱ ἄνθρωποι δικαιοσύνην ἀγαπῶσιν.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ὁ ἄνεμος πνέει σφόδρα ἐπὶ τῆς θαλάσσης.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Πρὸς θεοὺς εὔχεσθε πρὸ τοῦ κινδύνου.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ἡ σοφία κρεῖττον ἐστὶν τοῦ χρυσοῦ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Πάντα ῥεῖ καὶ οὐδὲν μένει.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ἐν τοῖς ἀγῶσιν οἱ νικηταὶ στεφάνους ἔχουσιν.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ὁ ἄνεμος πνέει σφόδρα ἐπὶ τῆς θαλάσσης.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ἡ μουσικὴ τὰς ψυχὰς ἰᾶται.
"Idioms, Proverbs & Cultural Expressions",Οἱ δίκαιοι τιμῶσι τοὺς θεούς.
"Idioms, Proverbs & Cultural Expressions",Ἡ σοφία κρεῖττον ἐστὶν τοῦ χρυσοῦ.
"Idioms, Proverbs & Cultural Expressions",Ἐν τοῖς ἀγῶσιν οἱ νικηταὶ στεφάνους ἔχουσιν.
"Idioms, Proverbs & Cultural Expressions",Ἡ μουσικὴ τὰς ψυχὰς ἰᾶται.
"Idioms, Proverbs & Cultural Expressions",Οἱ ἄνθρωποι δικαιοσύνην ἀγαπῶσιν.
"Idioms, Proverbs & Cultural Expressions",Ἡ μουσικὴ τὰς ψυχὰς ἰᾶται.
"Idioms, Proverbs & Cultural Expressions",Ἐν τοῖς ἀγῶσιν οἱ νικηταὶ στεφάνους ἔχουσιν.
"Idioms, Proverbs & Cultural Expressions",Οἱ δίκαιοι τιμῶσι τοὺς θεούς.
"Idioms, Proverbs & Cultural Expressions",Ὁ πόλεμος παύεται διὰ τῆς εἰρήνης.
"Idioms, Proverbs & Cultural Expressions",Πρὸς θεοὺς εὔχεσθε πρὸ τοῦ κινδύνου.
Question-Answer Pairs (FAQ & Contextual Understanding),Οἱ ἄνθρωποι δικαιοσύνην ἀγαπῶσιν.
Question-Answer Pairs (FAQ & Contextual Understanding),Τὸ φῶς τοῦ ἡλίου τοὺς ἀνθρώπους εὐφραίνει.
Question-Answer Pairs (FAQ & Contextual Understanding),Ἐν τοῖς ἀγῶσιν οἱ νικηταὶ στεφάνους ἔχουσιν.
Question-Answer Pairs (FAQ & Contextual Understanding),Πρὸς θεοὺς εὔχεσθε πρὸ τοῦ κινδύνου.
Question-Answer Pairs (FAQ & Contextual Understanding),Οἱ δίκαιοι τιμῶσι τοὺς θεούς.
Question-Answer Pairs (FAQ & Contextual Understanding),Τὸ φῶς τοῦ ἡλίου τοὺς ἀνθρώπους εὐφραίνει.
Question-Answer Pairs (FAQ & Contextual Understanding),Ὁ ἄνεμος πνέει σφόδρα ἐπὶ τῆς θαλάσσης.
Question-Answer Pairs (FAQ & Contextual Understanding),Ὁ πόλεμος παύεται διὰ τῆς εἰρήνης.
Question-Answer Pairs (FAQ & Contextual Understanding),Τὸ φῶς τοῦ ἡλίου τοὺς ἀνθρώπους εὐφραίνει.
Question-Answer Pairs (FAQ & Contextual Understanding),Οἱ δίκαιοι τιμῶσι τοὺς θεούς.
Commands & Instructions (Imperative Sentences),Τὸ φῶς τοῦ ἡλίου τοὺς ἀνθρώπους εὐφραίνει.
Commands & Instructions (Imperative Sentences),Ἡ μουσικὴ τὰς ψυχὰς ἰᾶται.
Commands & Instructions (Imperative Sentences),Πρὸς θεοὺς εὔχεσθε πρὸ τοῦ κινδύνου.
Commands & Instructions (Imperative Sentences),Οἱ δίκαιοι τιμῶσι τοὺς θεούς.
Commands & Instructions (Imperative Sentences),Οἱ ἄνθρωποι δικαιοσύνην ἀγαπῶσιν.
Commands & Instructions (Imperative Sentences),Ὁ ἄνεμος πνέει σφόδρα ἐπὶ τῆς θαλάσσης.
Commands & Instructions (Imperative Sentences),Ἡ σοφία κρεῖττον ἐστὶν τοῦ χρυσοῦ.
Commands & Instructions (Imperative Sentences),Ἡ σοφία κρεῖττον ἐστὶν τοῦ χρυσοῦ.
Commands & Instructions (Imperative Sentences),Ἡ μουσικὴ τὰς ψυχὰς ἰᾶται.
Commands & Instructions (Imperative Sentences),Ὁ πόλεμος παύεται διὰ τῆς εἰρήνης.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ἐν τοῖς ἀγῶσιν οἱ νικηταὶ στεφάνους ἔχουσιν.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ἡ μουσικὴ τὰς ψυχὰς ἰᾶται.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Πρὸς θεοὺς εὔχεσθε πρὸ τοῦ κινδύνου.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ἡ σοφία κρεῖττον ἐστὶν τοῦ χρυσοῦ.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Τὸ φῶς τοῦ ἡλίου τοὺς ἀνθρώπους εὐφραίνει.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ὁ πόλεμος παύεται διὰ τῆς εἰρήνης.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Οἱ ἄνθρωποι δικαιοσύνην ἀγαπῶσιν.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Πάντα ῥεῖ καὶ οὐδὲν μένει.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Οἱ ἄνθρωποι δικαιοσύνην ἀγαπῶσιν.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Τὸ φῶς τοῦ ἡλίου τοὺς ἀνθρώπους εὐφραίνει.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Οἱ δίκαιοι τιμῶσι τοὺς θεούς.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Πάντα ῥεῖ καὶ οὐδὲν μένει.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Οἱ ἄνθρωποι δικαιοσύνην ἀγαπῶσιν.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Πρὸς θεοὺς εὔχεσθε πρὸ τοῦ κινδύνου.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Πάντα ῥεῖ καὶ οὐδὲν μένει.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ἐν τοῖς ἀγῶσιν οἱ νικηταὶ στεφάνους ἔχουσιν.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Οἱ δίκαιοι τιμῶσι τοὺς θεούς.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ἡ μουσικὴ τὰς ψυχὰς ἰᾶται.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ἐν τοῖς ἀγῶσιν οἱ νικηταὶ στεφάνους ἔχουσιν.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ὁ ἄνεμος πνέει σφόδρα ἐπὶ τῆς θαλάσσης.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Πρὸς θεοὺς εὔχεσθε πρὸ τοῦ κινδύνου.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Τὸ φῶς τοῦ ἡλίου τοὺς ἀνθρώπους εὐφραίνει.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Πάντα ῥεῖ καὶ οὐδὲν μένει.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ἡ μουσικὴ τὰς ψυχὰς ἰᾶται.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ἡ σοφία κρεῖττον ἐστὶν τοῦ χρυσοῦ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Πάντα ῥεῖ καὶ οὐδὲν μένει.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ἐν τοῖς ἀγῶσιν οἱ νικηταὶ στεφάνους ἔχουσιν.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Πάντα ῥεῖ καὶ οὐδὲν μένει.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ὁ πόλεμος παύεται διὰ τῆς εἰρήνης.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Τὸ φῶς τοῦ ἡλίου τοὺς ἀνθρώπους εὐφραίνει.
