Category,Sentences
Code-Switching & Multilingualism,𑣛𑣂𑣜𑣂𑣙𑣂 school 𑣞𑣜𑣂 𑣊𑣉𑣂.
Code-Switching & Multilingualism,𑣙𑣜𑣂𑣛𑣂 note 𑣞𑣜𑣂.
Code-Switching & Multilingualism,𑣊𑣉𑣂 report 𑣞𑣜𑣂 𑣛𑣂𑣜𑣂𑣙𑣂.
Code-Switching & Multilingualism,𑣉𑣂𑣉𑣊 Ho-English sentence 𑣞𑣜𑣂.
Code-Switching & Multilingualism,𑣙𑣕𑣂 project 𑣞𑣜𑣂 𑣋𑣙𑣕𑣂.
Code-Switching & Multilingualism,𑣛𑣂𑣜𑣂𑣙𑣂 𑣞𑣜𑣂 office meeting 𑣋𑣙𑣕𑣂.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",𑣙𑣜𑣂𑣛𑣂 document 𑣞𑣜𑣂 𑣋𑣙𑣕𑣂.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",𑣉𑣂𑣉𑣊 report 𑣞𑣜𑣂 𑣛𑣂𑣜𑣂𑣙𑣂.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",𑣙𑣕𑣂 file 𑣞𑣜𑣂 𑣋𑣙𑣕𑣂.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",𑣛𑣂𑣜𑣂𑣙𑣂 meeting 𑣞𑣜𑣂 𑣊𑣉𑣂.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",𑣉𑣂𑣉𑣊 policy 𑣞𑣜𑣂 𑣋𑣙𑣕𑣂.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",𑣙𑣜𑣂𑣛𑣂 project 𑣞𑣜𑣂 𑣊𑣉𑣂.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",𑣛𑣂𑣜𑣂𑣙𑣂 contract 𑣞𑣜𑣂 𑣋𑣙𑣕𑣂.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",𑣙𑣕𑣂 report 𑣞𑣜𑣂 𑣊𑣉𑣂.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",𑣉𑣂𑣉𑣊 policy 𑣞𑣜𑣂 𑣙𑣕𑣂.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",𑣙𑣜𑣂𑣛𑣂 file 𑣞𑣜𑣂 𑣊𑣉𑣂.
"Idioms, Proverbs & Cultural Expressions",𑣙𑣜𑣂𑣛𑣂 – wisdom is strength.
"Idioms, Proverbs & Cultural Expressions",𑣊𑣉𑣂 – honesty brings peace.
"Idioms, Proverbs & Cultural Expressions","𑣉𑣂𑣉𑣊 – work hard, reap well."
"Idioms, Proverbs & Cultural Expressions",𑣛𑣂𑣜𑣂𑣙𑣂 – unity makes power.
"Idioms, Proverbs & Cultural Expressions",𑣙𑣕𑣂 – patience grows fruit.
"Idioms, Proverbs & Cultural Expressions",𑣞𑣂𑣙𑣜𑣂 – truth walks far.
"Idioms, Proverbs & Cultural Expressions",𑣋𑣙𑣕𑣂 – kindness lights the heart.
"Idioms, Proverbs & Cultural Expressions",𑣊𑣉𑣂 – love heals wounds.
"Idioms, Proverbs & Cultural Expressions",𑣙𑣜𑣂𑣛𑣂 – courage opens paths.
"Idioms, Proverbs & Cultural Expressions",𑣛𑣂𑣜𑣂𑣙𑣂 – learning never ends.
Question-Answer Pairs (FAQ & Contextual Understanding),𑣙𑣕𑣂: 𑣉𑣂𑣉𑣊 𑣞𑣜𑣂 𑣋𑣙𑣕𑣂?
Question-Answer Pairs (FAQ & Contextual Understanding),𑣊𑣉𑣂: 𑣞𑣜𑣂 𑣛𑣂𑣜𑣂𑣙𑣂 𑣋𑣙𑣕𑣂.
Question-Answer Pairs (FAQ & Contextual Understanding),𑣙𑣕𑣂: 𑣙𑣜𑣂𑣛𑣂 𑣞𑣜𑣂 𑣊𑣉𑣂?
Question-Answer Pairs (FAQ & Contextual Understanding),𑣊𑣉𑣂: 𑣞𑣜𑣂 𑣛𑣂𑣜𑣂𑣙𑣂 𑣙𑣕𑣂.
Question-Answer Pairs (FAQ & Contextual Understanding),𑣙𑣕𑣂: 𑣉𑣂𑣉𑣊 𑣞𑣜𑣂 𑣙𑣕𑣂?
Question-Answer Pairs (FAQ & Contextual Understanding),𑣙𑣕𑣂: 𑣉𑣂𑣉𑣊 𑣞𑣜𑣂 𑣛𑣂𑣜𑣂𑣙𑣂 𑣋𑣙𑣕𑣂?
Question-Answer Pairs (FAQ & Contextual Understanding),𑣙𑣕𑣂: 𑣛𑣂𑣜𑣂𑣙𑣂 𑣞𑣜𑣂 𑣊𑣉𑣂?
Question-Answer Pairs (FAQ & Contextual Understanding),𑣊𑣉𑣂: 𑣞𑣜𑣂 𑣛𑣂𑣜𑣂𑣙𑣂.
Question-Answer Pairs (FAQ & Contextual Understanding),𑣙𑣕𑣂: 𑣋𑣙𑣕𑣂 𑣞𑣜𑣂?
Question-Answer Pairs (FAQ & Contextual Understanding),𑣊𑣉𑣂: 𑣙𑣜𑣂𑣛𑣂 𑣞𑣜𑣂.
Commands & Instructions (Imperative Sentences),𑣙𑣜𑣂𑣛𑣂 𑣞𑣜𑣂 𑣉𑣂𑣉𑣊!
Commands & Instructions (Imperative Sentences),𑣛𑣂𑣜𑣂𑣙𑣂 𑣞𑣜𑣂 𑣋𑣙𑣕𑣂!
Commands & Instructions (Imperative Sentences),𑣙𑣕𑣂 𑣛𑣂𑣜𑣂𑣙𑣂 𑣞𑣜𑣂!
Commands & Instructions (Imperative Sentences),𑣉𑣂𑣉𑣊 𑣞𑣜𑣂 𑣊𑣉𑣂!
Commands & Instructions (Imperative Sentences),𑣛𑣂𑣜𑣂𑣙𑣂 𑣋𑣙𑣕𑣂 𑣞𑣜𑣂!
Commands & Instructions (Imperative Sentences),𑣞𑣂𑣙𑣜𑣂 𑣕𑣂𑣟𑣂 𑣛𑣂𑣜𑣂𑣙𑣂!
Commands & Instructions (Imperative Sentences),𑣊𑣉𑣂 𑣞𑣜𑣂 𑣙𑣜𑣂𑣛𑣂!
Commands & Instructions (Imperative Sentences),𑣙𑣕𑣂 𑣞𑣜𑣂 𑣛𑣂𑣜𑣂𑣙𑣂!
Commands & Instructions (Imperative Sentences),𑣉𑣂𑣉𑣊 𑣞𑣜𑣂 𑣋𑣙𑣕𑣂!
Commands & Instructions (Imperative Sentences),𑣛𑣂𑣜𑣂𑣙𑣂 𑣞𑣜𑣂 𑣊𑣉𑣂!
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",𑣊𑣉𑣂 𑣞𑣜𑣂 Jamshedpur.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",𑣙𑣜𑣂𑣛𑣂 𑣞𑣜𑣂 Tata Steel.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",𑣛𑣂𑣜𑣂𑣙𑣂 𑣞𑣜𑣂 Jubilee Park.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",𑣞𑣂𑣙𑣜𑣂 𑣕𑣂𑣟𑣂 Dimna Lake.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",𑣉𑣂𑣉𑣊 𑣞𑣜𑣂 Birsa Munda.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",𑣛𑣂𑣜𑣂𑣙𑣂 𑣞𑣜𑣂 Jharkhand.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",𑣙𑣜𑣂𑣛𑣂 𑣞𑣜𑣂 Ho Language Center.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",𑣊𑣉𑣂 𑣞𑣜𑣂 XLRI College.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",𑣞𑣂𑣙𑣜𑣂 𑣕𑣂𑣟𑣂 Tata Zoo.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",𑣙𑣜𑣂𑣛𑣂 𑣞𑣜𑣂 Sakchi Market.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),𑣙𑣜𑣂𑣛𑣂 𑣞𑣜𑣂 happiness fills the heart.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),𑣛𑣂𑣜𑣂𑣙𑣂 𑣞𑣜𑣂 sadness clouds the mind.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),𑣉𑣂𑣉𑣊 𑣞𑣜𑣂 love shines bright.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),𑣙𑣕𑣂 𑣞𑣜𑣂 anger burns fast.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),𑣊𑣉𑣂 𑣞𑣜𑣂 fear hides deep.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),𑣋𑣙𑣕𑣂 𑣞𑣜𑣂 joy spreads wide.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),𑣙𑣜𑣂𑣛𑣂 𑣞𑣜𑣂 hope stays strong.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),𑣞𑣂𑣙𑣜𑣂 𑣞𑣜𑣂 grief passes slowly.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),𑣛𑣂𑣜𑣂𑣙𑣂 𑣞𑣜𑣂 peace brings calm.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),𑣉𑣂𑣉𑣊 𑣞𑣜𑣂 courage conquers fear.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),𑣙𑣜𑣂𑣛𑣂 𑣞𑣜𑣂 𑣊𑣉𑣂 → 𑣊𑣉𑣂 𑣞𑣜𑣂 𑣙𑣜𑣂𑣛𑣂.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),𑣉𑣂𑣉𑣊 𑣞𑣜𑣂 𑣋𑣙𑣕𑣂 → 𑣋𑣙𑣕𑣂 𑣞𑣜𑣂 𑣉𑣂𑣉𑣊.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),𑣛𑣂𑣜𑣂𑣙𑣂 𑣞𑣜𑣂 𑣊𑣉𑣂 → 𑣊𑣉𑣂 𑣞𑣜𑣂 𑣛𑣂𑣜𑣂𑣙𑣂.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),𑣞𑣂𑣙𑣜𑣂 𑣞𑣜𑣂 𑣉𑣂𑣉𑣊 → 𑣉𑣂𑣉𑣊 𑣞𑣜𑣂 𑣞𑣂𑣙𑣜𑣂.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),𑣙𑣕𑣂 𑣞𑣜𑣂 𑣋𑣙𑣕𑣂 → 𑣋𑣙𑣕𑣂 𑣞𑣜𑣂 𑣙𑣕𑣂.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),𑣊𑣉𑣂 𑣞𑣜𑣂 𑣙𑣜𑣂𑣛𑣂 → 𑣙𑣜𑣂𑣛𑣂 𑣞𑣜𑣂 𑣊𑣉𑣂.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),𑣋𑣙𑣕𑣂 𑣞𑣜𑣂 𑣛𑣂𑣜𑣂𑣙𑣂 → 𑣛𑣂𑣜𑣂𑣙𑣂 𑣞𑣜𑣂 𑣋𑣙𑣕𑣂.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),𑣉𑣂𑣉𑣊 𑣞𑣜𑣂 𑣙𑣕𑣂 → 𑣙𑣕𑣂 𑣞𑣜𑣂 𑣉𑣂𑣉𑣊.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),𑣙𑣜𑣂𑣛𑣂 𑣞𑣜𑣂 𑣋𑣙𑣕𑣂 → 𑣋𑣙𑣕𑣂 𑣞𑣜𑣂 𑣙𑣜𑣂𑣛𑣂.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),𑣊𑣉𑣂 𑣞𑣜𑣂 𑣉𑣂𑣉𑣊 → 𑣉𑣂𑣉𑣊 𑣞𑣜𑣂 𑣊𑣉𑣂.
