Category,Isan Sentence
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",นิตยสาร Time เป็นที่นิยม
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ชื่อจริงของเขาคือสมชาย
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",เจ้านายของข่อยคือคุณวิชัย
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ไปเที่ยวเชียงใหม่มื่อวาน
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",โรงเรียนบ้านน้อยเป็นโรงเรียนที่ดี
Sentiment Analysis Data (Emotion & Opinion-based Sentences),มื้อนี้ข่อยดีใจหลาย
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ข่อยเสียใจที่ได้ข่าวนี้
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ร้านนี้ของแพงแท้
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ข่อยคิดว่ามันดี
Sentiment Analysis Data (Emotion & Opinion-based Sentences),เฮาสิผิดหวังเด้อ
Sentiment Analysis Data (Emotion & Opinion-based Sentences),บ่แม่นเรื่องง่ายเลย
Sentiment Analysis Data (Emotion & Opinion-based Sentences),หนังเรื่องนี้มันส์หลาย
Sentiment Analysis Data (Emotion & Opinion-based Sentences),อาหารร้านนี้บ่แซ่บ
Sentiment Analysis Data (Emotion & Opinion-based Sentences),เสื้อสีนี้งามแท้
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ลำบากหลายเด้อ
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),เขากำลังกินข้าว → เขากำลังกินข้าวอยู่
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ไปตลาดเมื่อวาน → เมื่อวานไปตลาด
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),เธอสวยมาก → เธองามหลาย
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ข่อยบ่เข้าใจ → ข่อยงง
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),เฮามีเวลา → เฮาบ่รีบ
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ฟังบ่ฮู้เรื่อง → บ่เข้าใจ
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),หนังดี → หนังสนุก
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),อากาศดี → มื้อนี้ลมเย็น
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),อยากกินข้าว → หิวข้าวหลาย
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),เจ้าสบายดีบ่? → เป็นจั่งใดบ้าง?
