Category,Ewe Sentence
Question-Answer Pairs (FAQ & Contextual Understanding),"– Gake nàtsɔ agbale na wò? – Mètsɔ o, nàtsɔ."
Question-Answer Pairs (FAQ & Contextual Understanding),"– Elabena wòkpɔ fɔ? – Wòkpɔ fɔ, gake menye nye."
Question-Answer Pairs (FAQ & Contextual Understanding),– Wòle nyuie? – Mele dzidzɔ.
Commands & Instructions (Imperative Sentences),Va tsi ɖe mɔ!
Commands & Instructions (Imperative Sentences),Dɔ agbale la!
Commands & Instructions (Imperative Sentences),Gblɔ nusi wòkpɔ!
Commands & Instructions (Imperative Sentences),Yi ɖe ŋgɔ!
Commands & Instructions (Imperative Sentences),Kpɔ dzi le wò nu!
Commands & Instructions (Imperative Sentences),Tsɔ kɔklo la kɔ ɖe xɔme!
Commands & Instructions (Imperative Sentences),Gblɔ be wòayi dzi!
Commands & Instructions (Imperative Sentences),Zã ɖe dɔ!
Commands & Instructions (Imperative Sentences),Mègblɔ gbea o!
Commands & Instructions (Imperative Sentences),Wɔ dzra na mí!
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Kossi va le Lomé.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Miawoe wòɖe Keta ɖe?
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Komla kɔ Denu ƒe akɔntabuo me.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Esi ɖe Ghana University me le 2023.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Amenuveve Company wɔ dɔwɔ le Ho.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Yawa nɔvi le Accra.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Asi wòtsɔ visa le January 5.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Kodjo ƒo ɖe Togolese Red Cross me.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Senyo gblɔ le afitɔ ƒe assembly la me.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Aku wòle le Health Ministry me.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Metsɔ dzidzɔ be menye mɔ o.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Wòkpɔ be yètsɔ agbe nyuie.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mele fɔfɔ be wòɖe ŋkɔ na mí.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nye dzi meɖe ɖe asi o.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ɖe wò nu la nye wɔmɛ.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Wòtsɔ nu le dzi!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mèkpɔa be gake mèkɔa o.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Egbɔ be menye akpɔkpɔ o.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nye dzidzɔ gake nye dɔwɔ le o.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Wòɖo ŋkɔ dzi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Metsɔ agbale le gome.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Agbale la metsɔ le afima.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Nàtsɔ agbale le xɔme.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Agbale wòɖe le ŋutɔ gome.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Kpɔ be wòtsɔ agbale dzi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Wòava le agbalẽ gome be wòtsɔ agbale.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Metsɔ agbale, gake menye dzidzɔ o."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Agbale kple mí kplɔ be wòɖe dzidzɔ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Agbale la menye nye dzidzɔ me o.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Wòɖe agbale kɔ le agbalẽ me.
