Category,Sentence (Kyrgyz)
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Google дүйнөдөгү эң чоң IT компанияларынын бири.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Манас эпосу дүйнөдөгү эң узун эпос.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Чыңгыз Айтматов кыргыз жазуучусу.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ысык-Көл эң чоң көл.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",2025-жылдын сентябрында конференция өтөт.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Apple компаниясынын башкы кеңсеси АКШда.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Бүгүн 17-март, дүйшөмбү."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Кызматкерлердин саны 500 адам.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Бүгүнкү күн абдан кооз!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Мен аябай кубанычтамын.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Кечээ абдан капаландым.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Бул абдан кызыктуу китеп!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Мен бул тууралуу так билбейм.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Сенин оюн абдан маанилүү.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Бул жер тынч жана жайлуу.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Мен аябай толкунданып жатам.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Бул жер суук, жылуу кийиниңиз."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Сиздин кеңешиңиз мага жардам берди.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Мен китепти окуп чыктым.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Мен китепти окудум.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Китепти мен окуп бүтүрдүм.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Китепти толук окудум.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Китепти изилдеп чыктым.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Мен аны мурун окугам.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Мен аны кайтадан окуй алам.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Китеп мага жагат.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Китеп кызыктуу.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Бул китеп абдан пайдалуу.
