Category,Sentence (Javanese)
Question-Answer Pairs,Apa sampeyan ngerti wulan iki bakal ana festival?
Question-Answer Pairs,Piye carane ndandani laptop sing rusak?
Question-Answer Pairs,Ngendi restoran sing paling enak ing kutha iki?
Question-Answer Pairs,Kapan sampeyan bakal lunga menyang Jakarta?
Question-Answer Pairs,Apa buku sing paling disenengi bocah-bocah?
Question-Answer Pairs,Sapa sing menang kompetisi bal-balan wingi?
Question-Answer Pairs,Piye kabarmu?
Question-Answer Pairs,Apa sampeyan ngerti carane masak sate?
Question-Answer Pairs,Napa dheweke ora teka ing kelas dina iki?
Question-Answer Pairs,Sapa penyanyi favoritmu?
Commands & Instructions,Mangga lungaa!
Commands & Instructions,Tulung bukak lawang!
Commands & Instructions,Tulis jawabanmu ing papan tulis!
Commands & Instructions,Ayo ngadeg lan hormat!
Commands & Instructions,Silakan tutup jendela!
Commands & Instructions,Kethok buku saka rak!
Commands & Instructions,Jangan lali nggawa kertu identitas!
Commands & Instructions,Tulung rungokake aku!
Commands & Instructions,Cepet teka ing kantor jam 8!
Commands & Instructions,Aja lali mateni lampu sadurunge lunga.
Named Entity Recognition,Budi lunga menyang Surabaya dina Senin.
Named Entity Recognition,Siti kerja ing perusahaan Google.
Named Entity Recognition,Dheweke lair ing tanggal 5 Mei 1995.
Named Entity Recognition,Universitas Gadjah Mada iku apik banget.
Named Entity Recognition,Kutha Semarang misuwur karo lumpiane.
Named Entity Recognition,Presiden Joko Widodo maringi piwulang ing universitas.
Named Entity Recognition,Sina bisa dolan menyang Malioboro ing Yogyakarta.
Named Entity Recognition,Jembatan Suramadu nyambung Surabaya lan Madura.
Named Entity Recognition,Gunung Merapi salah siji gunung paling aktif.
Named Entity Recognition,Museum Sonobudoyo ana ing kutha Yogyakarta.
Sentiment Analysis Data,Aku seneng banget dolan menyang pantai.
Sentiment Analysis Data,"Film iku elek banget, aku ora seneng."
Sentiment Analysis Data,Aku ngrasakake rasa bungah sing gedhe!
Sentiment Analysis Data,Kue iki enak banget!
Sentiment Analysis Data,Dheweke nggawe aku nesu banget.
Sentiment Analysis Data,Aku ora seneng karo pelayanan ing warung iku.
Sentiment Analysis Data,Sinemane menarik lan nyenengake.
Sentiment Analysis Data,Aku sedih amarga gagal ujian.
Sentiment Analysis Data,Rasane aku ora bisa nahan rasa nesu iki.
Sentiment Analysis Data,Aku bangga banget karo prestasiku.
Paraphrased & Augmented Sentences,Aku arep menyang pasar dina iki.
Paraphrased & Augmented Sentences,Dina iki aku bakal menyang pasar.
Paraphrased & Augmented Sentences,Aku lunga menyang pasar dina iki.
Paraphrased & Augmented Sentences,Dina iki aku mutusake dolan menyang pasar.
Paraphrased & Augmented Sentences,Aku wis ngrancang lunga menyang pasar.
Paraphrased & Augmented Sentences,Aku nglakoni perjalanan menyang pasar dina iki.
Paraphrased & Augmented Sentences,Aku arep tuku barang ing pasar dina iki.
Paraphrased & Augmented Sentences,Dina iki aku pengin belanja ing pasar.
Paraphrased & Augmented Sentences,Pasar iku tujuan perjalananku dina iki.
Paraphrased & Augmented Sentences,Aku wis siyap menyang pasar saiki.
