Category,Sentence (Serbian)
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",UNESCO je uvrstio manastir na listu.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Nikola Tesla je rođen u Smiljanu.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",U Parizu se održava konferencija.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Kompanija Tesla ulaže u Srbiju.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Naredna radionica je u junu.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Presrećan sam zbog rezultata!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ovo je najgori dan u mom životu.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Film je bio dosadan i predugačak.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ona me uvek nasmeje.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Bila sam razočarana uslugom.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Oduševljen sam koncertom!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ne mogu da verujem koliko sam srećan.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Uživam u radu sa ovim timom.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nisam zadovoljan kupovinom.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ovaj grad ima posebnu energiju.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Sutra idem u školu.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Planiram da idem u školu sutra.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),U školu idem sutra ujutru.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Sutra ujutru idem u školu.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Škola me čeka sutra.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Neću propustiti školu sutra.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ujutru krećem put škole.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Sutra mi je dan za školu.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Imam školu sutra.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ranim u školu sutra.
