Category,Thai Sentence
"Formal & Professional Speech (Business, Legal, Medical, Technical)",กรุณารอหมายเลขคิวของท่านเพื่อเข้ารับบริการ
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ในกรณีที่มีข้อสงสัย สามารถติดต่อฝ่ายบริการลูกค้าได้
"Formal & Professional Speech (Business, Legal, Medical, Technical)",การประชุมครั้งต่อไปจะจัดขึ้นในวันที่ 15 มิถุนายน
"Formal & Professional Speech (Business, Legal, Medical, Technical)",เพื่อความปลอดภัย กรุณาเว้นระยะห่างอย่างน้อย 1 เมตร
"Formal & Professional Speech (Business, Legal, Medical, Technical)",โปรดแจ้งให้เราทราบหากต้องการเปลี่ยนแปลงการนัดหมาย
"Formal & Professional Speech (Business, Legal, Medical, Technical)",บริษัทของเรามีมาตรฐาน ISO 9001
"Formal & Professional Speech (Business, Legal, Medical, Technical)",โปรดทราบว่าเงื่อนไขนี้เป็นไปตามกฎหมายแพ่งและพาณิชย์
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ในการสมัครงาน กรุณาส่งประวัติย่อและจดหมายสมัครงานมาทางอีเมล
"Idioms, Proverbs & Cultural Expressions",น้ำขึ้นให้รีบตัก
"Idioms, Proverbs & Cultural Expressions",อย่าตัดสินหนังสือจากปก
"Idioms, Proverbs & Cultural Expressions",กันไว้ดีกว่าแก้
"Idioms, Proverbs & Cultural Expressions",ปลาใหญ่กินปลาเล็ก
"Idioms, Proverbs & Cultural Expressions",ตีงูให้หลังหัก
"Idioms, Proverbs & Cultural Expressions",พูดไปสองไพเบี้ย นิ่งเสียตำลึงทอง
"Idioms, Proverbs & Cultural Expressions",ช้าๆ ได้พร้าเล่มงาม
"Idioms, Proverbs & Cultural Expressions",จับปลาสองมือ
"Idioms, Proverbs & Cultural Expressions",หัวเราะทีหลังดังกว่า
"Idioms, Proverbs & Cultural Expressions",คบคนให้ดูหน้า คบผ้าให้ดูเนื้อ
Question-Answer Pairs (FAQ & Contextual Understanding),ประเทศไทยมีกี่จังหวัด? - มีทั้งหมด 77 จังหวัด
Question-Answer Pairs (FAQ & Contextual Understanding),กรุงเทพฯ เป็นเมืองหลวงของประเทศอะไร? - ประเทศไทย
Question-Answer Pairs (FAQ & Contextual Understanding),ขอทางไปสถานีรถไฟได้ไหม? - ตรงไปแล้วเลี้ยวขวา
Question-Answer Pairs (FAQ & Contextual Understanding),น้ำหนักสัมภาระที่อนุญาตบนเครื่องบินคือเท่าไหร่? - 23 กิโลกรัม
Question-Answer Pairs (FAQ & Contextual Understanding),อาหารไทยที่เป็นที่นิยมที่สุดคืออะไร? - ต้มยำกุ้ง
Question-Answer Pairs (FAQ & Contextual Understanding),ทำไมฟ้าถึงเป็นสีฟ้า? - เพราะการกระจายแสงในบรรยากาศ
Question-Answer Pairs (FAQ & Contextual Understanding),ภาษาไทยมีตัวอักษรกี่ตัว? - 44 ตัวอักษร
Question-Answer Pairs (FAQ & Contextual Understanding),ถ้าต้องการสมัครเรียนที่มหาวิทยาลัยต้องทำอย่างไร? - ต้องกรอกใบสมัครและส่งเอกสารที่เกี่ยวข้อง
Question-Answer Pairs (FAQ & Contextual Understanding),วันนี้อากาศเป็นอย่างไร? - มีแดดและอากาศร้อน
Question-Answer Pairs (FAQ & Contextual Understanding),คุณมีบริการจัดส่งฟรีหรือไม่? - มีสำหรับยอดซื้อเกิน 500 บาท
Commands & Instructions (Imperative Sentences),กรุณาปิดประตูให้สนิท
Commands & Instructions (Imperative Sentences),ช่วยส่งเกลือให้ฉันหน่อย
Commands & Instructions (Imperative Sentences),โปรดอย่าข้ามถนนในขณะที่ไฟแดง
Commands & Instructions (Imperative Sentences),เดินตรงไปแล้วเลี้ยวขวา
Commands & Instructions (Imperative Sentences),หยุดเดี๋ยวนี้!
Commands & Instructions (Imperative Sentences),กรุณารอคิวของคุณ
Commands & Instructions (Imperative Sentences),กดปุ่มนี้เพื่อเริ่มต้น
Commands & Instructions (Imperative Sentences),อย่าลืมนำร่มไปด้วยนะ
Commands & Instructions (Imperative Sentences),อ่านคู่มือก่อนใช้งาน
Commands & Instructions (Imperative Sentences),โทรหาฉันเมื่อถึงบ้าน
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",สมชายเดินทางไปกรุงเทพฯ เมื่อวานนี้
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",บริษัทแอปเปิ้ลเปิดตัวผลิตภัณฑ์ใหม่ในเดือนกันยายน
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",นายกรัฐมนตรีของไทยคือใคร?
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",มหาวิทยาลัยจุฬาลงกรณ์เป็นมหาวิทยาลัยที่เก่าแก่ที่สุดในประเทศไทย
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",การแข่งขันโอลิมปิก 2024 จะจัดขึ้นที่ฝรั่งเศส
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ฉันเกิดเมื่อวันที่ 5 ธันวาคม
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",บริษัทไมโครซอฟท์มีสำนักงานในหลายประเทศ
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",เทศกาลสงกรานต์เป็นวันปีใหม่ของไทย
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ท่านเคยไปเยือนประเทศญี่ปุ่นหรือไม่?
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",พรุ่งนี้ฉันมีนัดที่โรงพยาบาลศิริราช
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ฉันรู้สึกมีความสุขมากในวันนี้
Sentiment Analysis Data (Emotion & Opinion-based Sentences),หนังเรื่องนี้น่าเบื่อสุดๆ
Sentiment Analysis Data (Emotion & Opinion-based Sentences),อาหารที่ร้านนี้อร่อยมาก!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ฉันไม่ชอบเวลาฝนตกเลย
Sentiment Analysis Data (Emotion & Opinion-based Sentences),การบริการของพนักงานยอดเยี่ยมมาก
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ฉันรู้สึกเศร้าเมื่อเห็นข่าวนี้
Sentiment Analysis Data (Emotion & Opinion-based Sentences),เธอทำให้ฉันโกรธจริงๆ
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ฉันตื่นเต้นที่จะได้ไปเที่ยวญี่ปุ่น
Sentiment Analysis Data (Emotion & Opinion-based Sentences),เสียงเพลงนี้ทำให้ฉันรู้สึกสงบ
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ฉันผิดหวังกับผลการแข่งขันมาก
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ฉันชอบกินข้าวมันไก่มาก → ข้าวมันไก่เป็นอาหารที่ฉันโปรดปราน
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),อากาศวันนี้ร้อนมาก → วันนี้อากาศอบอ้าวจริงๆ
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),หนังเรื่องนี้สนุกมาก → ฉันสนุกกับการดูหนังเรื่องนี้
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ช่วยปิดหน้าต่างหน่อยได้ไหม → กรุณาปิดหน้าต่างให้ฉันหน่อย
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),คุณจะไปที่ไหนในวันหยุด? → วันหยุดคุณมีแผนจะไปไหนไหม?
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),เขาเป็นนักฟุตบอลที่เก่ง → ฝีเท้าของเขายอดเยี่ยมมาก
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ฉันรู้สึกตื่นเต้นมาก → ฉันตื่นเต้นสุดๆ
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),เธอทำอาหารเก่ง → อาหารที่เธอทำอร่อยมาก
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ฉันอ่านหนังสือทุกวัน → ฉันมักจะอ่านหนังสือเป็นประจำ
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ร้านนี้บริการดีมาก → การให้บริการของร้านนี้เยี่ยมจริงๆ
