Category,Sentence (Bulgarian)
Grammar Core (Sentence Structures & Tenses),Ще можем ли да пътуваме следващото лято?
"Idioms, Proverbs & Cultural Expressions",Всяко зло за добро.
"Idioms, Proverbs & Cultural Expressions","Далеч от очите, далеч от сърцето."
"Idioms, Proverbs & Cultural Expressions",Каквото повикало – такова се обадило.
"Idioms, Proverbs & Cultural Expressions",Капка по капка – вир става.
"Idioms, Proverbs & Cultural Expressions","Който копае яма другиму, сам пада в нея."
"Idioms, Proverbs & Cultural Expressions",Крушата не пада по-далеч от дървото.
"Idioms, Proverbs & Cultural Expressions",Не гледай зъбите на подарен кон.
"Idioms, Proverbs & Cultural Expressions","Не питай старило, питай патило."
"Idioms, Proverbs & Cultural Expressions","Рано пиле, рано пее."
"Idioms, Proverbs & Cultural Expressions",Рибата се вмирисва откъм главата.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Българската азбука е създадена от Кирил и Методий.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Иван Вазов е известен български писател.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Левски е футболен клуб от София.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Международният ден на жената е на 8 март.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",На 3 март България празнува националния си празник.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Река Дунав е най-дългата река в Европа.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Розовата долина е известна със своите рози.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",София е столицата на България.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Старият град на Пловдив е известен с културното си наследство.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Фирмата Google е основана през 1998 г.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Всеки ден отделям време за четене на книга.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Всеки ден започвам с четене.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Всеки ден намирам време за четене.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Всеки ден чета по една книга.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Наслаждавам се на четенето вечер.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Обичам да чета книги всеки ден.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Чета книги, за да се обогатя."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Чета по една глава всяка сутрин.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Четенето е част от ежедневието ми.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Четенето ми помага да се отпусна.
Question-Answer Pairs (FAQ & Contextual Understanding),Как да стигна до центъра на града?
Question-Answer Pairs (FAQ & Contextual Understanding),Как мога да подобря уменията си по език?
Question-Answer Pairs (FAQ & Contextual Understanding),Как работи този уред?
Question-Answer Pairs (FAQ & Contextual Understanding),Каква е политиката ви за връщане на стоки?
Question-Answer Pairs (FAQ & Contextual Understanding),Каква е прогнозата за времето утре?
Question-Answer Pairs (FAQ & Contextual Understanding),Какви документи са необходими за регистрация?
Question-Answer Pairs (FAQ & Contextual Understanding),Какви са вашите препоръки?
Question-Answer Pairs (FAQ & Contextual Understanding),Какви са вашите работни часове?
Question-Answer Pairs (FAQ & Contextual Understanding),Какво мислите за новата политика?
Question-Answer Pairs (FAQ & Contextual Understanding),Можете ли да ми кажете повече за продукта?
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Мразя студеното време.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Не съм доволен от обслужването.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Новината ме разстрои.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Обичам този филм!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Обожавам шоколад!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Това беше невероятно изживяване.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Това е ужасно решение.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Този подарък ме направи много щастлив.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Този ресторант има страхотна храна!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Чувствам се щастлив днес.
