Category,Somali Sentence
"Idioms, Proverbs & Cultural Expressions","Mar kasta oo aad wax barato, waa dhaxalkaaga."
"Idioms, Proverbs & Cultural Expressions","Nolosha waa sida badda, marna deggan marna kacsan."
"Idioms, Proverbs & Cultural Expressions",Af jooga looma adeego.
"Idioms, Proverbs & Cultural Expressions",Dabeecad wanaagsani waa dahab.
Question-Answer Pairs,Sidee caafimaadkaagu yahay maanta?
Question-Answer Pairs,Maxaad rabtaa in aad cunto?
Question-Answer Pairs,Meeqa saac ayaa kulanka bilaabanayaa?
Question-Answer Pairs,Xaggee bay ku taal maktabadda magaalada?
Question-Answer Pairs,Maxaad u malaynaysaa arrintan?
Question-Answer Pairs,Miyaad diyaar u tahay safarka berrito?
Question-Answer Pairs,Sidee baan kuu caawin karaa maanta?
Question-Answer Pairs,Ma rabtaa in aad wax ka ogaato mashruucan?
Question-Answer Pairs,Yaa keenay fikraddan wanaagsan?
Question-Answer Pairs,Goorma ayay xafladdu bilaabanaysaa?
Commands & Instructions,I keen koob biyo ah.
Commands & Instructions,Guriga nadaafad ku samee.
Commands & Instructions,Fadlan albaabka xir.
Commands & Instructions,Layliskaaga dhameystir maanta.
Commands & Instructions,Fadlan fariin u dir asxaabtaada.
Commands & Instructions,Buuggaaga akhri oo faham.
Commands & Instructions,"Haddii ay dhakhso kuu tahay, fadlan sug!"
Commands & Instructions,Fadlan fiiri jadwalka shaqada.
Commands & Instructions,Telefoonka dami marka aad hurdaysid.
Commands & Instructions,Xusuusnow inaad subaxdii jimicsi sameyso.
Named Entity Recognition (NER) Data,Magaalada Muqdisho waa caasimadda Soomaaliya.
Named Entity Recognition (NER) Data,Shirkadda Dahabshiil waxay ku taal Hargeisa.
Named Entity Recognition (NER) Data,"Sanadkii 1960, Soomaaliya waxay xorriyadeeda qaadatay."
Named Entity Recognition (NER) Data,Dr. Ahmed wuxuu xirfaddiisa caafimaad ku shaqeeyaa.
Named Entity Recognition (NER) Data,Maalinta Ciidda waxay tahay munaasabad weyn.
Named Entity Recognition (NER) Data,Kooxda Kubadda Cagta ee Muqdisho ayaa guulaysatay.
Named Entity Recognition (NER) Data,Jaamacadda Ummadda Soomaaliyeed waa mid qadiimi ah.
Named Entity Recognition (NER) Data,Xildhibaan Maxamed wuxuu matalaa degmada Hodan.
Named Entity Recognition (NER) Data,Wabiga Shabeelle wuxuu maraa magaalooyin badan.
Named Entity Recognition (NER) Data,Xisbiga mucaaradka wuxuu ka hadlay arrimaha siyaasadda.
Sentiment Analysis Data,Waan faraxsanahay maanta.
Sentiment Analysis Data,Filimkaas aad ayuu u xiiso badan yahay.
Sentiment Analysis Data,Wuxuu ahaa maalin murugo leh.
Sentiment Analysis Data,Waan ka xumaaday wararkii aan maqlay.
Sentiment Analysis Data,Jacaylku waa dareen cajiib ah.
Sentiment Analysis Data,Waxaan la yaabay sida wanaagsan ee ay u hadashay.
Sentiment Analysis Data,Waan ka xumahay inaad bukooto.
Sentiment Analysis Data,Xafladdii xalay aad bay u qurux badnayd.
Sentiment Analysis Data,Waa wax laga xumaado xaaladda waddanka.
Sentiment Analysis Data,Wuxuu dareemay niyad-jab weyn.
Paraphrased & Augmented Sentences,Habeen hore waxaan arkay filim xiiso leh.
Paraphrased & Augmented Sentences,"Xalay filim ayaan daawaday, aad buu u fiicnaa."
Paraphrased & Augmented Sentences,"Shalay buug ayaan akhriyay, aad baan u jeclaystay."
Paraphrased & Augmented Sentences,Daraasadda waxay muujisay in waxbarashadu muhiim tahay.
Paraphrased & Augmented Sentences,"Cilmiga waa iftiin, qofka aqoonta leh wuu ka hormaraa."
Paraphrased & Augmented Sentences,Ganacsiga wuu kobcayaa sanadkan.
Paraphrased & Augmented Sentences,Suuqa maanta aad ayuu u mashquul badnaa.
Paraphrased & Augmented Sentences,Hawlaha guriga waxaan dhammeeyey subaxnimadii.
Paraphrased & Augmented Sentences,Isbedelka cimiladu waa mid la dareemi karo.
Paraphrased & Augmented Sentences,Dhammaan ardayda waa inay shaqadooda dhameeyaan.
