Category,Sentence (Mongolian)
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Би амжилтанд хүрнэ гэдэгтээ итгэлтэй байна.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Чи яагаад ийм их бухимдаад байна?
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Би чамд баярлалаа!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Энэ хоол үнэхээр амттай.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Чи намайг ойлгодоггүй юм шиг санагдлаа.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Би энэ дууг сонсох дуртай!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Гунигтай мэдээ сонслоо.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Би шинэ утас худалдаж авлаа.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Шинэ утас би худалдаж авсан.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Тэр маш хурдан гүйдэг.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Маш хурдан тэр гүйдэг.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Чи надтай уулзахыг хүсч байна уу?
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Надтай уулзахыг чи хүсч байна уу?
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Өнөөдөр бороо орох магадлалтай.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Бороо өнөөдөр орох магадлалтай.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Түүний яриа үнэхээр сонирхолтой байсан.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Яриа нь үнэхээр сонирхолтой байсан.
