Category,Hungarian Sentence
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Sajnálom, hogy így alakult."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Holnap esni fog az eső.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Eső várható holnapra.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Az előrejelzés szerint holnap esni fog.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Holnap csapadékos idő lesz.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Készülj fel, mert esni fog holnap."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),A meteorológusok szerint holnap esik.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Holnap ne felejts el esernyőt vinni!
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Holnapra borús, esős időt jósolnak."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Holnap minden jel szerint esni fog.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Úgy tűnik, holnap esni fog az eső."
