Category,Marshallese Sentence
Code-Switching & Multilingualism,"Let’s go ilōn, ej iumin lunch time."
Code-Switching & Multilingualism,"Kōjparok bwe ne rain ej heavy, we cancel class."
Code-Switching & Multilingualism,"Ewi, kom̧m̧ool for your help."
Code-Switching & Multilingualism,Roñ ko re kōnono in English ak jab jeḷā.
Code-Switching & Multilingualism,We start class at 8am ilo morning.
Code-Switching & Multilingualism,Ij aikuj check-in ilo front desk.
Code-Switching & Multilingualism,Kōjparok bwe deadline ej Thursday next week.
Code-Switching & Multilingualism,Eṃṃan ke kwōj lukkuun focus ilo reading?
Formal & Professional Speech,Ej aikuj bwe aolep etan ko rej wōr ilo list.
Formal & Professional Speech,"Ilo jikin jerbal, ej kwalok an kakememej im karreo."
Formal & Professional Speech,Eṃṃan bwe teacher eo en kakōņaan bwebwenato kio.
Formal & Professional Speech,Medical exam ej aikuj ilo kar
Formal & Professional Speech,"Ilo courtroom, rej bwebwenato kin wōt evidence im testimony."
Formal & Professional Speech,Kōjerbal an office ej bok praise jen manager.
Formal & Professional Speech,Kakije lok kin proposal eo bwe en eṃṃan jabdewōt.
Formal & Professional Speech,Patient eo ej bok treatment ilo jikin ekatak.
Formal & Professional Speech,Policy eo en accept by aolep ro ilo meeting.
Formal & Professional Speech,Kakije kin agreement eo ej kōjerbal ilo legal context.
"Idioms, Proverbs & Cultural Expressions",Kōkkure in jabdewōt ej ṃōttan lōmņak.
"Idioms, Proverbs & Cultural Expressions","Jab inebata, ak pād wōt."
"Idioms, Proverbs & Cultural Expressions",Rebōbōj bwe rumwij.
"Idioms, Proverbs & Cultural Expressions",Em̧m̧an wāween ej kōjerbali lok.
"Idioms, Proverbs & Cultural Expressions",Ej aikuj bwe kwōjjab lale jabdewōt ṇaṇ.
"Idioms, Proverbs & Cultural Expressions",Kōjerbal jipan ej wāween kein karreo.
"Idioms, Proverbs & Cultural Expressions",Koḷeṃaan loe kin etan ak loe kin kōkkure.
"Idioms, Proverbs & Cultural Expressions",Bwebwenato in ej kōjeḷā ṃanit kein ilo Majel.
"Idioms, Proverbs & Cultural Expressions",Lōmņak kōnono ej maļōtlōt kein.
"Idioms, Proverbs & Cultural Expressions",Eṃṃan ukōt bōlen kōbban.
Question-Answer Pairs,"""Ta eo ej etan?"" ""Etan eo ej Jina."""
Question-Answer Pairs,"""Kwōj mōņōņō?"" ""Ewi, ij mōņōņō."""
Question-Answer Pairs,"""Etto an project eo?"" ""Ej wōt ilo computer."""
Question-Answer Pairs,"""Kwōj maron̄ itok?"" ""Ij aikuj jerbal."""
Question-Answer Pairs,"""Lale ak ejjeḷọk?"" ""Ij lale."""
Question-Answer Pairs,"""Ewi, kwōj jeḷā an kōm̧ṃane an bar?"" ""Jeḷā wōt."""
Question-Answer Pairs,"""Kwōnaaj ijo ālikin school?"" ""Naaj etal tōpar."""
Question-Answer Pairs,"""Ta eo kwōḷeļā kin?"" ""Kin jipan eo ilo a.m."""
Question-Answer Pairs,"""Ejjeḷọk wōr project eo?"" ""Ejjeḷọk wōt."""
Question-Answer Pairs,"""Kwaar lukkuun kakije?"" ""Ewi, ij kakije kin."""
Commands & Instructions,Bwebwenato kin teacher eo.
Commands & Instructions,Kakije kin pepa eo.
Commands & Instructions,Kōjerbal computer eo kin care.
Commands & Instructions,Jab kōlap pepa kein.
Commands & Instructions,Jipan homework eo ilo awa.
Commands & Instructions,Kōkkure bwe ejjeḷọk problem.
Commands & Instructions,Lale jabdewōt bwe ejjeḷọk rain.
Commands & Instructions,Eddo iumin ālikin.
Commands & Instructions,Jab jeḷā lewōt!
Commands & Instructions,Kōmmane an project eo bwe en success.
Named Entity Recognition (NER) Data,Jina ej etan kōrā eo.
Named Entity Recognition (NER) Data,Majuro ej āinwōt capital.
Named Entity Recognition (NER) Data,Roñ eo ej etal ijo Rita.
Named Entity Recognition (NER) Data,Bwebwenato kōn President eo ilo 2023.
Named Entity Recognition (NER) Data,Jikin jerbal eo ej United Nations.
Named Entity Recognition (NER) Data,Emōņōņō ilo Taiwan hospital.
Named Entity Recognition (NER) Data,Etan eo ej Ben Lemari.
Named Entity Recognition (NER) Data,Monday ej jikan kōm̧m̧ane meeting.
Named Entity Recognition (NER) Data,"Ewi, ej eddo ilo Big Brother."
Named Entity Recognition (NER) Data,Aolep etan rej jeḷā ilo jikin in.
Sentiment Analysis Data,Ij ṃōttan bwe ej jabdewōt rain.
Sentiment Analysis Data,Em̧ṃan an lale teacher eo.
Sentiment Analysis Data,Ij jab neḷo kin outcome eo.
Sentiment Analysis Data,Kōjerbal eo ej ukot jipan wōt!
Sentiment Analysis Data,Emōņōņō wōt! Kom̧m̧ool!
Sentiment Analysis Data,Ejjab eṃṃan bwe project eo ej jab success.
Sentiment Analysis Data,"Enaaj bōk jipan, ij jeḷā!"
Sentiment Analysis Data,Ij itok kin likūt!
Sentiment Analysis Data,Bwebwenato in ej wawein lok eṃṃan.
Sentiment Analysis Data,Roñ eo ej jab neḷo kin tōprak.
Paraphrased & Augmented Sentences,Ij itok kin ṃōņōņō.
Paraphrased & Augmented Sentences,Ij ṃōttan bwe in itok.
Paraphrased & Augmented Sentences,Ij kōjerbal bwe en etal.
Paraphrased & Augmented Sentences,Ij aikuj bwe en itok wōt.
Paraphrased & Augmented Sentences,Kwōnaaj bōk an loe.
Paraphrased & Augmented Sentences,En eddo ālikin bwebwenato.
Paraphrased & Augmented Sentences,Kwōj aikuj kōjerbal pepa in.
Paraphrased & Augmented Sentences,Ij bwebwenato kōn pepa kein.
Paraphrased & Augmented Sentences,En wōt ālikin kōjerbal.
Paraphrased & Augmented Sentences,Emōņōņō bwe en etal wōt.
