Category,Sentence (Latvian)
Code-Switching & Multilingualism,"Man vajag update savam datoram, lai tas strādātu ātrāk."
Code-Switching & Multilingualism,"Viņš teica: 'Let's go', un mēs sākām kustēties."
Code-Switching & Multilingualism,"Es mīlu Riga, it has such a nice atmosphere."
Code-Switching & Multilingualism,Tu dzirdēji par to jauno tech startup?
Code-Switching & Multilingualism,"Šodien ir tik auksts, es gribu hot chocolate."
Code-Switching & Multilingualism,Man ir jānosūta email priekš darba.
Code-Switching & Multilingualism,Viņa studē psychology un viņai tas ļoti patīk.
Code-Switching & Multilingualism,"Es domāju, ka meeting būs ilgāks nekā plānots."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Lūdzu, iesniedziet nepieciešamos dokumentus līdz rītdienai."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Uzņēmums plāno paplašināt savu darbību Eiropā.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Līgums stāsies spēkā pēc abu pušu paraksta.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Saskaņā ar noteikumiem, šī procedūra ir obligāta."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Pacientam nepieciešama tūlītēja medicīniskā palīdzība.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Šis pētījums analizē klimata pārmaiņu ietekmi uz vidi.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Darba sludinājumā norādīta prasība pēc pieredzes IT jomā.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Lūdzu, aizpildiet anketu un iesniedziet to administrācijai."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mūsu uzņēmums ir apņēmies uzlabot klientu apkalpošanu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Likumdošana paredz konkrētus nosacījumus šai situācijai.
"Idioms, Proverbs & Cultural Expressions","Ne viss, kas spīd, ir zelts."
"Idioms, Proverbs & Cultural Expressions",Darbs dara darītāju.
"Idioms, Proverbs & Cultural Expressions","Nerunā par vilku, vilks jau klāt."
"Idioms, Proverbs & Cultural Expressions","Kas lēni nāk, tas labi nāk."
"Idioms, Proverbs & Cultural Expressions","Kāds darbs, tāda alga."
"Idioms, Proverbs & Cultural Expressions","Kur divi strīdas, tur trešais uzvar."
"Idioms, Proverbs & Cultural Expressions",Labāk zīle rokā nekā mednis kokā.
"Idioms, Proverbs & Cultural Expressions",Visi ceļi ved uz Romu.
"Idioms, Proverbs & Cultural Expressions","Cik cilvēku, tik viedokļu."
"Idioms, Proverbs & Cultural Expressions","Kad kaķa nav, peles danco."
Question-Answer Pairs (FAQ & Contextual Understanding),Kur atrodas tuvākais veikals? - Tas ir divu kvartālu attālumā.
Question-Answer Pairs (FAQ & Contextual Understanding),"Kāds šodien ir laikapstākļi? - Saule spīd, bet pūš spēcīgs vējš."
Question-Answer Pairs (FAQ & Contextual Understanding),Kā es varu pieteikties darbam? - Aizpildi anketu mūsu mājaslapā.
Question-Answer Pairs (FAQ & Contextual Understanding),"Vai tu vari man palīdzēt ar šo uzdevumu? - Protams, kāds ir jautājums?"
Question-Answer Pairs (FAQ & Contextual Understanding),Cik maksā biļete uz Rīgu? - Tas atkarīgs no transporta veida.
Question-Answer Pairs (FAQ & Contextual Understanding),"Vai šis produkts ir pieejams noliktavā? - Jā, mums ir vairākas vienības."
Question-Answer Pairs (FAQ & Contextual Understanding),Kāds ir jūsu darba laiks? - Mēs strādājam no 9:00 līdz 18:00.
Question-Answer Pairs (FAQ & Contextual Understanding),Kur var nopirkt sabiedriskā transporta biļeti? - Autobusa pieturā vai kioskos.
Question-Answer Pairs (FAQ & Contextual Understanding),"Kāds ir labākais restorāns pilsētā? - Atkarīgs no tava gaumes, bet es iesaku ""Bibliotēka No1""."
Question-Answer Pairs (FAQ & Contextual Understanding),"Vai man ir nepieciešama reģistrācija? - Jā, lūdzu, aizpildi veidlapu."
Commands & Instructions (Imperative Sentences),"Lūdzu, aizver durvis."
Commands & Instructions (Imperative Sentences),Pagriezies pa labi nākamajā ielā.
Commands & Instructions (Imperative Sentences),"Ieslēdz televizoru, lūdzu."
Commands & Instructions (Imperative Sentences),Neliec rokas uz galda.
Commands & Instructions (Imperative Sentences),Paskaties uz šo attēlu.
Commands & Instructions (Imperative Sentences),"Atceries, ka rīt ir svarīga sanāksme."
Commands & Instructions (Imperative Sentences),Pacenties pabeigt darbu laikā.
Commands & Instructions (Imperative Sentences),"Noklikšķini uz šīs pogas, lai turpinātu."
Commands & Instructions (Imperative Sentences),"Lūdzu, ieliec šo dokumentu mapē."
Commands & Instructions (Imperative Sentences),Neaizmirsti nopirkt maizi veikalā.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Valsts prezidents Egils Levits piedalījās starptautiskā sanāksmē.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Rīga ir Latvijas galvaspilsēta.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Latvijas Neatkarības diena ir 18. novembrī.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Latvijas Universitāte piedāvā dažādas studiju programmas.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Uzņēmums ""AirBaltic"" nodrošina lidojumus uz vairāk nekā 60 galamērķiem."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",2022. gada Pasaules čempionāts hokejā notika Rīgā.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Latvijas Banka regulē valsts finanšu sistēmu.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Rainis un Aspazija ir slaveni latviešu rakstnieki.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Sigulda ir populārs tūrisma galamērķis Latvijā.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Eiropas Savienība ir svarīgs Latvijas partneris ekonomikā.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Es esmu tik priecīgs par šo jauno iespēju!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Šis ēdiens ir briesmīgs, es nekad vairs neēdīšu šeit."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Man ļoti patīk šī filma, tā ir tik aizraujoša!"
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Es esmu vīlies par uzņēmuma sniegto pakalpojumu.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Šī dziesma mani vienmēr iepriecina un uzlabo garastāvokli.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Es jūtos ļoti noguris pēc garas darba dienas.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Šis produkts tiešām ir naudas vērts, es to ļoti iesaku!"
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Es nesaprotu, kā cilvēkiem var patikt šī grāmata."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Man ir žēl, ka es nespēju palīdzēt šoreiz."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Es esmu sajūsmā par mūsu nākamo ceļojumu!
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Es šodien devos uz veikalu. → Šodien es apmeklēju veikalu.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Vai tu varētu man palīdzēt? → Vai vari mani asistēt?
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Šis projekts ir ļoti sarežģīts. → Šis darbs ir diezgan izaicinošs.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mēs iesim uz koncertu rīt. → Rīt mēs dosimies uz mūzikas pasākumu.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Man patīk pavadīt laiku dabā. → Es izbaudu atpūtu brīvā dabā.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Lūdzu, aizver logu. → Vari, lūdzu, aizvērt logu?"
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Man garšo šī kafija. → Šis kafijas dzēriens ir ļoti labs.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Es šobrīd esmu aizņemts. → Pašlaik esmu nodarbināts.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mūsu komanda strādā pie jauna projekta. → Mēs izstrādājam jaunu projektu.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Viņa ir ļoti laimīga. → Viņa jūtas ārkārtīgi priecīga.
