Category,Najdi Arabic Sentence
"Formal & Professional Speech (Business, Legal, Medical, Technical)",أرسل التقرير للإدارة قبل الساعة ٢.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",نحتاج تحديث النظام بشكل عاجل.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",هل قرأت التعليمات الخاصة بالسلامة؟
"Idioms, Proverbs & Cultural Expressions",اللي ما يعرف الصقر يشويه.
"Idioms, Proverbs & Cultural Expressions",الجار قبل الدار.
"Idioms, Proverbs & Cultural Expressions",كل شارب وله مقصّه.
"Idioms, Proverbs & Cultural Expressions",ما كل من ركب الخيل خيّال.
"Idioms, Proverbs & Cultural Expressions",من طق الباب سمع الجواب.
"Idioms, Proverbs & Cultural Expressions",ما يخاف من الحي إلا الميت.
"Idioms, Proverbs & Cultural Expressions",خويك وقت الضيق يبين.
"Idioms, Proverbs & Cultural Expressions",اللي ما يطول العنب حامضٍ عنه يقول.
"Idioms, Proverbs & Cultural Expressions",الله يحيي من جانا.
"Idioms, Proverbs & Cultural Expressions",رجليك على قد لحافك.
Question-Answer Pairs (FAQ & Contextual Understanding),وش اسمك؟ - اسمي ناصر.
Question-Answer Pairs (FAQ & Contextual Understanding),كم عمرك؟ - عمري ٢٥ سنة.
Question-Answer Pairs (FAQ & Contextual Understanding),من وين انت؟ - من الرياض.
Question-Answer Pairs (FAQ & Contextual Understanding),وش تشتغل؟ - أنا مهندس.
Question-Answer Pairs (FAQ & Contextual Understanding),تحب القهوة؟ - اكيد أحبها.
Question-Answer Pairs (FAQ & Contextual Understanding),وش تسوي بالعطلة؟ - أزور أهلي.
Question-Answer Pairs (FAQ & Contextual Understanding),كيف الجو اليوم؟ - حار شوي.
Question-Answer Pairs (FAQ & Contextual Understanding),ليش تأخرت؟ - كان فيه زحمة.
Question-Answer Pairs (FAQ & Contextual Understanding),وش نوع سيارتك؟ - كامري.
Question-Answer Pairs (FAQ & Contextual Understanding),وين تروح بعد الدوام؟ - للبيت.
Commands & Instructions (Imperative Sentences),سكّر الباب وراك.
Commands & Instructions (Imperative Sentences),اقرأ الجريدة.
Commands & Instructions (Imperative Sentences),اطفي النور وانت طالع.
Commands & Instructions (Imperative Sentences),رد على الجوال.
Commands & Instructions (Imperative Sentences),سجّل اسمك هنا.
Commands & Instructions (Imperative Sentences),أعطني القلم.
Commands & Instructions (Imperative Sentences),خل عنك اللعب وذاكر.
Commands & Instructions (Imperative Sentences),اجلس مكانك.
Commands & Instructions (Imperative Sentences),افتح الشباك شوي.
Commands & Instructions (Imperative Sentences),لا تنسى الموعد بكرا.
Named Entity Recognition (NER) Data),أمس رحت مع فهد لمستشفى الملك فيصل.
Named Entity Recognition (NER) Data),زينب ساكنة في حي المروج.
Named Entity Recognition (NER) Data),الاجتماع الجاي يوم الأحد.
Named Entity Recognition (NER) Data),الشركة الجديدة اسمها رؤية التقنية.
Named Entity Recognition (NER) Data),جامعة الملك سعود فيها تخصصات كثيرة.
Named Entity Recognition (NER) Data),عيد الأضحى بيكون في ذو الحجة.
Named Entity Recognition (NER) Data),محافظة شقراء مشهورة بالنخيل.
Named Entity Recognition (NER) Data),شفت الأمير محمد في التلفزيون.
Named Entity Recognition (NER) Data),الطبيب اسمه الدكتور عبدالعزيز.
Named Entity Recognition (NER) Data),رحنا لمطعم البيك في طريق الملك فهد.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),أنا مبسوط اليوم مره.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),زعلت لما ما كلمني.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),الجو رهيب ويفتح النفس.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ما حبيت الفيلم، ممل.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),انقهرت من الكلام اللي سمعته.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),احترمت رأيه، حتى لو اختلفنا.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),مره انبسطت في الحفلة.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ضيقت صدري الأخبار.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),المكان هادي ومريح.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),أحس بالفخر لما أشوف نجاح عيالي.
Paraphrased & Augmented Sentences,أنا أحب القهوة كل صباح.
Paraphrased & Augmented Sentences,كل يوم أشرب فنجان قهوة.
Paraphrased & Augmented Sentences,ما أبدأ يومي بدون قهوة.
Paraphrased & Augmented Sentences,أول شي أسويه الصبح هو أشرب قهوة.
Paraphrased & Augmented Sentences,قهوة الصبح تسعدني.
Paraphrased & Augmented Sentences,أنا مدمن قهوة الصباح.
Paraphrased & Augmented Sentences,قهوة الصباح تعطيني طاقة.
Paraphrased & Augmented Sentences,الصباح ما يكتمل بدون قهوة.
Paraphrased & Augmented Sentences,صعب أشتغل إذا ما شربت قهوة.
Paraphrased & Augmented Sentences,أنا أعيش على القهوة الصباحية.
