Category,Sentence (Sanskrit)
"Idioms, Proverbs & Cultural Expressions",महाजनः येन गतः स पन्थाः।
"Idioms, Proverbs & Cultural Expressions",तैलं तैलं तदेकमेव।
Question-Answer Pairs,भवतः नाम किम्?
Question-Answer Pairs,सः चिकित्सकः अस्ति किम्?
Question-Answer Pairs,अहं गृहे पठामि वा विद्यालये?
Question-Answer Pairs,सः कदा आगच्छति?
Question-Answer Pairs,एषः पुस्तकं कस्य अस्ति?
Question-Answer Pairs,गङ्गा कुत्र प्रवहति?
Question-Answer Pairs,कः सर्वेभ्यः श्रेष्ठः?
Question-Answer Pairs,भवान् कः कार्यं करोति?
Question-Answer Pairs,भारतस्य राजधानी का?
Question-Answer Pairs,सर्वे कुशलिनः वा?
Commands & Instructions,अत्र उपविशतु।
Commands & Instructions,माम् अनुवर्तस्व।
Commands & Instructions,शीघ्रं पठ।
Commands & Instructions,द्वारं पिधायतु।
Commands & Instructions,जलं आनय।
Commands & Instructions,गृहम् प्रवेश।
Commands & Instructions,चिन्तां मा कुरु।
Commands & Instructions,"गच्छन्तु, समयः न अस्ति।"
Commands & Instructions,पुस्तकं पठ।
Commands & Instructions,सत्यं वद।
Named Entity Recognition,रामः अयोध्यायाः राजा।
Named Entity Recognition,दिल्ली भारतस्य राजधानी अस्ति।
Named Entity Recognition,गङ्गा भारतस्य महानदी।
Named Entity Recognition,महात्मा गान्धिः राष्ट्रपिता।
Named Entity Recognition,ताजमहालः आग्रायाम् अस्ति।
Named Entity Recognition,विश्वविद्यालयः वाराणस्यां अस्ति।
Named Entity Recognition,कृष्णः यादवः।
Named Entity Recognition,हिमालयः उच्चः पर्वतः।
Named Entity Recognition,भारतं एशियायाः भागः।
Named Entity Recognition,मुम्बई समुद्रतीरे अस्ति।
Sentiment Analysis,अहं अतीव प्रसन्नः।
Sentiment Analysis,सः खिन्नः।
Sentiment Analysis,मम हृदयः दुःखेन पूरितम्।
Sentiment Analysis,इदं हास्यास्पदं अस्ति।
Sentiment Analysis,सः रोदनं करोति।
Sentiment Analysis,अद्य मम उत्तमः दिनः।
Sentiment Analysis,सः अत्यन्तः उत्साहितः।
Sentiment Analysis,तेन विश्वासं तोडितम्।
Sentiment Analysis,अहं चिन्तितः अस्मि।
Sentiment Analysis,तस्य कथाः रोमहर्षणाः।
Paraphrased & Augmented Sentences,रामः पुस्तकं पठति।
Paraphrased & Augmented Sentences,रामेण पुस्तकं पठ्यते।
Paraphrased & Augmented Sentences,रामः पुस्तकं अद्य पठिष्यति।
Paraphrased & Augmented Sentences,रामः पुस्तकं पठितवान्।
Paraphrased & Augmented Sentences,रामस्य पुस्तकपठनं प्रीतिकरम्।
Paraphrased & Augmented Sentences,रामः पठनं अतीव रोचते।
Paraphrased & Augmented Sentences,रामः पठनं अनिवार्यं मन्यते।
Paraphrased & Augmented Sentences,रामः पुस्तकं पठित्वा सुखं अनुभूयते।
Paraphrased & Augmented Sentences,रामेण पाठनं करणीयम्।
Paraphrased & Augmented Sentences,रामः पठने अतीव रुचिं धारयति।
