Category,Papiamento Sentence
Question-Answer Pairs,Bo ta kontentu ku bo trabou?
Question-Answer Pairs,Kiko ta bo hobenan principal?
Question-Answer Pairs,Bo kier kushina of bo kier kita cominda?
Commands & Instructions,"Sera e bentana, por fabor."
Commands & Instructions,Pone bo libro riba e mesa.
Commands & Instructions,Yega puntual na e reunión.
Commands & Instructions,Skibi e informashon akí.
Commands & Instructions,Kita e boto for di awa.
Commands & Instructions,Sigui e direkshon ku cuido.
Commands & Instructions,No toka nada sin permiso.
Commands & Instructions,Limpia bo habitashon promé di sali.
Commands & Instructions,Laga e muchanan drumi na su ora.
Commands & Instructions,Sinti bo mes serka e porta.
Named Entity Recognition,Reina Beatrix Airport ta den Oranjestad.
Named Entity Recognition,Luis a kuminsá su trabou na SETAR.
Named Entity Recognition,Nos a bai Playa Baby cu Marisol y Jairo.
Named Entity Recognition,Dia di Betico ta riba 25 di Januari.
Named Entity Recognition,Ministerio di Salú a anuncia un kampaña nobo.
Named Entity Recognition,Ramon a studa na Universiteit di Aruba.
Named Entity Recognition,Bon Dia ta un di e prènsenan mas conoci.
Named Entity Recognition,Hotel Renaissance ta hopi popular entre turista.
Named Entity Recognition,E evento lo tuma lugá den Cas di Cultura.
Named Entity Recognition,Mi doktor ta Dr. Martina di Centro Mediko.
Sentiment Analysis,Mi ta sinti mi masha felis awe!
Sentiment Analysis,E notisia a pone mi na tenshon.
Sentiment Analysis,Mi no ta kontentu ku e servisio.
Sentiment Analysis,Nos a pasa un dia espectacular!
Sentiment Analysis,Mi ta sinti un tiki prekupashon.
Sentiment Analysis,E desishon a pone mi na rabia.
Sentiment Analysis,Mi ta sinti mi masha gradisí.
Sentiment Analysis,Mi ta sinti masha soño awe.
Sentiment Analysis,Mi ta sinti hopi amor pa bo.
Sentiment Analysis,Bo komentario a lesa mi kurason.
Paraphrased & Augmented,Mi ta bai skol awe.
Paraphrased & Augmented,Awe mi tin klas na skol.
Paraphrased & Augmented,Mi lo bai skol mas laat.
Paraphrased & Augmented,Mi ta drenta skol pa medio dia.
Paraphrased & Augmented,Mi por yega na skol si mi a skucha alarma.
Paraphrased & Augmented,Skol ta na mi ruta awe mainta.
Paraphrased & Augmented,Mi a prepara pa skol diahuebs.
Paraphrased & Augmented,Awe nos tin skol riba Zoom.
Paraphrased & Augmented,Mi klas di papiamento ta na skol tur dia.
Paraphrased & Augmented,Bo ke yega skol huntu cu mi?
