Category,Sentence_SiSwati
Question-Answer Pairs (FAQ & Contextual Understanding),"Ngabe uyakwazi ukusiza? - Yebo, ngingakwenza."
Question-Answer Pairs (FAQ & Contextual Understanding),"Ingabe uyathanda ukudlala? - Yebo, ngiyathanda."
Question-Answer Pairs (FAQ & Contextual Understanding),Sizohlangana nini? - Sizohlangana kusasa.
Question-Answer Pairs (FAQ & Contextual Understanding),Kwakungani kulokhu? - Kwakungumsebenzi wami.
Question-Answer Pairs (FAQ & Contextual Understanding),Kungani kufanele sikwenze lokhu? - Kubalulekile.
Commands & Instructions (Imperative Sentences),Vula umnyango.
Commands & Instructions (Imperative Sentences),Valelisa kubo.
Commands & Instructions (Imperative Sentences),Phakamisa izandla zakho.
Commands & Instructions (Imperative Sentences),Cela uxolo.
Commands & Instructions (Imperative Sentences),Hamba ngokushesha.
Commands & Instructions (Imperative Sentences),Yima lapha.
Commands & Instructions (Imperative Sentences),Bhala phansi igama lakho.
Commands & Instructions (Imperative Sentences),Lalela kahle.
Commands & Instructions (Imperative Sentences),Ungakhohlwa ibhuku lakho.
Commands & Instructions (Imperative Sentences),Sebenzisa kahle leli thuba.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",UMary uhlala eManzini.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",I-Mbabane iyidolobha elikhulu.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Ngo-2023, sabona ushintsho olukhulu."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",UMr Dlamini uyisikhulu senkampani.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",I-Eswatini iyizwe elihle.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Uhlelo lwenziwa yi-UNESCO.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","NgoLwesihlanu, sizohlangana."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",INedbank inikeza izinsizakalo ezinhle.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",IMatsapha iyindawo yokuhweba.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",UJacob usanda kuqeda izifundo zakhe.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngijabule kakhulu namuhla!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngithukuthele kakhulu ngalokhu.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Lokhu kuyadabukisa.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngiyawuthanda umculo.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Angivumi ngalokhu!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Lokhu kubi kakhulu.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngiyakwesaba lokhu.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngiphoxekile kakhulu.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ngiyalithanda idolobha lami.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nginethemba ngekusasa.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ngiyajabula ukuba lapha.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Kumnandi ukuba nawe.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ngiyathokoza ukuhlangana nawe.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Nginovalo ngalokhu.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Anginasiqiniseko ngalokhu.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ngiyakuthanda ukudla kwakho.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Lokhu akubukeki kahle.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Uphuza kakhulu umuthi?
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ngabe singakwazi ukwenza lokho?
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Akulula ukwenza lokhu.
